,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Jonathan Taylor,IND,23,RB,1,1,31,161,9,117,3.8,44,1.4,5,6.2
2,Joe Mixon,CIN,26,RB,1,1,27,82,2,69,2.6,13,0.5,1,27
3,Nick Chubb,CLE,27,RB,1,1,22,141,6,100,4.5,41,1.9,2,11
4,Cordarrelle Patterson,ATL,31,RB,1,0,22,120,10,75,3.4,45,2,0,
5,Leonard Fournette,TAM,27,RB,1,1,21,127,6,81,3.9,46,2.2,2,10.5
6,Derrick Henry,TEN,28,RB,1,1,21,82,1,32,1.5,50,2.4,2,10.5
7,Dalvin Cook,MIN,27,RB,1,1,20,90,5,56,2.8,34,1.7,2,10
8,Saquon Barkley,NYG,25,RB,1,1,18,164,7,46,2.6,118,6.6,0,
9,Jalen Hurts,PHI,24,QB,1,1,17,90,6,75,4.4,15,0.9,1,17
10,David Montgomery,CHI,25,RB,1,1,17,26,0,19,1.1,7,0.4,1,17
11,D'Andre Swift,DET,23,RB,1,1,15,144,5,72,4.8,72,4.8,2,7.5
12,Rex Burkhead,HOU,32,RB,1,0,14,40,1,27,1.9,13,0.9,1,14
13,Austin Ekeler,LAC,27,RB,1,1,14,36,0,13,0.9,23,1.6,0,
14,Antonio Gibson,WAS,24,RB,1,1,14,58,5,44,3.1,14,1,1,14
15,Darrell Henderson,LAR,25,RB,1,1,13,47,2,30,2.3,17,1.3,0,
16,Trey Lance,SFO,22,QB,1,1,13,54,6,38,2.9,16,1.2,2,6.5
17,Miles Sanders,PHI,25,RB,1,1,13,96,4,38,2.9,58,4.5,2,6.5
18,Chase Edmonds,MIA,26,RB,1,1,12,25,0,10,0.8,15,1.3,0,
19,Melvin Gordon,DEN,29,RB,1,0,12,58,2,29,2.4,29,2.4,1,12
20,Marcus Mariota,ATL,29,QB,1,1,12,72,3,66,5.5,6,0.5,0,
21,Isiah Pacheco,KAN,22,RB,1,0,12,62,4,7,0.6,55,4.6,0,
22,Rashaad Penny,SEA,26,RB,1,1,12,60,2,11,0.9,49,4.1,2,6
23,Kenyan Drake,BAL,28,RB,1,1,11,31,1,25,2.3,6,0.5,0,
24,Justin Fields,CHI,23,QB,1,1,11,28,3,15,1.4,13,1.2,1,11
25,Kareem Hunt,CLE,27,RB,1,0,11,46,3,38,3.5,8,0.7,2,5.5
26,Dameon Pierce,HOU,22,RB,1,1,11,33,2,20,1.8,13,1.2,2,5.5
27,James Robinson,JAX,24,RB,1,1,11,66,3,46,4.2,20,1.8,0,
28,Jamaal Williams,DET,27,RB,1,0,11,28,3,13,1.2,15,1.4,1,11
29,Josh Allen,BUF,26,QB,1,1,10,56,4,36,3.6,20,2,0,
30,Michael Carter,NYJ,23,RB,1,1,10,60,2,42,4.2,18,1.8,4,2.5
31,James Conner,ARI,27,RB,1,1,10,26,3,0,0,26,2.6,0,
32,AJ Dillon,GNB,24,RB,1,0,10,45,4,30,3,15,1.5,1,10
33,Ezekiel Elliott,DAL,27,RB,1,1,10,52,3,23,2.3,29,2.9,0,
34,Najee Harris,PIT,24,RB,1,1,10,23,1,23,2.3,0,0,0,
35,Josh Jacobs,LVR,24,RB,1,1,10,57,1,8,0.8,49,4.9,0,
36,Christian McCaffrey,CAR,26,RB,1,1,10,33,3,14,1.4,19,1.9,1,10
37,Damien Harris,NWE,25,RB,1,1,9,48,2,13,1.4,35,3.9,2,4.5
38,Khalil Herbert,CHI,24,RB,1,0,9,45,3,32,3.6,13,1.4,1,9
39,Alvin Kamara,NOR,27,RB,1,1,9,39,1,16,1.8,23,2.6,1,9
40,Jeff Wilson,SFO,27,RB,1,0,9,22,,12,1.3,10,1.1,0,
41,Alexander Mattison,MIN,24,RB,1,0,8,36,2,16,2,20,2.5,2,4
42,Deebo Samuel,SFO,26,WR,1,1,8,52,3,34,4.3,18,2.3,1,8
43,Devin Singletary,BUF,25,RB,1,1,8,48,2,33,4.1,15,1.9,0,
44,Rhamondre Stevenson,NWE,24,RB,1,0,8,25,2,15,1.9,10,1.3,1,8
45,Clyde Edwards-Helaire,KAN,23,RB,1,1,7,42,1,15,2.1,27,3.9,0,
46,Sony Michel,LAC,27,RB,1,0,7,12,1,-1,-0.1,13,1.9,0,
47,Javonte Williams,DEN,22,RB,1,1,7,43,3,30,4.3,13,1.9,0,
48,Joe Burrow,CIN,26,QB,1,1,6,47,3,43,7.2,4,0.7,0,
49,Chase Claypool,PIT,24,WR,1,1,6,36,2,33,5.5,3,0.5,0,
50,Breece Hall,NYJ,21,RB,1,0,6,23,1,23,3.8,0,0,0,
51,Lamar Jackson,BAL,25,QB,1,1,6,17,2,17,2.8,0,0,1,6
52,Daniel Jones,NYG,25,QB,1,1,6,25,2,25,4.2,0,0,0,
53,Elijah Mitchell,SFO,24,RB,1,1,6,41,2,28,4.7,13,2.2,1,6
54,Zack Moss,BUF,25,RB,1,0,6,15,1,12,2,3,0.5,0,
55,Tony Pollard,DAL,25,RB,1,1,6,8,,0,0,8,1.3,0,
56,Geno Smith,SEA,32,QB,1,1,6,14,1,11,1.8,3,0.5,0,
57,Carson Wentz,WAS,30,QB,1,1,6,12,0,11,1.8,1,0.2,0,
58,Rachaad White,TAM,23,RB,1,0,6,14,1,7,1.2,7,1.2,1,6
59,Matt Breida,NYG,27,RB,1,0,5,24,1,14,2.8,10,2,0,
60,Kenneth Gainwell,PHI,23,RB,1,0,5,20,2,9,1.8,11,2.2,0,
61,Aaron Jones,GNB,28,RB,1,1,5,49,3,25,5,24,4.8,0,
62,Baker Mayfield,CAR,27,QB,1,1,5,6,1,6,1.2,0,0,0,
63,Raheem Mostert,MIA,30,RB,1,0,5,16,2,1,0.2,15,3,1,5
64,Kyler Murray,ARI,25,QB,1,1,5,29,1,26,5.2,3,0.6,0,
65,Eno Benjamin,ARI,23,RB,1,0,4,28,1,3,0.8,25,6.3,1,4
66,Jacoby Brissett,CLE,30,QB,1,1,4,10,1,7,1.8,3,0.8,0,
67,Travis Etienne,JAX,23,RB,1,0,4,47,2,18,4.5,29,7.3,0,
68,Justin Herbert,LAC,24,QB,1,1,4,1,0,1,0.3,0,0,0,
69,Taysom Hill,NOR,32,TE,1,1,4,81,2,51,12.8,30,7.5,0,
70,Mark Ingram,NOR,33,RB,1,0,4,22,2,10,2.5,12,3,0,
71,Joshua Kelley,LAC,25,RB,1,0,4,21,2,9,2.3,12,3,0,
72,Jerick McKinnon,KAN,30,RB,1,0,4,22,1,10,2.5,12,3,0,
73,Matt Ryan,IND,37,QB,1,1,4,12,2,12,3,0,0,0,
74,Curtis Samuel,WAS,26,WR,1,0,4,17,1,12,3,5,1.3,0,
75,Boston Scott,PHI,27,RB,1,0,4,10,1,-1,-0.3,11,2.8,1,4
76,Cam Akers,LAR,23,RB,1,0,3,0,,0,0,0,0,0,
77,Brandon Bolden,LVR,32,RB,1,0,3,7,0,3,1,4,1.3,0,
78,Nyheim Hines,IND,26,RB,1,0,3,4,0,0,0,4,1.3,0,
79,Patrick Mahomes,KAN,27,QB,1,1,3,5,1,4,1.3,1,0.3,0,
80,J.D. McKissic,WAS,29,RB,1,0,3,8,1,6,2,2,0.7,0,
81,Trace McSorley,ARI,27,QB,1,0,3,20,1,17,5.7,3,1,0,
82,Mitchell Trubisky,PIT,28,QB,1,1,3,9,1,9,3,0,0,0,
83,Jaylen Warren,PIT,24,RB,1,0,3,7,,4,1.3,3,1,0,
84,Tom Brady,TAM,45,QB,1,1,2,-1,0,-1,-0.5,0,0,0,
85,Mike Davis,BAL,29,RB,1,0,2,11,1,10,5,1,0.5,0,
86,D'Onta Foreman,CAR,26,RB,1,0,2,5,,3,1.5,2,1,0,
87,Jared Goff,DET,28,QB,1,1,2,9,1,4,2,5,2.5,0,
88,Justice Hill,BAL,25,RB,1,0,2,4,,4,2,0,0,0,
89,Dontrell Hilliard,TEN,27,RB,1,0,2,8,0,8,4,0,0,0,
90,Julio Jones,TAM,33,WR,1,0,2,17,2,14,7,3,1.5,0,
91,Mac Jones,NWE,24,QB,1,1,2,0,0,-1,-0.5,1,0.5,0,
92,Trevor Lawrence,JAX,23,QB,1,1,2,4,0,3,1.5,1,0.5,0,
93,Davis Mills,HOU,24,QB,1,1,2,-1,0,-1,-0.5,0,0,0,
94,Ty Montgomery,NWE,29,WR,1,0,2,-2,0,-2,-1,0,0,0,
95,Dak Prescott,DAL,29,QB,1,1,2,11,1,11,5.5,0,0,0,
96,Anthony Schwartz,CLE,22,WR,1,0,2,20,1,20,10,0,0,0,
97,Tua Tagovailoa,MIA,24,QB,1,1,2,0,0,0,0,0,0,0,
98,Ryan Tannehill,TEN,34,QB,1,1,2,7,1,7,3.5,0,0,0,
99,Kadarius Toney,NYG,23,WR,1,0,2,23,1,10,5,13,6.5,0,
100,Avery Williams,ATL,24,RB,1,0,2,7,,7,3.5,0,0,0,
101,Damien Williams,ATL,30,RB,1,1,2,2,,0,0,2,1,0,
102,Jameis Winston,NOR,28,QB,1,1,2,9,0,0,0,9,4.5,0,
103,Jamal Agnew,JAX,27,WR,1,0,1,6,1,5,5,1,1,0,
104,Brandon Aiyuk,SFO,24,WR,1,1,1,7,0,4,4,3,3,0,
105,James Cook,BUF,23,RB,1,0,1,2,,2,2,0,0,0,
106,Jaelon Darden,TAM,23,WR,1,0,1,2,,2,2,0,0,0,
107,Jahan Dotson,WAS,22,WR,1,1,1,-10,0,-10,-10,0,0,0,
108,Romeo Doubs,GNB,22,WR,1,0,1,11,1,11,11,0,0,0,
109,Jeff Driskel,HOU,29,QB,1,0,1,5,1,5,5,0,0,0,
110,Joe Flacco,NYJ,37,QB,1,1,1,0,0,0,0,0,0,0,
111,Tyreek Hill,MIA,28,WR,1,1,1,6,0,6,6,0,0,0,
112,Travis Homer,SEA,24,RB,1,0,1,2,,0,0,2,2,0,
113,Zander Horvath,LAC,24,FB,1,0,1,2,1,1,1,1,1,0,
114,Chuba Hubbard,CAR,23,RB,1,0,1,3,,1,1,2,2,0,
115,Alec Ingold,MIA,26,FB,1,1,1,2,1,1,1,1,1,0,
116,Richie James,NYG,27,WR,1,0,1,2,0,2,2,0,0,0,
117,Jakobi Meyers,NWE,26,WR,1,1,1,7,1,4,4,3,3,0,
118,D.J. Moore,CAR,25,WR,1,1,1,7,0,5,5,2,2,0,
119,Chigoziem Okonkwo,TEN,23,TE,1,0,1,-4,0,-4,-4,0,0,0,
120,Josh Palmer,LAC,24,WR,1,1,1,4,1,1,1,3,3,0,
121,Samaje Perine,CIN,27,RB,1,0,1,4,0,4,4,0,0,0,
122,Breshad Perriman,TAM,29,WR,1,0,1,-7,,-7,-7,0,0,0,
123,Brandon Powell,LAR,27,WR,1,0,1,3,0,3,3,0,0,0,
124,Aaron Rodgers,GNB,39,QB,1,1,1,-1,0,-1,-1,0,0,0,
125,Matthew Stafford,LAR,34,QB,1,1,1,2,1,2,2,0,0,0,
126,Marquez Valdes-Scantling,KAN,28,WR,1,1,1,-3,0,-8,-8,5,5,1,1
127,Jaylen Waddle,MIA,24,WR,1,1,1,8,0,0,0,8,8,0,
128,Christian Watson,GNB,23,WR,1,1,1,7,0,7,7,0,0,0,
129,Cedrick Wilson Jr.,MIA,27,WR,1,0,1,8,,1,1,7,7,1,1
130,Russell Wilson,DEN,34,QB,1,1,1,2,0,0,0,2,2,0,
