,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Josh Jacobs*,LVR,24,RB,16,16,323,1608,12,90,807,2.5,801,2.5,29,11.1
2,Derrick Henry *,TEN,28,RB,15,15,319,1429,13,64,689,2.2,740,2.3,34,9.4
3,Saquon Barkley*,NYG,25,RB,16,16,295,1312,10,62,749,2.5,563,1.9,12,24.6
4,Nick Chubb*,CLE,27,RB,16,16,290,1448,12,65,764,2.6,684,2.4,26,11.2
5,Dalvin Cook,MIN,27,RB,16,16,253,1136,8,48,664,2.6,472,1.9,12,21.1
6,Najee Harris,PIT,24,RB,16,16,249,954,6,40,565,2.3,389,1.6,17,14.6
7,Miles Sanders*,PHI,25,RB,16,14,248,1236,11,60,810,3.3,426,1.7,13,19.1
8,Jamaal Williams,DET,27,RB,16,8,246,994,15,60,591,2.4,403,1.6,13,18.9
9,Christian McCaffrey,2TM,26,RB,16,15,234,1094,8,56,654,2.8,440,1.9,10,23.4
10,Ezekiel Elliott,DAL,27,RB,14,13,223,866,12,51,512,2.3,354,1.6,9,24.8
11,Dameon Pierce,HOU,22,RB,13,13,220,939,4,54,433,2,506,2.3,27,8.1
12,Travis Etienne,JAX,23,RB,16,11,213,1108,5,51,724,3.4,384,1.8,14,15.2
13,Brian Robinson Jr.,WAS,23,RB,12,9,205,797,2,49,449,2.2,348,1.7,8,25.6
14,Rhamondre Stevenson,NWE,24,RB,16,7,204,986,5,47,552,2.7,434,2.1,24,8.5
15,Aaron Jones,GNB,28,RB,16,16,201,1073,2,52,632,3.1,441,2.2,12,16.8
16,Alvin Kamara,NOR,27,RB,14,12,200,791,2,35,431,2.2,360,1.8,7,28.6
17,Joe Mixon,CIN,26,RB,13,13,199,787,6,45,478,2.4,309,1.6,8,24.9
18,Kenneth Walker III,SEA,22,RB,14,10,199,936,9,44,583,2.9,353,1.8,9,22.1
19,David Montgomery,CHI,25,RB,15,15,194,780,5,40,398,2.1,382,2,20,9.7
20,Austin Ekeler,LAC,27,RB,16,16,193,881,13,44,506,2.6,375,1.9,5,38.6
21,Jonathan Taylor,IND,23,RB,11,11,192,861,4,39,481,2.5,380,2,24,8
22,D'Onta Foreman,CAR,26,RB,16,8,191,846,5,42,469,2.5,377,2,10,19.1
23,Leonard Fournette,TAM,27,RB,15,9,189,668,3,39,382,2,286,1.5,4,47.3
24,Tyler Allgeier,ATL,22,RB,15,6,186,900,3,46,506,2.7,394,2.1,5,37.2
25,Tony Pollard*,DAL,25,RB,15,4,186,988,9,46,493,2.7,495,2.7,11,16.9
26,James Conner,ARI,27,RB,13,13,183,782,7,48,444,2.4,338,1.8,5,36.6
27,AJ Dillon,GNB,24,RB,16,3,177,737,7,44,440,2.5,297,1.7,6,29.5
28,Raheem Mostert,MIA,30,RB,15,13,170,820,3,39,478,2.8,342,2,11,15.5
29,Devin Singletary,BUF,25,RB,15,15,170,790,5,41,531,3.1,259,1.5,8,21.3
30,Cam Akers,LAR,23,RB,14,8,167,682,7,36,317,1.9,365,2.2,13,12.8
31,Isiah Pacheco,KAN,22,RB,16,10,162,766,4,35,495,3.1,271,1.7,4,40.5
32,Justin Fields,CHI,23,QB,15,15,160,1143,8,65,856,5.4,287,1.8,10,16
33,Jeff Wilson,2TM,27,RB,15,7,160,788,5,39,546,3.4,242,1.5,8,20
34,Jalen Hurts*,PHI,24,QB,14,14,156,747,13,64,614,3.9,133,0.9,8,19.5
35,Latavius Murray,2TM,32,RB,12,6,156,657,5,38,397,2.5,260,1.7,5,31.2
36,Antonio Gibson,WAS,24,RB,15,6,149,546,3,32,326,2.2,220,1.5,5,29.8
37,Cordarrelle Patterson,ATL,31,RB,12,11,139,677,7,37,396,2.8,281,2,4,34.8
38,Rachaad White,TAM,23,RB,16,7,125,466,1,26,300,2.4,166,1.3,4,31.3
39,Daniel Jones,NYG,25,QB,16,16,120,708,7,57,562,4.7,146,1.2,2,60
40,Khalil Herbert,CHI,24,RB,12,1,119,681,4,24,366,3.1,315,2.6,9,13.2
41,Kareem Hunt,CLE,27,RB,16,0,119,455,3,30,221,1.9,234,2,6,19.8
42,Josh Allen*,BUF,26,QB,15,15,115,746,7,52,576,5,170,1.5,5,23
43,Lamar Jackson,BAL,25,QB,12,12,112,764,3,47,542,4.8,222,2,14,8
44,Michael Carter,NYJ,23,RB,15,9,111,398,3,14,268,2.4,130,1.2,7,15.9
45,James Robinson,2TM,24,RB,11,5,110,425,3,22,288,2.6,137,1.2,6,18.3
46,Kenyan Drake,BAL,28,RB,11,5,93,422,3,19,306,3.3,116,1.2,0,
47,Damien Harris,NWE,25,RB,10,8,93,415,3,20,264,2.8,151,1.6,5,18.6
48,D'Andre Swift,DET,23,RB,13,8,93,517,5,19,352,3.8,165,1.8,5,18.6
49,J.K. Dobbins,BAL,24,RB,8,8,92,520,2,26,359,3.9,161,1.8,7,13.1
50,Taysom Hill,NOR,32,TE,15,8,91,551,7,33,337,3.7,214,2.4,1,91
51,Melvin Gordon,DEN,29,RB,10,6,90,318,2,15,168,1.9,150,1.7,5,18
52,Samaje Perine,CIN,27,RB,15,2,89,376,2,19,214,2.4,162,1.8,5,17.8
53,Marcus Mariota,ATL,29,QB,13,13,85,438,4,30,333,3.9,105,1.2,1,85
54,Gus Edwards,BAL,27,RB,8,3,83,417,3,29,232,2.8,185,2.2,6,13.8
55,James Cook,BUF,23,RB,15,0,80,462,2,22,292,3.7,170,2.1,1,80
56,Breece Hall,NYJ,21,RB,7,2,80,463,4,20,332,4.2,131,1.6,3,26.7
57,Caleb Huntley,ATL,24,RB,12,0,76,366,1,18,219,2.9,147,1.9,0,
58,Eno Benjamin,3TM,23,,14,3,75,310,2,14,160,2.1,150,2,7,10.7
59,Zack Moss,2TM,25,RB,12,2,75,342,0,13,193,2.6,149,2,4,18.8
60,Chuba Hubbard,CAR,23,RB,14,2,74,397,2,20,271,3.7,126,1.7,4,18.5
61,Zonovan Knight,NYJ,21,RB,6,4,73,278,1,13,201,2.8,77,1.1,2,36.5
62,Joe Burrow*,CIN,26,QB,15,15,72,247,5,28,210,2.9,37,0.5,0,
63,Clyde Edwards-Helaire,KAN,23,RB,10,6,71,302,3,15,134,1.9,168,2.4,3,23.7
64,Jaylen Warren,PIT,24,RB,15,0,71,343,1,19,235,3.3,108,1.5,5,14.2
65,Darrell Henderson,LAR,25,RB,10,7,70,283,3,14,185,2.6,98,1.4,2,35
66,Jerick McKinnon,KAN,30,RB,16,0,70,285,1,11,181,2.6,104,1.5,5,14
67,Kyler Murray,ARI,25,QB,11,11,67,418,3,23,395,5.9,23,0.3,2,33.5
68,Joshua Kelley,LAC,25,RB,12,1,64,269,2,15,152,2.4,117,1.8,4,16
69,Alexander Mattison,MIN,24,RB,16,0,64,229,3,14,140,2.2,89,1.4,6,10.7
70,Geno Smith*,SEA,32,QB,16,16,64,315,1,22,284,4.4,31,0.5,1,64
71,Mark Ingram,NOR,33,RB,10,3,62,233,1,12,139,2.2,94,1.5,4,15.5
72,Deon Jackson,IND,23,RB,15,2,60,201,1,11,113,1.9,88,1.5,1,60
73,Chase Edmonds,2TM,26,RB,12,3,59,200,2,7,144,2.4,56,0.9,0,
74,Trevor Lawrence,JAX,23,QB,16,16,58,294,5,26,259,4.5,35,0.6,3,19.3
75,Patrick Mahomes*,KAN,27,QB,16,16,58,329,4,23,321,5.5,8,0.1,0,
76,Rashaad Penny,SEA,26,RB,5,5,57,346,2,15,169,3,177,3.1,2,28.5
77,Justin Herbert,LAC,24,QB,16,16,52,148,0,17,139,2.7,9,0.2,0,
78,Kenny Pickett,PIT,24,QB,12,11,52,236,3,23,207,4,29,0.6,0,
79,Matt Breida,NYG,27,RB,16,0,50,192,1,12,126,2.5,66,1.3,2,25
80,Jacoby Brissett,CLE,30,QB,15,11,49,243,2,28,170,3.5,73,1.5,2,24.5
81,Kenneth Gainwell,PHI,23,RB,16,0,48,205,4,15,142,3,63,1.3,2,24
82,Javonte Williams,DEN,22,RB,4,4,47,204,0,9,94,2,110,2.3,6,7.8
