,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Saquon Barkley,NYG,25,RB,6,6,119,616,23,315,2.6,301,2.5,4,29.8
2,Nick Chubb,CLE,27,RB,6,6,110,649,29,352,3.2,297,2.7,10,11
3,Miles Sanders,PHI,25,RB,6,6,105,485,25,291,2.8,194,1.8,7,15
4,Derrick Henry,TEN,28,RB,5,5,104,408,18,196,1.9,212,2,12,8.7
5,Joe Mixon,CIN,26,RB,6,6,104,347,19,239,2.3,108,1,5,20.8
6,Leonard Fournette,TAM,27,RB,6,6,95,343,18,181,1.9,162,1.7,4,23.8
7,Dalvin Cook,MIN,27,RB,6,6,94,450,22,256,2.7,194,2.1,9,10.4
8,Ezekiel Elliott,DAL,27,RB,6,6,94,386,20,211,2.2,175,1.9,3,31.3
9,Josh Jacobs,LVR,24,RB,5,5,91,490,26,163,1.8,327,3.6,12,7.6
10,Rhamondre Stevenson,NWE,24,RB,6,1,87,448,23,230,2.6,218,2.5,12,7.3
11,Dameon Pierce,HOU,22,RB,5,5,86,412,21,142,1.7,270,3.1,16,5.4
12,Christian McCaffrey,CAR,26,RB,6,6,85,393,20,214,2.5,179,2.1,3,28.3
13,Najee Harris,PIT,24,RB,6,6,83,264,11,155,1.9,109,1.3,5,16.6
14,James Robinson,JAX,24,RB,6,5,81,340,18,222,2.7,118,1.5,4,20.3
15,Jonathan Taylor,IND,23,RB,4,4,81,328,18,214,2.6,114,1.4,11,7.4
16,Jeff Wilson,SFO,27,RB,6,4,81,400,18,298,3.7,102,1.3,2,40.5
17,Jalen Hurts,PHI,24,QB,6,6,77,293,25,248,3.2,45,0.6,4,19.3
18,Jamaal Williams,DET,27,RB,5,2,77,332,19,195,2.5,137,1.8,3,25.7
19,Breece Hall,NYJ,21,RB,6,1,76,391,19,265,3.5,126,1.7,3,25.3
20,Austin Ekeler,LAC,27,RB,6,6,75,349,16,219,2.9,130,1.7,2,37.5
21,AJ Dillon,GNB,24,RB,6,2,73,286,16,185,2.5,101,1.4,3,24.3
22,Raheem Mostert,MIA,30,RB,6,4,71,309,14,174,2.5,135,1.9,5,14.2
23,Aaron Jones,GNB,28,RB,6,6,70,409,23,215,3.1,194,2.8,4,17.5
24,Alvin Kamara,NOR,27,RB,4,4,66,302,13,186,2.8,116,1.8,5,13.2
25,Khalil Herbert,CHI,24,RB,6,1,63,403,15,205,3.3,198,3.1,6,10.5
26,David Montgomery,CHI,25,RB,5,5,62,246,10,95,1.5,151,2.4,9,6.9
27,Antonio Gibson,WAS,24,RB,6,5,61,214,14,127,2.1,87,1.4,3,20.3
28,Kareem Hunt,CLE,27,RB,6,0,61,259,16,137,2.2,122,2,3,20.3
29,Clyde Edwards-Helaire,KAN,23,RB,6,6,59,256,12,103,1.7,153,2.6,2,29.5
30,Cordarrelle Patterson,ATL,31,RB,4,3,58,340,19,206,3.6,134,2.3,0,
31,Damien Harris,NWE,25,RB,5,5,57,257,13,166,2.9,91,1.6,4,14.3
32,Rashaad Penny,SEA,26,RB,5,5,57,346,15,169,3,177,3.1,2,28.5
33,Devin Singletary,BUF,25,RB,6,6,57,256,10,166,2.9,90,1.6,2,28.5
34,Lamar Jackson,BAL,25,QB,6,6,56,451,23,344,6.1,107,1.9,7,8
35,Melvin Gordon,DEN,29,RB,6,2,55,201,9,81,1.5,120,2.2,5,11
36,Tony Pollard,DAL,25,RB,6,1,55,292,13,138,2.5,154,2.8,5,11
37,Tyler Allgeier,ATL,22,RB,5,2,54,235,9,127,2.4,108,2,0,
38,James Conner,ARI,27,RB,5,5,54,200,16,126,2.3,74,1.4,1,54
39,Travis Etienne,JAX,23,RB,6,1,54,301,12,176,3.3,125,2.3,1,54
40,Justin Fields,CHI,23,QB,6,6,54,282,18,204,3.8,78,1.4,5,10.8
41,Michael Carter,NYJ,23,RB,6,5,53,199,7,144,2.7,55,1,5,10.6
42,Cam Akers,LAR,23,RB,5,2,51,151,8,65,1.3,86,1.7,1,51
43,Josh Allen,BUF,26,QB,6,6,47,257,21,160,3.4,97,2.1,0,
44,Mark Ingram,NOR,33,RB,6,2,47,190,10,115,2.4,75,1.6,4,11.8
45,Daniel Jones,NYG,25,QB,6,6,47,236,22,189,4,47,1,1,47
46,Javonte Williams,DEN,22,RB,4,4,47,204,9,94,2,110,2.3,6,7.8
47,Darrell Henderson,LAR,25,RB,6,4,46,181,9,112,2.4,69,1.5,1,46
48,Eno Benjamin,ARI,23,RB,6,1,45,173,8,114,2.5,59,1.3,6,7.5
49,Kenneth Walker III,SEA,22,RB,5,1,44,243,10,155,3.5,88,2,6,7.3
50,Marcus Mariota,ATL,29,QB,6,6,43,206,14,181,4.2,25,0.6,0,
51,Kyler Murray,ARI,25,QB,6,6,38,233,14,218,5.7,15,0.4,2,19
52,J.K. Dobbins,BAL,24,RB,4,4,35,123,10,59,1.7,64,1.8,3,11.7
53,Caleb Huntley,ATL,24,RB,4,0,35,152,10,86,2.5,66,1.9,0,
54,Kenyan Drake,BAL,28,RB,4,2,31,184,8,152,4.9,32,1,0,
55,Chase Edmonds,MIA,26,RB,6,2,31,89,4,54,1.7,35,1.1,0,
56,Sony Michel,LAC,27,RB,6,0,31,86,6,28,0.9,58,1.9,3,10.3
57,Isiah Pacheco,KAN,22,RB,6,0,31,149,4,64,2.1,85,2.7,1,31
58,Alexander Mattison,MIN,24,RB,6,0,30,97,6,51,1.7,46,1.5,5,6
59,Joe Burrow,CIN,26,QB,6,6,27,110,9,106,3.9,4,0.1,0,
60,Deon Jackson,IND,23,RB,6,1,27,101,7,64,2.4,37,1.4,1,27
61,Jerick McKinnon,KAN,30,RB,6,0,27,107,4,51,1.9,56,2.1,3,9
62,D'Andre Swift,DET,23,RB,3,3,27,231,6,148,5.5,83,3.1,2,13.5
63,Taysom Hill,NOR,32,TE,5,1,26,267,15,179,6.9,88,3.4,1,26
64,Latavius Murray,2TM,32,,2,0,26,123,6,71,2.7,52,2,0,
65,Brian Robinson Jr.,WAS,23,RB,2,1,26,82,6,52,2,30,1.2,2,13
66,Geno Smith,SEA,32,QB,6,6,26,125,8,114,4.4,11,0.4,1,26
67,Kenneth Gainwell,PHI,23,RB,6,0,23,97,6,57,2.5,40,1.7,1,23
68,Joshua Kelley,LAC,25,RB,6,0,23,104,6,49,2.1,55,2.4,3,7.7
69,Deebo Samuel,SFO,26,WR,6,5,23,136,4,58,2.5,78,3.4,2,11.5
70,Jacoby Brissett,CLE,30,QB,6,6,22,112,13,76,3.5,36,1.6,1,22
71,Patrick Mahomes,KAN,27,QB,6,6,21,113,9,110,5.2,3,0.1,0,
72,Jaylen Warren,PIT,24,RB,6,0,21,96,7,68,3.2,28,1.3,0,
73,Russell Wilson,DEN,34,QB,6,6,21,96,5,85,4,11,0.5,0,
74,Rex Burkhead,HOU,32,RB,5,0,20,64,2,43,2.2,21,1.1,2,10
75,Trevor Lawrence,JAX,23,QB,6,6,20,81,9,70,3.5,11,0.6,1,20
76,Rachaad White,TAM,23,RB,6,0,20,47,7,21,1.1,26,1.3,2,10
77,James Cook,BUF,23,RB,6,0,19,97,5,34,1.8,63,3.3,0,
78,Justice Hill,BAL,25,RB,4,0,19,125,6,83,4.4,42,2.2,3,6.3
79,J.D. McKissic,WAS,29,RB,6,0,19,85,5,60,3.2,25,1.3,1,19
80,Carson Wentz,WAS,30,QB,6,6,19,79,3,62,3.3,17,0.9,1,19
81,Justin Herbert,LAC,24,QB,6,6,18,26,3,26,1.4,0,0,0,
82,Matt Breida,NYG,27,RB,6,0,17,49,4,25,1.5,24,1.4,0,
83,Zack Moss,BUF,25,RB,5,0,17,91,3,69,4.1,22,1.3,0,
84,Samaje Perine,CIN,27,RB,6,0,17,75,4,51,3,24,1.4,1,17
85,Craig Reynolds,DET,26,RB,5,0,17,83,4,54,3.2,29,1.7,0,
86,Trey Lance,SFO,22,QB,2,2,16,67,7,50,3.1,17,1.1,2,8
