,,,,,Games,,Rushing,,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry *,TEN,28,RB,15,15,319,1429,13,64,689,2.2,740,2.3,34,9.4
2,Josh Jacobs*,LVR,24,RB,15,15,306,1539,11,86,775,2.5,764,2.5,29,10.6
3,Saquon Barkley*,NYG,25,RB,15,15,283,1254,10,60,703,2.5,551,1.9,12,23.6
4,Nick Chubb*,CLE,27,RB,15,15,276,1344,12,61,703,2.5,641,2.3,23,12
5,Dalvin Cook,MIN,27,RB,15,15,244,1109,8,47,654,2.7,455,1.9,12,20.3
6,Miles Sanders*,PHI,25,RB,15,13,236,1175,11,58,777,3.3,398,1.7,13,18.2
7,Najee Harris,PIT,24,RB,15,15,227,843,6,36,457,2,386,1.7,17,13.4
8,Jamaal Williams,DET,27,RB,15,7,224,850,14,55,535,2.4,315,1.4,11,20.4
9,Dameon Pierce,HOU,22,RB,13,13,220,939,4,54,433,2,506,2.3,27,8.1
10,Christian McCaffrey,2TM,26,RB,15,14,215,973,7,50,576,2.7,397,1.8,10,21.5
11,Ezekiel Elliott,DAL,27,RB,13,12,204,829,11,48,503,2.5,326,1.6,8,25.5
12,Travis Etienne,JAX,23,RB,15,10,204,1000,4,49,635,3.1,365,1.8,13,15.7
13,Joe Mixon,CIN,26,RB,13,13,199,787,6,45,478,2.4,309,1.6,8,24.9
14,Rhamondre Stevenson,NWE,24,RB,15,6,196,944,5,47,532,2.7,412,2.1,23,8.5
15,Jonathan Taylor,IND,23,RB,11,11,192,861,4,39,481,2.5,380,2,24,8
16,David Montgomery,CHI,25,RB,14,14,188,756,5,40,378,2,378,2,20,9.4
17,Aaron Jones,GNB,28,RB,15,15,187,962,2,47,552,3,410,2.2,11,17
18,Tony Pollard*,DAL,25,RB,15,4,186,988,9,46,493,2.7,495,2.7,11,16.9
19,Alvin Kamara,NOR,27,RB,13,11,184,717,2,32,387,2.1,330,1.8,7,26.3
20,Austin Ekeler,LAC,27,RB,15,15,183,759,11,39,467,2.6,292,1.6,2,91.5
21,Brian Robinson Jr.,WAS,23,RB,11,9,181,710,2,45,413,2.3,297,1.6,7,25.9
22,Leonard Fournette,TAM,27,RB,14,9,179,640,3,38,370,2.1,270,1.5,4,44.8
23,D'Onta Foreman,CAR,26,RB,15,7,178,811,5,39,457,2.6,354,2,10,17.8
24,Kenneth Walker III,SEA,22,RB,13,9,176,803,9,40,465,2.6,338,1.9,9,19.6
25,Devin Singletary,BUF,25,RB,15,15,170,790,5,40,531,3.1,259,1.5,8,21.3
26,James Conner,ARI,27,RB,12,12,167,703,7,44,384,2.3,319,1.9,5,33.4
27,Tyler Allgeier,ATL,22,RB,14,6,166,817,2,40,440,2.7,377,2.3,5,33.2
28,AJ Dillon,GNB,24,RB,15,3,165,696,6,41,429,2.6,267,1.6,6,27.5
29,Raheem Mostert,MIA,30,RB,14,12,161,791,3,39,464,2.9,327,2,11,14.6
30,Jalen Hurts*,PHI,24,QB,14,14,156,747,13,64,614,3.9,133,0.9,8,19.5
31,Isiah Pacheco,KAN,22,RB,15,9,153,735,3,32,465,3,270,1.8,4,38.3
32,Justin Fields,CHI,23,QB,14,14,150,1011,8,62,739,4.9,272,1.8,10,15
33,Antonio Gibson,WAS,24,RB,15,6,149,546,3,32,326,2.2,220,1.5,5,29.8
34,Cam Akers,LAR,23,RB,13,7,148,559,7,33,261,1.8,298,2,9,16.4
35,Jeff Wilson,2TM,27,RB,14,7,145,743,5,36,521,3.6,222,1.5,8,18.1
36,Latavius Murray,2TM,32,RB,11,5,144,601,5,35,346,2.4,255,1.8,5,28.8
37,Cordarrelle Patterson,ATL,31,RB,11,10,130,635,6,34,362,2.8,273,2.1,3,43.3
38,Kareem Hunt,CLE,27,RB,15,0,117,455,3,30,222,1.9,233,2,6,19.5
39,Josh Allen*,BUF,26,QB,15,15,115,746,7,52,576,5,170,1.5,5,23
40,Khalil Herbert,CHI,24,RB,11,1,114,650,4,23,353,3.1,297,2.6,9,12.7
41,Rachaad White,TAM,23,RB,15,6,114,444,1,25,295,2.6,149,1.3,3,38
42,Lamar Jackson,BAL,25,QB,12,12,112,764,3,47,542,4.8,222,2,14,8
43,Michael Carter,NYJ,23,RB,14,9,110,396,3,13,266,2.4,130,1.2,7,15.7
44,James Robinson,2TM,24,RB,11,5,110,425,3,22,288,2.6,137,1.2,6,18.3
45,Daniel Jones,NYG,25,QB,15,15,109,617,5,49,494,4.5,123,1.1,1,109
46,Kenyan Drake,BAL,28,RB,11,5,93,422,3,19,306,3.3,116,1.2,0,
47,Melvin Gordon,DEN,29,RB,10,6,90,318,2,15,168,1.9,150,1.7,5,18
48,Samaje Perine,CIN,27,RB,15,2,89,376,2,19,214,2.4,162,1.8,5,17.8
49,Marcus Mariota,ATL,29,QB,13,13,85,438,4,30,333,3.9,105,1.2,1,85
50,Damien Harris,NWE,25,RB,9,8,84,383,3,19,248,3,135,1.6,4,21
51,D'Andre Swift,DET,23,RB,12,8,82,439,4,16,307,3.7,132,1.6,4,20.5
52,James Cook,BUF,23,RB,15,0,80,462,2,21,292,3.7,170,2.1,1,80
53,Gus Edwards,BAL,27,RB,7,3,80,415,3,29,230,2.9,185,2.3,6,13.3
54,Breece Hall,NYJ,21,RB,7,2,80,463,4,20,332,4.2,131,1.6,3,26.7
55,Taysom Hill,NOR,32,TE,14,8,77,505,6,29,325,4.2,180,2.3,1,77
56,Caleb Huntley,ATL,24,RB,12,0,76,366,1,18,219,2.9,147,1.9,0,
57,J.K. Dobbins,BAL,24,RB,7,7,75,427,2,22,266,3.5,161,2.1,7,10.7
58,Eno Benjamin,3TM,23,,13,3,73,300,2,14,153,2.1,147,2,7,10.4
59,Joe Burrow*,CIN,26,QB,15,15,72,247,5,27,210,2.9,37,0.5,0,
60,Clyde Edwards-Helaire,KAN,23,RB,10,6,71,302,3,15,134,1.9,168,2.4,3,23.7
61,Chuba Hubbard,CAR,23,RB,13,2,71,385,2,20,263,3.7,122,1.7,4,17.8
62,Darrell Henderson,LAR,25,RB,10,7,70,283,3,14,185,2.6,98,1.4,2,35
63,Jerick McKinnon,KAN,30,RB,15,0,68,281,1,11,177,2.6,104,1.5,5,13.6
64,Kyler Murray,ARI,25,QB,11,11,67,418,3,23,395,5.9,23,0.3,2,33.5
65,Zonovan Knight,NYJ,21,RB,5,4,65,251,1,12,186,2.9,65,1,2,32.5
66,Mark Ingram,NOR,33,RB,10,3,62,233,1,12,139,2.2,94,1.5,4,15.5
67,Zack Moss,2TM,25,RB,11,1,60,268,0,9,151,2.5,117,2,2,30
68,Geno Smith*,SEA,32,QB,15,15,59,297,1,20,266,4.5,31,0.5,1,59
69,Jaylen Warren,PIT,24,RB,14,0,59,267,1,15,159,2.7,108,1.8,5,11.8
70,Deon Jackson,IND,23,RB,14,2,57,191,1,11,107,1.9,84,1.5,1,57
71,Rashaad Penny,SEA,26,RB,5,5,57,346,2,15,169,3,177,3.1,2,28.5
72,Trevor Lawrence,JAX,23,QB,15,15,56,290,5,25,255,4.6,35,0.6,3,18.7
73,Alexander Mattison,MIN,24,RB,15,0,56,191,3,13,115,2.1,76,1.4,6,9.3
74,Joshua Kelley,LAC,25,RB,11,1,55,224,2,12,125,2.3,99,1.8,4,13.8
75,Patrick Mahomes*,KAN,27,QB,15,15,54,321,4,23,313,5.8,8,0.1,0,
76,Chase Edmonds,2TM,26,RB,11,2,52,166,2,7,110,2.1,56,1.1,0,
77,Justin Herbert,LAC,24,QB,15,15,51,146,0,16,137,2.7,9,0.2,0,
78,Jacoby Brissett,CLE,30,QB,14,11,48,241,2,27,169,3.5,72,1.5,2,24
79,Kenneth Gainwell,PHI,23,RB,15,0,48,205,4,15,142,3,63,1.3,2,24
80,Kenny Pickett,PIT,24,QB,11,10,47,234,3,20,205,4.4,29,0.6,0,
81,Javonte Williams,DEN,22,RB,4,4,47,204,0,9,94,2,110,2.3,6,7.8
82,Boston Scott,PHI,27,RB,13,2,43,157,2,8,124,2.9,33,0.8,1,43
83,Russell Wilson,DEN,34,QB,13,13,43,232,1,16,214,5,18,0.4,0,
84,Justice Hill,BAL,25,RB,13,0,42,228,0,11,149,3.5,79,1.9,7,6
85,Matt Breida,NYG,27,RB,15,0,41,133,1,9,82,2,51,1.2,1,41
86,Justin Jackson,DET,26,RB,15,0,41,168,1,8,89,2.2,79,1.9,3,13.7
87,Deebo Samuel,SFO,26,WR,12,11,41,228,3,8,123,3,105,2.6,3,13.7
88,Mac Jones,NWE,24,QB,12,12,40,96,1,10,85,2.1,11,0.3,0,
89,Elijah Mitchell,SFO,24,RB,4,1,40,224,0,11,126,3.2,98,2.5,2,20
90,Curtis Samuel,WAS,26,WR,15,10,37,191,1,11,125,3.4,66,1.8,1,37
91,Tyler Huntley,BAL,24,QB,5,3,36,113,1,10,111,3.1,2,0.1,0,
92,Sony Michel,LAC,27,RB,10,0,36,106,0,8,42,1.2,64,1.8,3,12
93,Dak Prescott,DAL,29,QB,10,10,36,155,1,16,112,3.1,43,1.2,1,36
94,Ryan Tannehill,TEN,34,QB,12,12,34,98,2,12,77,2.3,21,0.6,1,34
95,Jamycal Hasty,JAX,26,RB,15,0,33,156,1,5,110,3.3,46,1.4,5,6.6
96,Jordan Mason,SFO,23,RB,14,0,33,217,0,9,94,2.8,123,3.7,3,11
97,Kyren Williams,LAR,22,RB,8,0,33,133,0,6,77,2.3,56,1.7,0,
98,Aaron Rodgers,GNB,39,QB,15,15,30,82,0,7,77,2.6,5,0.2,0,
99,Kirk Cousins*,MIN,34,QB,15,15,28,60,2,9,31,1.1,29,1,0,
100,Taylor Heinicke,WAS,29,QB,9,9,28,96,1,6,70,2.5,26,0.9,1,28
101,Zach Wilson,NYJ,23,QB,9,9,28,102,1,7,98,3.5,4,0.1,0,
102,Andy Dalton,NOR,35,QB,12,12,27,54,0,5,46,1.7,8,0.3,0,
103,Royce Freeman,HOU,26,RB,2,1,27,83,0,5,67,2.5,16,0.6,2,13.5
104,Davis Mills,HOU,24,QB,13,13,27,69,2,7,68,2.5,1,0,0,
105,Matt Ryan,IND,37,QB,12,12,27,70,1,9,59,2.2,11,0.4,0,
106,Malik Willis,TEN,23,QB,8,3,27,123,1,8,89,3.3,34,1.3,3,9
107,Tom Brady,TAM,45,QB,15,15,26,-5,0,2,-7,-0.3,2,0.1,0,
108,Rex Burkhead,HOU,32,RB,14,0,26,80,0,4,49,1.9,31,1.2,2,13
109,DeeJay Dallas,SEA,24,RB,13,0,26,114,0,5,78,3,36,1.4,1,26
110,Jared Goff,DET,28,QB,15,15,26,66,0,4,61,2.3,5,0.2,0,
111,Tyrion Davis-Price,SFO,22,RB,4,0,25,67,0,3,23,0.9,44,1.8,2,12.5
112,Mike Boone,DEN,27,RB,9,0,24,102,0,6,69,2.9,33,1.4,3,8
113,Derek Carr,LVR,31,QB,15,15,24,102,0,10,90,3.8,12,0.5,0,
114,Trestan Ebner,CHI,23,RB,15,0,24,54,0,2,24,1,30,1.3,1,24
115,Nyheim Hines,2TM,26,RB,15,5,24,33,1,2,24,1,9,0.4,0,
116,Keaontay Ingram,ARI,23,RB,10,0,24,55,1,3,20,0.8,35,1.5,0,
117,Dare Ogunbowale,HOU,28,RB,15,2,24,69,1,7,49,2,20,0.8,0,
118,Malik Davis,DAL,24,RB,10,0,23,103,1,4,79,3.4,24,1,1,23
119,Jimmy Garoppolo,SFO,31,QB,11,10,23,33,2,12,14,0.6,19,0.8,0,
120,Baker Mayfield,2TM,27,,10,8,23,65,1,5,57,2.5,8,0.3,0,
121,Craig Reynolds,DET,26,RB,8,0,23,102,0,4,68,3,34,1.5,0,
122,Tua Tagovailoa,MIA,24,QB,13,13,23,70,0,4,61,2.7,9,0.4,0,
123,Raheem Blackshear,CAR,23,RB,11,1,22,76,3,7,38,1.7,38,1.7,1,22
124,Dontrell Hilliard,TEN,27,RB,12,1,22,145,0,4,109,5,36,1.6,0,
125,J.D. McKissic,WAS,29,RB,8,0,22,95,0,5,64,2.9,31,1.4,1,22
126,Deshaun Watson,CLE,27,QB,4,4,22,100,1,7,76,3.5,24,1.1,0,
127,Darrel Williams,ARI,27,RB,6,0,21,102,1,8,78,3.7,24,1.1,0,
128,Benny Snell Jr.,PIT,24,RB,15,0,20,90,1,6,54,2.7,36,1.8,0,
129,Travis Homer,SEA,24,RB,10,1,19,74,0,4,42,2.2,32,1.7,1,19
130,Bryce Perkins,LAR,26,QB,5,1,19,90,0,6,53,2.8,37,1.9,0,
131,Mitchell Trubisky,PIT,28,QB,7,5,19,38,2,7,23,1.2,15,0.8,1,19
132,Carson Wentz,WAS,30,QB,7,6,19,79,0,3,62,3.3,17,0.9,1,19
133,Kevin Harris,NWE,22,RB,5,1,18,52,1,3,29,1.6,23,1.3,3,6
134,Isaiah Spiller,LAC,21,RB,6,0,18,41,0,2,17,0.9,24,1.3,0,
135,Malcolm Brown,LAR,29,RB,9,0,17,58,0,2,39,2.3,19,1.1,2,8.5
136,Ty Johnson,NYJ,25,RB,15,0,17,102,1,2,40,2.4,62,3.6,5,3.4
137,Avery Williams,ATL,24,RB,15,3,17,99,1,5,85,5,14,0.8,0,
138,Trey Lance,SFO,22,QB,2,2,16,67,0,7,50,3.1,17,1.1,2,8
139,Marlon Mack,2TM,26,,7,0,16,84,1,4,61,3.8,23,1.4,2,8
140,Brock Purdy,SFO,23,QB,7,3,16,9,1,4,2,0.1,7,0.4,0,
141,Zamir White,LVR,23,RB,13,0,16,66,0,4,36,2.3,30,1.9,0,
142,Gary Brightwell,NYG,23,RB,15,0,15,72,1,5,53,3.5,19,1.3,0,
143,Sam Darnold,CAR,25,QB,4,4,15,54,2,5,44,2.9,10,0.7,0,
144,Jeff Driskel,HOU,29,QB,5,2,15,61,0,4,38,2.5,23,1.5,1,15
145,Phillip Lindsay,IND,28,RB,3,0,15,49,0,1,30,2,19,1.3,0,
146,Brandon Powell,LAR,27,WR,15,4,15,59,0,4,31,2.1,28,1.9,0,
147,Darrynton Evans,CHI,24,RB,6,0,14,64,0,3,37,2.6,27,1.9,0,
148,Colt McCoy,ARI,36,QB,4,3,14,36,0,5,16,1.1,20,1.4,1,14
149,Jonathan Williams,WAS,28,RB,11,0,14,90,0,5,39,2.8,51,3.6,1,14
150,Matthew Stafford,LAR,34,QB,9,9,13,9,1,3,3,0.2,6,0.5,1,13
151,Tevin Coleman,SFO,29,RB,5,0,12,26,1,2,13,1.1,13,1.1,0,
152,Devin Duvernay*,BAL,25,WR,14,13,12,84,1,7,75,6.3,9,0.8,0,
153,David Johnson,NOR,31,RB,3,0,12,24,0,0,6,0.5,18,1.5,0,
154,Trace McSorley,ARI,27,QB,5,1,12,48,0,2,43,3.6,5,0.4,0,
155,Steven Sims,PIT,25,WR,10,1,12,54,0,4,52,4.3,2,0.2,0,
156,Salvon Ahmed,MIA,24,RB,10,0,11,57,1,4,32,2.9,25,2.3,1,11
157,Sam Ehlinger,IND,24,QB,2,2,11,54,0,3,50,4.5,4,0.4,0,
158,Hassan Haskins,TEN,23,RB,13,0,11,50,0,3,21,1.9,29,2.6,0,
159,Dwayne Washington,NOR,28,RB,12,0,11,38,0,2,17,1.5,21,1.9,1,11
160,Jamal Agnew,JAX,27,WR,13,0,10,92,0,6,86,8.6,6,0.6,1,10
161,Myles Gaskin,MIA,25,RB,4,0,10,26,0,2,14,1.4,12,1.2,0,
162,Tony Jones,2TM,25,RB,6,0,10,24,0,3,12,1.2,12,1.2,1,10
163,CeeDee Lamb*,DAL,23,WR,15,15,10,47,0,3,36,3.6,11,1.1,1,10
164,D.J. Moore,CAR,25,WR,15,15,10,53,0,3,37,3.7,16,1.6,0,
165,Desmond Ridder,ATL,23,QB,2,2,10,46,0,3,40,4,6,0.6,0,
166,Pierre Strong,NWE,24,RB,13,0,10,100,1,5,81,8.1,19,1.9,0,
167,J.J. Taylor,NWE,24,RB,1,0,10,9,0,,4,0.4,5,0.5,1,10
168,Skylar Thompson,MIA,25,QB,5,1,10,14,0,1,14,1.4,0,0,0,
169,Bailey Zappe,NWE,23,QB,4,2,10,0,0,0,0,0,0,0,0,
170,Braxton Berrios,NYJ,27,WR,15,2,9,91,2,5,72,8,19,2.1,0,
171,Brandon Bolden,LVR,32,RB,14,0,9,34,0,1,30,3.3,4,0.4,0,
172,Spencer Brown,CAR,24,RB,2,0,9,43,0,1,32,3.6,11,1.2,0,
173,Chase Claypool,2TM,24,WR,13,11,9,59,0,3,45,5,14,1.6,0,
174,Cooper Kupp,LAR,29,WR,9,9,9,52,1,4,44,4.9,8,0.9,0,
175,Isaiah McKenzie,BUF,27,WR,14,7,9,55,1,3,47,5.2,8,0.9,0,
176,Ronnie Rivers,LAR,23,RB,7,1,9,21,0,1,16,1.8,5,0.6,0,
177,Cooper Rush,DAL,29,QB,8,5,9,6,0,1,6,0.7,0,0,0,
178,Amon-Ra St. Brown,DET,23,WR,14,14,9,95,0,3,80,8.9,15,1.7,0,
179,Chris Streveler,NYJ,27,QB,1,1,9,54,0,1,42,4.7,12,1.3,0,
180,Ke'Shawn Vaughn,TAM,25,RB,13,0,9,27,0,1,16,1.8,11,1.2,1,9
181,Tutu Atwell,LAR,23,WR,11,3,8,23,0,1,16,2,7,0.9,0,
