Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Cooper Kupp,LAR,29,WR,4,4,54,42,402,3,26,224,5.3,178,4.2,7.7,1,42,2,3.7,3,93.1
2,Stefon Diggs,BUF,29,WR,4,4,41,31,406,4,18,302,9.7,104,3.4,10.1,0,,2,4.9,0,138.9
3,Tyreek Hill,MIA,28,WR,4,4,43,31,477,2,19,304,9.8,173,5.6,10.5,4,7.8,2,4.7,2,104.5
4,Marquise Brown,ARI,25,WR,4,4,45,30,339,2,16,234,7.8,105,3.5,9.3,0,,0,0,2,85.3
5,Justin Jefferson,MIN,23,WR,4,4,42,28,393,2,16,224,8,169,6,8.5,2,14,1,2.4,2,92.7
6,Austin Ekeler,LAC,27,RB,4,4,29,27,188,1,9,-47,-1.7,235,8.7,-1.5,6,4.5,1,3.4,0,105.2
7,Tyler Lockett,SEA,30,WR,4,4,34,27,302,0,14,261,9.7,41,1.5,11.5,0,,0,0,2,79.2
8,Davante Adams,LVR,30,WR,4,4,47,26,290,3,16,176,6.8,114,4.4,9.3,2,13,1,2.1,1,86.3
9,Tyler Higbee,LAR,29,TE,4,4,38,26,244,0,13,72,2.8,172,6.6,3.4,1,26,2,5.3,3,53
10,Travis Kelce,KAN,33,TE,4,4,34,26,322,3,21,195,7.5,127,4.9,7.9,3,8.7,1,2.9,0,134.7
11,Curtis Samuel,WAS,26,WR,4,3,37,26,219,2,13,89,3.4,130,5,4.1,2,13,0,0,1,92.1
12,A.J. Brown,PHI,25,WR,4,4,38,25,404,1,18,247,9.9,157,6.3,11.2,2,12.5,0,0,0,110
13,Ja'Marr Chase,CIN,22,WR,4,4,41,25,293,2,20,179,7.2,114,4.6,9.8,4,6.3,4,9.8,0,98.9
14,Mark Andrews,BAL,27,TE,4,4,36,24,260,3,16,185,7.7,75,3.1,11.5,1,24,2,5.6,1,103.9
15,Courtland Sutton,DEN,27,WR,4,4,35,24,343,1,16,275,11.5,68,2.8,12,0,,3,8.6,1,97.7
16,Diontae Johnson,PIT,26,WR,4,4,37,23,207,0,12,187,8.1,20,0.9,11,0,,2,5.4,2,54.7
17,CeeDee Lamb,DAL,23,WR,4,4,42,23,288,2,16,189,8.2,99,4.3,10.5,1,23,3,7.1,0,92.2
18,D.K. Metcalf,SEA,25,WR,4,4,35,23,284,1,12,221,9.6,63,2.7,11.2,0,,1,2.9,1,88.3
19,Amon-Ra St. Brown,DET,23,WR,3,3,33,23,253,3,12,112,4.9,141,6.1,5.9,2,11.5,2,6.1,0,122.4
20,Zach Ertz,ARI,32,TE,4,4,31,22,181,2,10,112,5.1,69,3.1,5.6,0,,3,9.7,0,107.1
21,Tyler Conklin,NYJ,27,TE,4,4,29,21,192,1,8,71,3.4,121,5.8,3.1,0,,3,10.3,1,87.1
22,Greg Dortch,ARI,24,WR,4,2,24,21,204,1,11,91,4.3,113,5.4,5.3,1,21,0,0,0,116
23,Russell Gage,TAM,26,WR,4,1,25,21,152,1,7,84,4,68,3.2,4.4,0,,0,0,0,105.3
24,Chris Olave,NOR,22,WR,4,2,36,21,335,1,12,292,13.9,43,2,18.7,1,21,1,2.8,3,64
25,Adam Thielen,MIN,32,WR,4,4,28,21,221,1,16,182,8.7,39,1.9,9.4,0,,0,0,1,94.5
26,Jaylen Waddle,MIA,24,WR,4,4,35,21,381,3,18,230,11,151,7.2,10.1,2,10.5,2,5.7,1,114.1
27,Brandin Cooks,HOU,29,WR,4,4,36,20,215,1,11,162,8.1,53,2.7,8.8,1,20,3,8.3,1,70.9
28,Amari Cooper,CLE,28,WR,4,4,31,20,228,2,13,157,7.9,71,3.6,10.5,0,,2,6.5,1,94.6
29,Tee Higgins,CIN,23,WR,4,4,28,20,315,2,15,203,10.2,112,5.6,11.1,1,20,1,3.6,0,132.3
30,Christian Kirk,JAX,26,WR,4,4,36,20,327,3,14,205,10.3,122,6.1,8.5,0,,2,5.6,2,90.9
31,Michael Pittman Jr.,IND,25,WR,3,3,28,20,224,1,12,124,6.2,100,5,6,0,,1,3.6,0,106.8
32,Garrett Wilson,NYJ,22,WR,4,2,39,20,255,2,12,178,8.9,77,3.9,9.5,3,6.7,3,7.7,0,89.2
33,Romeo Doubs,GNB,22,WR,4,2,24,19,184,2,7,59,3.1,125,6.6,6.7,0,,2,8.3,0,126.4
34,Zay Jones,JAX,27,WR,3,2,24,19,173,1,10,94,4.9,79,4.2,6.3,0,,1,4.2,0,110.6
35,Christian McCaffrey,CAR,26,RB,4,4,23,19,138,1,4,-6,-0.3,144,7.6,0.3,1,19,0,0,0,106.2
36,J.D. McKissic,WAS,29,RB,4,0,23,19,122,0,7,28,1.5,94,4.9,1.6,1,19,1,4.3,0,88.8
