,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Nick Chubb,CLE,27,RB,3,3,62,341,15,182,2.9,159,2.6,8,7.8
2,Jonathan Taylor,IND,23,RB,3,3,61,286,15,199,3.3,87,1.4,8,7.6
3,Joe Mixon,CIN,26,RB,3,3,58,163,6,119,2.1,44,0.8,2,29
4,Leonard Fournette,TAM,27,RB,3,3,57,227,8,133,2.3,94,1.6,3,19
5,Derrick Henry,TEN,28,RB,3,3,54,192,7,71,1.3,121,2.2,6,9
6,Saquon Barkley,NYG,25,RB,3,3,53,317,12,108,2,209,3.9,1,53
7,James Robinson,JAX,24,RB,3,3,51,230,12,143,2.8,87,1.7,4,12.8
8,Christian McCaffrey,CAR,26,RB,3,3,50,243,13,129,2.6,114,2.3,1,50
9,Cordarrelle Patterson,ATL,31,RB,3,2,49,302,17,188,3.8,114,2.3,0,
10,Dameon Pierce,HOU,22,RB,3,3,46,182,13,71,1.5,111,2.4,6,7.7
11,Miles Sanders,PHI,25,RB,3,3,45,222,11,112,2.5,110,2.4,3,15
12,Dalvin Cook,MIN,27,RB,3,3,43,203,13,126,2.9,77,1.8,4,10.8
13,Jamaal Williams,DET,27,RB,3,0,43,168,11,112,2.6,56,1.3,1,43
14,Josh Jacobs,LVR,24,RB,3,3,42,192,9,82,2,110,2.6,6,7
15,AJ Dillon,GNB,24,RB,3,0,40,138,11,67,1.7,71,1.8,3,13.3
16,Ezekiel Elliott,DAL,27,RB,3,3,40,178,10,102,2.6,76,1.9,2,20
17,Antonio Gibson,WAS,24,RB,3,3,40,124,9,70,1.8,54,1.4,2,20
18,Najee Harris,PIT,24,RB,3,3,40,128,8,83,2.1,45,1.1,2,20
19,Jeff Wilson,SFO,27,RB,3,2,39,181,7,136,3.5,45,1.2,1,39
20,Jalen Hurts,PHI,24,QB,3,3,37,167,10,136,3.7,31,0.8,4,9.3
21,Javonte Williams,DEN,22,RB,3,3,37,176,7,92,2.5,84,2.3,6,6.2
22,Kareem Hunt,CLE,27,RB,3,0,36,151,10,88,2.4,63,1.8,2,18
23,Damien Harris,NWE,25,RB,3,3,35,160,9,85,2.4,75,2.1,4,8.8
24,David Montgomery,CHI,25,RB,3,3,35,159,6,61,1.7,98,2.8,8,4.4
25,Melvin Gordon,DEN,29,RB,3,0,34,131,6,50,1.5,81,2.4,4,8.5
26,Khalil Herbert,CHI,24,RB,3,0,33,240,12,139,4.2,101,3.1,5,6.6
27,Austin Ekeler,LAC,27,RB,3,3,32,80,4,34,1.1,46,1.4,0,
28,Aaron Jones,GNB,28,RB,3,3,32,217,11,85,2.7,132,4.1,2,16
29,Rashaad Penny,SEA,26,RB,3,3,32,141,7,64,2,77,2.4,2,16
30,Cam Akers,LAR,23,RB,3,0,30,105,5,52,1.7,53,1.8,0,
31,James Conner,ARI,27,RB,3,3,30,90,11,51,1.7,39,1.3,1,30
32,Rhamondre Stevenson,NWE,24,RB,3,0,29,145,9,77,2.7,68,2.3,4,7.3
33,Michael Carter,NYJ,23,RB,3,3,28,122,4,95,3.4,27,1,4,7
34,Tony Pollard,DAL,25,RB,3,1,28,156,8,85,3,71,2.5,1,28
35,Justin Fields,CHI,23,QB,3,3,27,95,7,69,2.6,26,1,2,13.5
36,Darrell Henderson,LAR,25,RB,3,3,27,111,6,78,2.9,33,1.2,0,
37,D'Andre Swift,DET,23,RB,3,3,27,231,6,148,5.5,83,3.1,2,13.5
