Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
1,Tyreek Hill,MIA,28,WR,9,9,100,76,1104,3,48,765,10.1,339,4.5,11.7,4,19,4,4,2,113.1
2,Cooper Kupp,LAR,29,WR,8,8,93,72,813,6,42,394,5.5,419,5.8,7.3,3,24,2,2.2,4,106.6
3,Stefon Diggs,BUF,29,WR,8,8,83,60,857,7,39,582,9.7,275,4.6,11.6,0,,3,3.6,0,133.5
4,Austin Ekeler,LAC,27,RB,8,8,70,60,381,4,23,-82,-1.4,463,7.7,-1,6,10,4,5.7,0,108.4
5,Justin Jefferson,MIN,23,WR,8,8,84,59,867,3,35,496,8.4,371,6.3,9,3,19.7,2,2.4,3,100.6
6,Travis Kelce,KAN,33,TE,8,8,77,57,659,7,43,389,6.8,270,4.7,7.4,11,5.2,6,7.8,1,124.3
7,Michael Pittman Jr.,IND,25,WR,8,8,76,54,550,1,29,318,5.9,232,4.3,6.4,3,18,3,3.9,2,84.9
8,Tyler Lockett,SEA,30,WR,9,9,66,51,598,4,29,464,9.1,134,2.6,11.2,1,51,1,1.5,3,105.5
9,Davante Adams,LVR,30,WR,8,8,85,48,658,7,30,424,8.8,234,4.9,11,6,8,4,4.7,1,103.9
10,Ja'Marr Chase,CIN,22,WR,7,7,74,47,605,6,34,332,7.1,273,5.8,9,7,6.7,6,8.1,1,110.5
11,Jaylen Waddle,MIA,24,WR,9,9,70,47,812,6,38,513,10.9,299,6.4,10.6,2,23.5,5,7.1,2,123
12,Zach Ertz,ARI,32,TE,9,9,68,46,394,4,23,268,5.8,126,2.7,7.9,2,23,3,4.4,1,96.1
13,Curtis Samuel,WAS,26,WR,9,7,66,45,455,3,25,262,5.8,193,4.3,5.9,5,9,4,6.1,1,96.5
14,Mike Evans,TAM,29,WR,8,8,70,44,617,3,31,498,11.3,119,2.7,12.8,1,44,4,5.7,1,99.5
15,JuJu Smith-Schuster,KAN,26,WR,8,8,60,44,582,2,27,234,5.3,348,7.9,7.4,1,44,4,6.7,2,100.8
16,A.J. Brown,PHI,25,WR,8,7,69,43,718,6,30,445,10.3,273,6.3,10.9,3,14.3,5,7.2,0,126.4
17,Marquise Brown,ARI,25,WR,6,6,64,43,485,3,24,326,7.6,159,3.7,10.5,1,43,2,3.1,4,79.2
18,Diontae Johnson,PIT,26,WR,8,8,76,43,372,0,20,289,6.7,83,1.9,10.1,1,43,3,3.9,5,42.2
19,Christian Kirk,JAX,26,WR,9,9,70,43,574,5,29,377,8.8,197,4.6,8.9,1,43,2,2.9,3,93.4
20,Christian McCaffrey,2TM,26,,8,7,54,43,356,2,16,-22,-0.5,378,8.8,0,6,7.2,2,3.7,1,98.8
21,Chris Olave,NOR,22,WR,8,6,72,43,618,2,28,513,11.9,105,2.4,14.5,2,21.5,2,2.8,4,73.7
22,Mark Andrews,BAL,27,TE,8,8,64,42,488,5,29,343,8.2,145,3.5,10.6,1,42,5,7.8,1,108.1
23,Leonard Fournette,TAM,27,RB,9,9,49,42,314,3,15,-38,-0.9,352,8.4,-0.8,10,4.2,3,6.1,0,113.8
24,Chris Godwin,TAM,26,WR,7,6,65,42,404,0,18,198,4.7,206,4.9,5.5,1,42,2,3.1,0,81.8
25,CeeDee Lamb,DAL,23,WR,8,8,73,42,556,3,29,358,8.5,198,4.7,10.4,1,42,4,5.5,2,84
26,D.K. Metcalf,SEA,25,WR,9,9,68,42,510,4,23,389,9.3,121,2.9,11.4,0,,6,8.8,1,98.3
27,Garrett Wilson,NYJ,22,WR,9,5,68,42,521,2,25,321,7.6,200,4.8,8.2,5,8.4,4,5.9,0,95.3
28,Tee Higgins,CIN,23,WR,9,8,58,41,564,3,25,388,9.5,176,4.3,10.2,2,20.5,3,5.2,1,111.6
29,Dallas Goedert,PHI,27,TE,8,8,50,40,521,2,29,173,4.3,348,8.7,5.3,1,40,1,2,0,123.4
30,Jakobi Meyers,NWE,26,WR,7,6,52,40,457,3,22,318,8,139,3.5,9.4,1,40,2,3.8,0,122
31,DeVonta Smith,PHI,24,WR,8,8,53,40,442,2,24,257,6.4,185,4.6,8.2,2,20,2,3.8,0,112.3
32,Amari Cooper,CLE,28,WR,8,8,66,39,553,5,29,436,11.2,117,3,11.9,0,,6,9.1,2,98.9
33,Zay Jones,JAX,27,WR,8,7,55,39,349,1,21,210,5.4,139,3.6,7.5,0,,2,3.6,1,86.1
34,Amon-Ra St. Brown,DET,23,WR,7,7,59,39,399,3,20,198,5.1,201,5.2,6,3,13,3,5.1,1,95.2
35,Brandon Aiyuk,SFO,24,WR,8,8,55,38,483,4,23,268,7.1,215,5.7,9.4,1,38,2,3.6,0,120.5
36,Hayden Hurst,CIN,29,TE,9,9,48,38,303,2,18,180,4.7,123,3.2,4.7,4,9.5,1,2.1,1,98.2
37,Terry McLaurin,WAS,27,WR,9,9,62,38,609,2,26,374,9.8,235,6.2,12.6,5,7.6,2,3.2,0,104.8
38,Joe Mixon,CIN,26,RB,9,9,50,38,272,2,11,-38,-1,310,8.2,-0.6,4,9.5,2,4,0,101.4
39,Adam Thielen,MIN,32,WR,8,8,57,38,418,2,27,334,8.8,84,2.2,10.3,0,,0,0,2,85.3
40,Robert Tonyan,GNB,28,TE,9,2,46,38,315,1,13,146,3.8,169,4.4,5.3,1,38,1,2.2,2,84.3
41,Tyler Boyd,CIN,28,WR,9,7,49,37,537,4,25,351,9.5,186,5,9.7,2,18.5,1,2,3,112.4
42,Mike Williams,LAC,28,WR,7,7,59,37,495,3,21,307,8.3,188,5.1,11.8,0,,1,1.7,0,106.2
43,Tyler Higbee,LAR,29,TE,8,8,57,36,312,0,17,103,2.9,209,5.8,3.1,2,18,5,8.8,3,55.6
44,Alvin Kamara,NOR,27,RB,7,6,49,36,319,2,11,17,0.5,302,8.4,1.4,3,12,2,4.1,0,104
45,T.J. Hockenson,2TM,25,,8,8,52,35,465,3,22,243,6.9,222,6.3,7.6,3,11.7,3,5.8,3,90.6
46,D.J. Moore,CAR,25,WR,9,9,71,35,449,3,22,326,9.3,123,3.5,11.6,2,17.5,3,4.2,3,66
47,Rhamondre Stevenson,NWE,24,RB,9,3,43,35,227,1,9,5,0.1,222,6.3,1,6,5.8,1,2.3,0,96.4
48,Courtland Sutton,DEN,27,WR,8,8,62,35,467,1,21,369,10.5,98,2.8,12.1,0,,5,8.1,2,72.4
49,Chase Claypool,2TM,24,,9,8,56,34,324,1,18,207,6.1,117,3.4,9.3,2,17,3,5.4,2,67.9
50,David Njoku,CLE,26,TE,7,7,42,34,418,1,22,196,5.8,222,6.5,6.5,2,17,2,4.8,1,106.2
51,Josh Palmer,LAC,24,WR,7,7,50,34,346,1,18,204,6,142,4.2,6.7,0,,4,8,1,85.9
52,Tyler Conklin,NYJ,27,TE,9,9,50,33,316,3,16,143,4.3,173,5.2,7,1,33,3,6,2,86.7
53,Evan Engram,JAX,28,TE,9,7,47,33,338,1,14,174,5.3,164,5,7.6,2,16.5,3,6.4,0,97.7
54,Drake London,ATL,21,WR,9,7,56,33,369,2,22,256,7.8,113,3.4,9.9,1,33,1,1.8,2,75.7
55,Parris Campbell,IND,25,WR,9,8,45,32,297,2,18,122,3.8,175,5.5,5.9,5,6.4,0,0,2,85.1
56,Brandin Cooks,HOU,29,WR,7,7,53,32,354,1,15,259,8.1,95,3,9.2,1,32,4,7.5,1,78.7
57,Gerald Everett,LAC,28,TE,8,5,53,32,341,2,15,172,5.4,169,5.3,6.8,4,8,6,11.3,2,76.1
58,Pat Freiermuth,PIT,24,TE,7,4,48,32,367,1,19,244,7.6,123,3.8,8.3,2,16,3,6.3,2,79.1
59,Aaron Jones,GNB,28,RB,9,9,40,32,210,3,11,-12,-0.4,222,6.9,-0.4,0,,3,7.5,0,113.5
60,Darnell Mooney,CHI,25,WR,9,9,52,32,407,1,16,272,8.5,135,4.2,12,1,32,3,5.8,2,76.4
61,Rondale Moore,ARI,22,WR,6,6,43,32,320,1,12,74,2.3,246,7.7,4.6,4,8,4,9.3,0,102.9
62,Deebo Samuel,SFO,26,WR,7,6,54,32,387,2,14,99,3.1,288,9,4.9,8,4,7,13,3,70.5
63,Romeo Doubs,GNB,22,WR,9,7,50,31,314,3,12,159,5.1,155,5,9.9,0,,5,10,0,99.9
64,Antonio Gibson,WAS,24,RB,9,6,38,31,239,2,13,47,1.5,192,6.2,1.2,3,10.3,2,5.3,1,99.5
65,Jerry Jeudy,DEN,23,WR,8,8,54,30,449,3,21,234,7.8,215,7.2,11.8,1,30,4,7.4,0,101.5
66,Allen Lazard,GNB,27,WR,7,7,51,30,427,5,25,294,9.8,133,4.4,13.2,1,30,2,3.9,2,102.3
67,Donovan Peoples-Jones,CLE,23,WR,8,6,46,30,417,0,16,339,11.3,78,2.6,10.9,1,30,1,2.2,0,94.2
68,Russell Gage,TAM,26,WR,7,4,40,29,231,1,13,137,4.7,94,3.2,5.6,0,,3,7.5,0,94.9
69,Saquon Barkley,NYG,25,RB,8,8,35,28,189,0,4,-32,-1.1,221,7.9,0.8,2,14,2,5.7,1,77.3
70,Mack Hollins,LVR,29,WR,8,7,44,28,398,2,19,288,10.3,110,3.9,13,0,,1,2.3,0,108
71,George Kittle,SFO,29,TE,6,6,39,28,319,2,14,160,5.7,159,5.7,5.3,2,14,0,0,1,102.4
72,Noah Fant,SEA,25,TE,9,9,34,27,272,1,11,111,4.1,161,6,5.7,0,,1,2.9,0,109.8
73,Marvin Jones,JAX,32,WR,8,6,47,27,313,1,17,257,9.5,56,2.1,13,0,,3,6.4,1,75.9
74,J.D. McKissic,WAS,29,RB,8,0,40,27,173,0,7,21,0.8,152,5.6,1.3,2,13.5,1,2.5,2,55.5
75,Devin Singletary,BUF,25,RB,8,8,35,27,207,1,13,12,0.4,195,7.2,0.1,2,13.5,3,8.6,0,100.5
76,DeAndre Hopkins,ARI,30,WR,3,3,32,26,298,2,14,247,9.5,51,2,10.1,0,,3,9.4,0,126.3
77,George Pickens,PIT,21,WR,8,4,43,26,338,1,17,286,11,52,2,13.8,2,13,1,2.3,0,93
78,Josh Reynolds,DET,27,WR,7,7,42,26,357,2,17,267,10.3,90,3.5,13.2,0,,3,7.1,1,95
79,Noah Brown,DAL,26,WR,7,7,39,25,339,1,16,249,10,90,3.6,10.2,4,6.3,2,5.1,1,89.6
80,Rex Burkhead,HOU,32,RB,8,0,33,25,131,1,5,-1,0,132,5.3,1.4,0,,1,3,1,79.2
81,Michael Carter,NYJ,23,RB,9,7,32,25,196,0,9,-18,-0.7,214,8.6,0.2,3,8.3,1,3.1,0,92.2
82,Greg Dortch,ARI,24,WR,9,2,29,25,221,2,12,93,3.7,128,5.1,4.6,1,25,0,0,0,121.4
83,Devin Duvernay,BAL,25,WR,9,9,33,25,318,3,16,208,8.3,110,4.4,10.3,0,,0,0,1,123
84,Mecole Hardman,KAN,24,WR,8,5,34,25,297,4,14,137,5.5,160,6.4,8.1,1,25,1,2.9,0,139
85,Nyheim Hines,2TM,26,,8,4,29,25,188,0,8,43,1.7,145,5.8,2.4,2,12.5,2,6.9,0,93.7
86,Josh Jacobs,LVR,24,RB,8,8,29,25,172,0,9,-29,-1.2,201,8,-1,2,12.5,1,3.4,0,91.4
87,Alec Pierce,IND,22,WR,8,7,40,25,396,1,18,331,13.2,65,2.6,12.3,0,,2,5,1,93.3
88,Allen Robinson,LAR,29,WR,8,8,41,25,248,2,16,194,7.8,54,2.2,9.2,0,,0,0,1,84.2
89,Eno Benjamin,ARI,23,RB,9,3,33,24,184,0,10,-38,-1.6,222,9.3,-1.2,3,8,3,9.1,0,85.9
90,DeAndre Carter,LAC,29,WR,8,5,34,24,282,1,17,190,7.9,92,3.8,9.6,0,,0,0,1,93
91,Will Dissly,SEA,26,TE,9,9,26,24,230,3,13,98,4.1,132,5.5,4,0,,1,3.8,0,142
92,Najee Harris,PIT,24,RB,8,8,28,24,112,2,8,-17,-0.7,129,5.4,0.1,1,24,1,3.6,0,107.1
93,Ben Skowronek,LAR,25,WR,8,5,32,24,231,0,10,130,5.4,101,4.2,7.1,0,,1,3.1,0,94.7
94,Juwan Johnson,NOR,26,TE,9,5,36,23,258,3,11,154,6.7,104,4.5,7.5,1,23,0,0,1,101.4
95,Cade Otton,TAM,23,TE,8,6,32,23,246,1,12,133,5.8,113,4.9,4.7,1,23,1,3.1,0,104.4
96,Kyle Pitts,ATL,22,TE,8,8,46,23,285,2,16,179,7.8,106,4.6,14.1,0,,3,6.5,0,84.1
97,Marquez Valdes-Scantling,KAN,28,WR,8,5,39,23,381,0,17,284,12.3,97,4.2,12.2,0,,2,5.1,1,81.2
98,Mike Gesicki,MIA,27,TE,9,1,32,22,238,4,13,164,7.5,74,3.4,9,1,22,2,6.3,1,116.9
99,Irv Smith Jr.,MIN,24,TE,7,0,33,22,168,2,9,79,3.6,89,4,4.7,0,,2,6.1,1,86.4
100,Robert Woods,TEN,30,WR,8,6,36,22,256,1,15,171,7.8,85,3.9,8.4,0,,2,5.6,2,68.7
101,Olamide Zaccheaus,ATL,25,WR,9,6,25,22,331,2,17,236,10.7,95,4.3,10.3,0,,0,0,0,145.4
102,K.J. Osborn,MIN,25,WR,8,7,33,21,185,2,8,130,6.2,55,2.6,7.9,0,,1,3,0,98.7
103,Hunter Renfrow,LVR,27,WR,6,1,29,21,192,0,10,114,5.4,78,3.7,5.6,0,,0,0,2,61.3
104,Kylen Granson,IND,24,TE,9,3,27,20,176,0,10,88,4.4,88,4.4,5.2,0,,1,3.7,2,60.1
105,Richie James,NYG,27,WR,8,1,26,20,191,0,9,140,7,51,2.6,8.1,1,20,1,3.8,0,96.8
106,Dawson Knox,BUF,26,TE,7,7,27,20,183,2,10,118,5.9,65,3.3,6.9,1,20,0,0,2,85.9
107,Isaiah McKenzie,BUF,27,WR,7,5,30,20,182,3,11,123,6.2,59,3,6,0,,2,6.7,1,102.4
108,Dameon Pierce,HOU,22,RB,8,8,24,20,98,1,4,-21,-1.1,119,6,0,4,5,1,4.2,0,97.6
109,Kalif Raymond,DET,28,WR,8,2,28,20,255,0,10,167,8.4,88,4.4,11.1,1,20,0,0,0,99.6
110,Dalton Schultz,DAL,26,TE,6,6,29,20,203,0,7,132,6.6,71,3.6,5.8,0,,1,3.4,0,88.7
111,Rachaad White,TAM,23,RB,9,0,25,20,135,0,9,10,0.5,125,6.3,0.3,1,20,1,4,0,89.2
112,James Conner,ARI,27,RB,6,6,24,19,122,0,5,-25,-1.3,147,7.7,0.4,1,19,2,8.3,0,87.8
113,Dalvin Cook,MIN,27,RB,8,8,28,19,119,1,8,-17,-0.9,136,7.2,-0.8,1,19,2,7.1,0,88.2
114,Corey Davis,NYJ,27,WR,7,5,34,19,351,2,17,292,15.4,59,3.1,15.3,0,,1,2.9,0,111.3
115,Travis Etienne,JAX,23,RB,9,4,28,19,174,0,9,-14,-0.7,188,9.9,0.9,0,,3,10.7,0,84.5
116,Breece Hall,NYJ,21,RB,7,2,31,19,218,1,8,47,2.5,171,9,4.7,2,9.5,5,16.1,1,79.8
117,Hunter Henry,NWE,28,TE,9,8,28,19,240,1,13,164,8.6,76,4,8.1,0,,1,3.6,0,106.2
118,Kareem Hunt,CLE,27,RB,8,0,23,19,117,1,7,-4,-0.2,121,6.4,0,5,3.8,3,13,0,102.4
119,Cole Kmet,CHI,23,TE,9,9,26,19,200,3,11,109,5.7,91,4.8,6.9,1,19,1,3.8,2,101.4
120,Jerick McKinnon,KAN,30,RB,8,0,25,19,156,1,7,-25,-1.3,181,9.5,0.2,1,19,2,8,0,104.7
121,Scott Miller,TAM,25,WR,7,1,32,19,145,0,5,119,6.3,26,1.4,11.5,0,,3,9.4,0,70.4
122,Randall Cobb,GNB,32,WR,6,1,26,18,257,0,12,122,6.8,135,7.5,10.7,0,,0,0,1,84.9
123,Nico Collins,HOU,23,WR,6,4,30,18,305,0,12,230,12.8,75,4.2,13.7,0,,0,0,1,80.6
124,Gabriel Davis,BUF,23,WR,7,7,38,18,451,4,14,332,18.4,119,6.6,17.1,0,,4,10.5,4,86.5
125,Samaje Perine,CIN,27,RB,9,0,22,18,126,1,4,-7,-0.4,133,7.4,1.8,3,6,2,9.1,0,105.7
126,Trent Sherfield,MIA,26,WR,9,1,25,18,184,0,9,142,7.9,42,2.3,9.6,0,,0,0,1,76.1
127,Clyde Edwards-Helaire,KAN,23,RB,8,6,21,17,151,3,11,7,0.4,144,8.5,0.4,3,5.7,1,4.8,0,136.2
128,Isaiah Likely,BAL,22,TE,9,1,30,17,205,2,10,111,6.5,94,5.5,7.4,2,8.5,3,10,0,100
129,Foster Moreau,LVR,25,TE,6,5,27,17,175,0,12,72,4.2,103,6.1,6.4,2,8.5,1,3.7,0,81.6
130,Tre'Quan Smith,NOR,26,WR,7,3,25,17,264,1,14,200,11.8,64,3.8,12.8,2,8.5,3,12,2,82.7
131,Daniel Bellinger,NYG,22,TE,7,6,18,16,152,2,10,55,3.4,97,6.1,3.1,0,,0,0,0,138.9
132,AJ Dillon,GNB,24,RB,9,2,25,16,99,0,3,13,0.8,86,5.4,0.9,1,16,4,16,0,71.9
133,Melvin Gordon,DEN,29,RB,8,4,21,16,138,0,7,8,0.5,130,8.1,0.6,1,16,2,9.5,0,93
134,Darrell Henderson,LAR,25,RB,8,5,21,16,91,0,4,-10,-0.6,101,6.3,1.2,0,,0,0,0,83.6
135,Deon Jackson,IND,23,RB,9,2,17,16,121,0,5,-5,-0.3,126,7.9,-0.2,3,5.3,0,0,0,96.3
136,Elijah Moore,NYJ,22,WR,8,6,30,16,203,0,11,152,9.5,51,3.2,13.4,1,16,2,6.7,0,74.7
137,Demarcus Robinson,BAL,28,WR,9,1,29,16,152,1,7,95,5.9,57,3.6,9.8,1,16,1,3.4,2,52.7
138,Darius Slayton,NYG,25,WR,7,3,24,16,232,1,14,187,11.7,45,2.8,14.2,2,8,2,8.3,1,94.4
139,Jonnu Smith,NWE,27,TE,8,4,24,16,154,0,6,10,0.6,144,9,3.1,7,2.3,1,4.2,1,67
140,D'Andre Swift,DET,23,RB,5,3,21,16,144,2,7,-21,-1.3,165,10.3,0.6,2,8,1,4.8,0,125.9
141,Jonathan Taylor,IND,23,RB,6,6,25,16,71,0,1,-8,-0.5,79,4.9,-0.6,2,8,0,0,1,51.2
142,Michael Thomas,NOR,29,WR,3,3,22,16,171,3,13,150,9.4,21,1.3,10.8,0,,1,4.5,0,134.7
143,Darren Waller,LVR,30,TE,5,4,24,16,175,1,9,128,8,47,2.9,11.5,0,,2,8.3,2,67.2
144,Javonte Williams,DEN,22,RB,4,4,22,16,76,0,4,-42,-2.6,118,7.4,-1.1,2,8,1,4.5,0,77.1
145,Nelson Agholor,NWE,29,WR,8,3,21,15,227,1,7,142,9.5,85,5.7,12.7,0,,2,9.5,2,82.9
146,Rashod Bateman,BAL,23,WR,6,5,28,15,285,2,7,152,10.1,133,8.9,13.4,1,15,4,14.3,1,98.1
147,Marquez Callaway,NOR,24,WR,9,3,29,15,152,1,11,119,7.9,33,2.2,11.1,0,,3,10.3,2,49.8
148,Jarvis Landry,NOR,30,WR,4,1,21,15,168,0,5,133,8.9,35,2.3,10.8,0,,0,0,1,75.1
149,DeVante Parker,NWE,29,WR,8,7,28,15,321,1,13,243,16.2,78,5.2,16.9,2,7.5,0,0,4,66.8
150,Robbie Anderson,2TM,29,,9,6,34,14,202,1,5,130,9.3,72,5.1,13.6,0,,2,5.9,1,58.7
151,Kendrick Bourne,NWE,27,WR,8,2,19,14,167,0,9,118,8.4,49,3.5,10.6,0,,0,0,2,60.5
152,Harrison Bryant,CLE,24,TE,8,5,21,14,114,0,4,74,5.3,40,2.9,7.2,0,,3,14.3,0,80.3
153,Marquise Goodwin,SEA,32,WR,7,0,20,14,179,2,8,107,7.6,72,5.1,9.1,1,14,0,0,0,131
154,Derrick Henry,TEN,28,RB,8,8,18,14,140,0,4,11,0.8,129,9.2,0.4,2,7,3,16.7,0,99.1
155,Dontrell Hilliard,TEN,27,RB,7,1,18,14,140,3,7,9,0.6,131,9.4,1.3,0,,2,11.1,0,138.7
156,Jauan Jennings,SFO,25,WR,7,1,24,14,180,0,9,80,5.7,100,7.1,7,2,7,5,20.8,2,47.2
157,David Montgomery,CHI,25,RB,8,8,16,14,143,0,5,-4,-0.3,147,10.5,-0.3,3,4.7,0,0,0,103.9
158,Chris Moore,HOU,29,WR,7,2,21,14,171,2,6,63,4.5,108,7.7,5.8,0,,2,9.5,1,103.5
159,Mo Alie-Cox,IND,29,TE,9,6,18,13,149,2,6,72,5.5,77,5.9,4.7,1,13,1,5.6,0,133.8
160,Cameron Brate,TAM,31,TE,5,1,22,13,114,0,7,87,6.7,27,2.1,6.6,1,13,1,4.5,0,72.9
161,Terrace Marshall Jr.,CAR,22,WR,6,2,23,13,201,1,11,134,10.3,67,5.2,10.7,0,,2,8.7,0,100.1
162,Raheem Mostert,MIA,30,RB,9,7,22,13,97,1,5,16,1.2,81,6.2,1.6,4,3.3,2,9.1,0,84.8
163,Johnny Mundt,MIN,28,TE,8,6,15,13,77,1,5,11,0.8,66,5.1,1.1,2,6.5,2,13.3,0,110.3
164,Sterling Shepard,NYG,29,WR,3,2,24,13,154,1,4,99,7.6,55,4.2,9.4,1,13,3,12.5,0,87.8
165,Logan Thomas,WAS,31,TE,6,5,23,13,106,1,6,67,5.2,39,3,9.2,0,,0,0,2,46.6
166,Jeff Wilson,2TM,27,,9,6,16,13,112,1,4,36,2.8,76,5.8,2.9,0,,1,6.3,0,116.7
167,Braxton Berrios,NYJ,27,WR,9,1,17,12,69,0,4,18,1.5,51,4.3,4.4,0,,2,11.8,1,53.3
168,Jahan Dotson,WAS,22,WR,4,3,22,12,152,4,8,130,10.8,22,1.8,15,0,,1,4.5,2,78
169,Greg Dulcich,DEN,22,TE,3,1,17,12,182,1,7,110,9.2,72,6,13.2,0,,1,5.9,1,100.6
170,Ashton Dulin,IND,25,WR,5,1,18,12,168,0,9,137,11.4,31,2.6,11.9,1,12,0,0,1,73.4
171,Michael Gallup,DAL,26,WR,5,3,23,12,135,1,7,109,9.1,26,2.2,11.3,0,,2,8.7,2,48.3
172,Zach Gentry,PIT,26,TE,8,6,13,12,92,0,5,9,0.8,83,6.9,0.9,0,,0,0,0,96.2
173,Noah Gray,KAN,23,TE,8,3,17,12,123,0,6,72,6,51,4.3,6.4,0,,1,5.9,0,91.1
174,Austin Hooper,TEN,28,TE,8,1,18,12,150,0,9,116,9.7,34,2.8,9.1,1,12,0,0,0,92.4
175,Colby Parkinson,SEA,23,TE,9,0,13,12,165,1,8,66,5.5,99,8.3,6.2,0,,0,0,0,144.4
176,Tony Pollard,DAL,25,RB,8,2,19,12,121,0,5,6,0.5,115,9.6,0.2,0,,0,0,0,81.2
177,Wan'Dale Robinson,NYG,21,WR,4,1,16,12,107,1,6,51,4.3,56,4.7,4.8,1,12,0,0,0,113.3
178,Ian Thomas,CAR,26,TE,9,9,18,12,120,0,4,12,1,108,9,3.1,2,6,2,11.1,0,85.4
179,Kenneth Walker III,SEA,22,RB,8,4,16,12,48,0,1,-26,-2.2,74,6.2,-2.1,0,,1,6.3,1,51
180,Jaylen Warren,PIT,24,RB,8,0,14,12,88,0,3,-11,-0.9,99,8.3,-1.1,1,12,2,14.3,0,92.9
181,Jordan Akins,HOU,30,TE,6,0,15,11,159,1,8,67,6.1,92,8.4,6.3,1,11,0,0,0,129.6
182,John Bates,WAS,25,TE,8,4,17,11,84,0,3,34,3.1,50,4.5,4.3,1,11,2,11.8,0,76.6
183,Josiah Deguara,GNB,25,TE,9,0,12,11,106,0,4,46,4.2,60,5.5,3.3,0,,1,8.3,0,103.5
184,Damien Harris,NWE,25,RB,7,6,14,11,47,0,2,-4,-0.4,51,4.6,0.1,2,5.5,1,7.1,0,80.7
185,Mark Ingram,NOR,33,RB,8,3,12,11,46,0,2,-9,-0.8,55,5,-1.3,1,11,0,0,0,82.6
186,Kyle Juszczyk,SFO,31,FB,7,5,15,11,153,0,7,41,3.7,112,10.2,3.5,2,5.5,1,6.7,0,105.7
187,Dante Pettis,CHI,27,WR,9,3,20,11,167,2,5,118,10.7,49,4.5,10.9,1,11,2,10,0,116
188,James Robinson,2TM,24,,9,5,14,11,51,2,5,-6,-0.5,57,5.2,0.5,0,,0,0,0,121.4
189,Miles Sanders,PHI,25,RB,8,8,13,11,42,0,1,-16,-1.5,58,5.3,-0.7,2,5.5,1,7.7,0,80.1
190,David Sills,NYG,26,WR,8,5,17,11,106,0,7,66,6,40,3.6,7.8,0,,1,5.9,1,57.5
191,Equanimeous St. Brown,CHI,26,WR,9,9,25,11,164,1,8,121,11,43,3.9,13.6,0,,1,4,2,46.1
192,Treylon Burks,TEN,22,WR,4,2,16,10,129,0,6,73,7.3,56,5.6,12.2,0,,1,6.3,0,87.8
193,Nick Chubb,CLE,27,RB,8,8,15,10,70,0,4,-20,-2,90,9,-1.1,2,5,1,6.7,0,77.1
194,Chase Edmonds,MIA,26,RB,8,2,17,10,96,1,4,35,3.5,61,6.1,2.4,4,2.5,4,23.5,0,94.2
195,A.J. Green,ARI,34,WR,7,4,23,10,56,0,4,44,4.4,12,1.2,11.1,0,,2,8.7,0,50.8
196,Brandon Powell,LAR,27,WR,8,1,11,10,74,0,3,-4,-0.4,78,7.8,1.5,0,,0,0,0,94.7
197,Tommy Tremble,CAR,22,TE,9,3,18,10,99,2,4,63,6.3,36,3.6,9.4,0,,1,5.6,1,85.2
198,C.J. Uzomah,NYJ,29,TE,8,7,11,10,82,0,3,23,2.3,59,5.9,3,1,10,0,0,0,97.7
199,Sammy Watkins,GNB,29,WR,5,3,17,10,159,0,7,96,9.6,63,6.3,10.6,0,,2,11.8,0,90.1
200,Christian Watson,GNB,23,WR,6,3,14,10,88,0,3,12,1.2,76,7.6,6.4,2,5,1,7.1,0,87.8
201,Michael Bandy,LAC,25,WR,5,1,18,9,74,0,4,53,5.9,21,2.3,8.8,0,,1,5.6,0,60.9
