,,,,,Games,,Rushing,,,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
1,Derrick Henry,TEN,28,RB,8,8,183,870,40,376,2.1,494,2.7,20,9.2
2,Saquon Barkley,NYG,25,RB,8,8,163,779,32,398,2.4,381,2.3,7,23.3
3,Joe Mixon,CIN,26,RB,9,9,151,585,35,370,2.5,215,1.4,7,21.6
4,Nick Chubb,CLE,27,RB,8,8,149,841,39,451,3,390,2.6,17,8.8
5,Dameon Pierce,HOU,22,RB,8,8,148,678,40,275,1.9,403,2.7,22,6.7
6,Josh Jacobs,LVR,24,RB,8,8,138,743,43,284,2.1,459,3.3,16,8.6
7,Dalvin Cook,MIN,27,RB,8,8,131,608,29,341,2.6,267,2,10,13.1
8,Miles Sanders,PHI,25,RB,8,8,131,656,33,420,3.2,236,1.8,9,14.6
9,Rhamondre Stevenson,NWE,24,RB,9,3,129,618,32,309,2.4,309,2.4,16,8.1
10,Jamaal Williams,DET,27,RB,8,5,126,545,33,318,2.5,227,1.8,5,25.2
11,Leonard Fournette,TAM,27,RB,9,9,121,405,24,220,1.8,185,1.5,4,30.3
12,Travis Etienne,JAX,23,RB,9,4,120,680,34,381,3.2,299,2.5,13,9.2
13,Christian McCaffrey,2TM,26,,8,7,111,525,27,303,2.7,222,2,7,15.9
14,Kenneth Walker III,SEA,22,RB,8,4,111,570,27,335,3,235,2.1,7,15.9
15,Raheem Mostert,MIA,30,RB,9,7,110,478,24,312,2.8,166,1.5,6,18.3
16,Ezekiel Elliott,DAL,27,RB,7,7,109,443,26,259,2.4,184,1.7,4,27.3
17,Najee Harris,PIT,24,RB,8,8,108,361,15,222,2.1,139,1.3,7,15.4
18,Aaron Jones,GNB,28,RB,9,9,107,600,32,324,3,276,2.6,6,17.8
19,Jonathan Taylor,IND,23,RB,6,6,107,462,24,286,2.7,176,1.6,12,8.9
20,David Montgomery,CHI,25,RB,8,8,106,397,20,152,1.4,245,2.3,11,9.6
21,Alvin Kamara,NOR,27,RB,7,6,104,443,21,257,2.5,186,1.8,6,17.3
22,Jeff Wilson,2TM,27,,9,6,101,519,23,376,3.7,143,1.4,4,25.3
23,James Robinson,2TM,24,,9,5,99,405,21,270,2.7,135,1.4,4,24.8
24,AJ Dillon,GNB,24,RB,9,2,98,389,23,245,2.5,144,1.5,3,32.7
25,Austin Ekeler,LAC,27,RB,8,8,98,427,19,283,2.9,144,1.5,2,49
26,Khalil Herbert,CHI,24,RB,9,1,98,586,20,319,3.3,267,2.7,7,14
27,Tyler Allgeier,ATL,22,RB,8,4,94,423,19,253,2.7,170,1.8,0,
28,Justin Fields,CHI,23,QB,9,9,91,602,42,467,5.1,135,1.5,6,15.2
29,Antonio Gibson,WAS,24,RB,9,6,89,328,21,190,2.1,138,1.6,4,22.3
30,Jalen Hurts,PHI,24,QB,8,8,88,326,28,265,3,61,0.7,4,22
31,Lamar Jackson,BAL,25,QB,9,9,86,635,38,431,5,204,2.4,13,6.6
32,Michael Carter,NYJ,23,RB,9,7,85,330,13,220,2.6,110,1.3,5,17
33,Tony Pollard,DAL,25,RB,8,2,81,506,21,218,2.7,288,3.6,6,13.5
34,Breece Hall,NYJ,21,RB,7,2,80,463,20,332,4.2,131,1.6,3,26.7
35,Devin Singletary,BUF,25,RB,8,8,79,347,14,232,2.9,115,1.5,2,39.5
36,Kareem Hunt,CLE,27,RB,8,0,77,305,19,151,2,154,2,5,15.4
37,Melvin Gordon,DEN,29,RB,8,4,75,263,12,122,1.6,141,1.9,5,15
38,Kenyan Drake,BAL,28,RB,7,4,73,344,16,245,3.4,99,1.4,0,
39,Damien Harris,NWE,25,RB,7,6,71,302,16,188,2.6,114,1.6,4,17.8
