CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Curtis Samuel (20380222),Curtis Samuel,20380222,FLEX,5000,SEA@WAS 11/29/2021 09:45PM ET,WAS,3.35
,,,,,,,TE,Logan Thomas (20380223),Logan Thomas,20380223,FLEX,4800,SEA@WAS 11/29/2021 09:45PM ET,WAS,8.68
,,,,,,,DST,Seahawks  (20380224),Seahawks ,20380224,FLEX,4600,SEA@WAS 11/29/2021 09:45PM ET,SEA,4.9
,,,,,,,DST,WAS Football Team  (20380225),WAS Football Team ,20380225,FLEX,4400,SEA@WAS 11/29/2021 09:45PM ET,WAS,4.5
,,,,,,,K,Joey Slye (20380226),Joey Slye,20380226,FLEX,4200,SEA@WAS 11/29/2021 09:45PM ET,WAS,9
,,,,,,,WR,Adam Humphries (20380174),Adam Humphries,20380174,CPT,4200,SEA@WAS 11/29/2021 09:45PM ET,WAS,4.85
,,,,,,,K,Jason Myers (20380227),Jason Myers,20380227,FLEX,4000,SEA@WAS 11/29/2021 09:45PM ET,SEA,5.6
,,,,,,,WR,Cam Sims (20380228),Cam Sims,20380228,FLEX,3800,SEA@WAS 11/29/2021 09:45PM ET,WAS,3.11
,,,,,,,TE,John Bates (20380229),John Bates,20380229,FLEX,3600,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.39
,,,,,,,WR,Freddie Swain (20380175),Freddie Swain,20380175,CPT,3300,SEA@WAS 11/29/2021 09:45PM ET,SEA,4.78
,,,,,,,WR,Adam Humphries (20380230),Adam Humphries,20380230,FLEX,2800,SEA@WAS 11/29/2021 09:45PM ET,WAS,4.85
,,,,,,,TE,Ricky Seals-Jones (20380176),Ricky Seals-Jones,20380176,CPT,2700,SEA@WAS 11/29/2021 09:45PM ET,WAS,6.44
,,,,,,,WR,Freddie Swain (20380231),Freddie Swain,20380231,FLEX,2200,SEA@WAS 11/29/2021 09:45PM ET,SEA,4.78
,,,,,,,TE,Ricky Seals-Jones (20380232),Ricky Seals-Jones,20380232,FLEX,1800,SEA@WAS 11/29/2021 09:45PM ET,WAS,6.44
,,,,,,,RB,Jaret Patterson (20380177),Jaret Patterson,20380177,CPT,1500,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.33
,,,,,,,RB,Jaret Patterson (20380233),Jaret Patterson,20380233,FLEX,1000,SEA@WAS 11/29/2021 09:45PM ET,WAS,1.33
,,,,,,,TE,Will Dissly (20380178),Will Dissly,20380178,CPT,900,SEA@WAS 11/29/2021 09:45PM ET,SEA,3.46
,,,,,,,TE,Will Dissly (20380234),Will Dissly,20380234,FLEX,600,SEA@WAS 11/29/2021 09:45PM ET,SEA,3.46
,,,,,,,RB,Rashaad Penny (20380179),Rashaad Penny,20380179,CPT,600,SEA@WAS 11/29/2021 09:45PM ET,SEA,1.08
,,,,,,,RB,Rashaad Penny (20380235),Rashaad Penny,20380235,FLEX,400,SEA@WAS 11/29/2021 09:45PM ET,SEA,1.08
,,,,,,,RB,Wendell Smallwood (20380180),Wendell Smallwood,20380180,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,WAS,0
,,,,,,,WR,Penny Hart (20380181),Penny Hart,20380181,CPT,300,SEA@WAS 11/29/2021 09:45PM ET,SEA,0.78
