QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,WR,Cooper Kupp (20692476),Cooper Kupp,20692476,WR/FLEX,9100,LAR@MIN 12/26/2021 01:00PM ET,LAR,28.36
,,,,,,,,,,WR,Tyreek Hill (20692478),Tyreek Hill,20692478,WR/FLEX,8400,PIT@KC 12/26/2021 04:25PM ET,KC,20.8
,,,,,,,,,,RB,Dalvin Cook (20692196),Dalvin Cook,20692196,RB/FLEX,8300,LAR@MIN 12/26/2021 01:00PM ET,MIN,18.8
,,,,,,,,,,WR,Justin Jefferson (20692480),Justin Jefferson,20692480,WR/FLEX,8100,LAR@MIN 12/26/2021 01:00PM ET,MIN,20.92
,,,,,,,,,,RB,Austin Ekeler (20692198),Austin Ekeler,20692198,RB/FLEX,8100,LAC@HOU 12/26/2021 01:00PM ET,LAC,21.48
,,,,,,,,,,WR,Keenan Allen (20692482),Keenan Allen,20692482,WR/FLEX,7700,LAC@HOU 12/26/2021 01:00PM ET,LAC,18.21
,,,,,,,,,,QB,Patrick Mahomes (20692122),Patrick Mahomes,20692122,QB,7700,PIT@KC 12/26/2021 04:25PM ET,KC,23.16
,,,,,,,,,,WR,Stefon Diggs (20692484),Stefon Diggs,20692484,WR/FLEX,7600,BUF@NE 12/26/2021 01:00PM ET,BUF,16.91
,,,,,,,,,,QB,Josh Allen (20692123),Josh Allen,20692123,QB,7500,BUF@NE 12/26/2021 01:00PM ET,BUF,25.70
,,,,,,,,,,WR,Diontae Johnson (20692486),Diontae Johnson,20692486,WR/FLEX,7500,PIT@KC 12/26/2021 04:25PM ET,PIT,18.47
,,,,,,,,,,QB,Tom Brady (20692124),Tom Brady,20692124,QB,7400,TB@CAR 12/26/2021 01:00PM ET,TB,24.57
,,,,,,,,,,RB,Najee Harris (20692200),Najee Harris,20692200,RB/FLEX,7400,PIT@KC 12/26/2021 04:25PM ET,PIT,18.19
,,,,,,,,,,RB,Leonard Fournette (20692202),Leonard Fournette,20692202,RB/FLEX,7300,TB@CAR 12/26/2021 01:00PM ET,TB,18.69
,,,,,,,,,,WR,Chris Godwin (20692488),Chris Godwin,20692488,WR/FLEX,7300,TB@CAR 12/26/2021 01:00PM ET,TB,18.53
,,,,,,,,,,TE,Travis Kelce (20692886),Travis Kelce,20692886,TE/FLEX,7300,PIT@KC 12/26/2021 04:25PM ET,KC,17.79
,,,,,,,,,,QB,Justin Herbert (20692125),Justin Herbert,20692125,QB,7200,LAC@HOU 12/26/2021 01:00PM ET,LAC,25.19
,,,,,,,,,,WR,Ja'Marr Chase (20692490),Ja'Marr Chase,20692490,WR/FLEX,7100,BAL@CIN 12/26/2021 01:00PM ET,CIN,16.78
,,,,,,,,,,WR,Mike Evans (20692492),Mike Evans,20692492,WR/FLEX,7000,TB@CAR 12/26/2021 01:00PM ET,TB,16.21
,,,,,,,,,,TE,Mark Andrews (20692888),Mark Andrews,20692888,TE/FLEX,7000,BAL@CIN 12/26/2021 01:00PM ET,BAL,18.23
,,,,,,,,,,WR,Adam Thielen (20692494),Adam Thielen,20692494,WR/FLEX,6900,LAR@MIN 12/26/2021 01:00PM ET,MIN,16.32
,,,,,,,,,,QB,Lamar Jackson (20692126),Lamar Jackson,20692126,QB,6900,BAL@CIN 12/26/2021 01:00PM ET,BAL,22.33
,,,,,,,,,,RB,Joe Mixon (20692204),Joe Mixon,20692204,RB/FLEX,6900,BAL@CIN 12/26/2021 01:00PM ET,CIN,17.91
,,,,,,,,,,RB,Alexander Mattison (20692206),Alexander Mattison,20692206,RB/FLEX,6800,LAR@MIN 12/26/2021 01:00PM ET,MIN,8.35
,,,,,,,,,,WR,Hunter Renfrow (20692496),Hunter Renfrow,20692496,WR/FLEX,6800,DEN@LV 12/26/2021 04:25PM ET,LV,15.61
,,,,,,,,,,QB,Matthew Stafford (20692127),Matthew Stafford,20692127,QB,6700,LAR@MIN 12/26/2021 01:00PM ET,LAR,22.88
,,,,,,,,,,RB,Cordarrelle Patterson (20692208),Cordarrelle Patterson,20692208,RB/FLEX,6700,DET@ATL 12/26/2021 01:00PM ET,ATL,17.15
,,,,,,,,,,WR,Tyler Lockett (20692498),Tyler Lockett,20692498,WR/FLEX,6700,CHI@SEA 12/26/2021 04:05PM ET,SEA,16.25
,,,,,,,,,,RB,Saquon Barkley (20692210),Saquon Barkley,20692210,RB/FLEX,6500,NYG@PHI 12/26/2021 01:00PM ET,NYG,12.77
,,,,,,,,,,QB,Jalen Hurts (20692128),Jalen Hurts,20692128,QB,6400,NYG@PHI 12/26/2021 01:00PM ET,PHI,23.04
,,,,,,,,,,WR,DK Metcalf (20692502),DK Metcalf,20692502,WR/FLEX,6400,CHI@SEA 12/26/2021 04:05PM ET,SEA,13.82
,,,,,,,,,,RB,D'Andre Swift (20692212),D'Andre Swift,20692212,RB/FLEX,6300,DET@ATL 12/26/2021 01:00PM ET,DET,17.76
,,,,,,,,,,WR,Brandin Cooks (20692504),Brandin Cooks,20692504,WR/FLEX,6300,LAC@HOU 12/26/2021 01:00PM ET,HOU,15.61
,,,,,,,,,,QB,Kirk Cousins (20692130),Kirk Cousins,20692130,QB,6200,LAR@MIN 12/26/2021 01:00PM ET,MIN,20.37
,,,,,,,,,,TE,Rob Gronkowski (20692890),Rob Gronkowski,20692890,TE/FLEX,6200,TB@CAR 12/26/2021 01:00PM ET,TB,14.63
,,,,,,,,,,WR,Tee Higgins (20692500),Tee Higgins,20692500,WR/FLEX,6200,BAL@CIN 12/26/2021 01:00PM ET,CIN,14.71
,,,,,,,,,,WR,Mike Williams (20692506),Mike Williams,20692506,WR/FLEX,6100,LAC@HOU 12/26/2021 01:00PM ET,LAC,15.24
,,,,,,,,,,QB,Russell Wilson (20692129),Russell Wilson,20692129,QB,6100,CHI@SEA 12/26/2021 04:05PM ET,SEA,16.58
,,,,,,,,,,RB,Javonte Williams (20692216),Javonte Williams,20692216,RB/FLEX,6100,DEN@LV 12/26/2021 04:25PM ET,DEN,13.52
,,,,,,,,,,WR,DeVonta Smith (20692508),DeVonta Smith,20692508,WR/FLEX,6000,NYG@PHI 12/26/2021 01:00PM ET,PHI,11.29
,,,,,,,,,,QB,Tyler Huntley (20692131),Tyler Huntley,20692131,QB,6000,BAL@CIN 12/26/2021 01:00PM ET,BAL,13.50
,,,,,,,,,,RB,Josh Jacobs (20692214),Josh Jacobs,20692214,RB/FLEX,6000,DEN@LV 12/26/2021 04:25PM ET,LV,14.6
,,,,,,,,,,TE,Darren Waller (20692892),Darren Waller,20692892,TE/FLEX,6000,DEN@LV 12/26/2021 04:25PM ET,LV,13.53
,,,,,,,,,,RB,James Robinson (20692220),James Robinson,20692220,RB/FLEX,5900,JAX@NYJ 12/26/2021 01:00PM ET,JAX,13.68
,,,,,,,,,,WR,Russell Gage (20692510),Russell Gage,20692510,WR/FLEX,5900,DET@ATL 12/26/2021 01:00PM ET,ATL,11.41
,,,,,,,,,,QB,Joe Burrow (20692132),Joe Burrow,20692132,QB,5900,BAL@CIN 12/26/2021 01:00PM ET,CIN,19.24
,,,,,,,,,,TE,Kyle Pitts (20692894),Kyle Pitts,20692894,TE/FLEX,5800,DET@ATL 12/26/2021 01:00PM ET,ATL,11.05
,,,,,,,,,,WR,Marquise Brown (20692512),Marquise Brown,20692512,WR/FLEX,5800,BAL@CIN 12/26/2021 01:00PM ET,BAL,16.65
,,,,,,,,,,RB,Clyde Edwards-Helaire (20692222),Clyde Edwards-Helaire,20692222,RB/FLEX,5800,PIT@KC 12/26/2021 04:25PM ET,KC,12.83
,,,,,,,,,,QB,Derek Carr (20692133),Derek Carr,20692133,QB,5800,DEN@LV 12/26/2021 04:25PM ET,LV,18.28
,,,,,,,,,,RB,Melvin Gordon III (20692224),Melvin Gordon III,20692224,RB/FLEX,5800,DEN@LV 12/26/2021 04:25PM ET,DEN,13.48
,,,,,,,,,,RB,Darrell Henderson Jr. (20692228),Darrell Henderson Jr.,20692228,RB/FLEX,5700,LAR@MIN 12/26/2021 01:00PM ET,LAR,14.7
,,,,,,,,,,WR,DJ Moore (20692514),DJ Moore,20692514,WR/FLEX,5700,TB@CAR 12/26/2021 01:00PM ET,CAR,15.29
,,,,,,,,,,RB,David Montgomery (20692226),David Montgomery,20692226,RB/FLEX,5700,CHI@SEA 12/26/2021 04:05PM ET,CHI,14.84
,,,,,,,,,,RB,Miles Sanders (20692218),Miles Sanders,20692218,RB/FLEX,5600,NYG@PHI 12/26/2021 01:00PM ET,PHI,10.76
,,,,,,,,,,RB,Damien Harris (20692230),Damien Harris,20692230,RB/FLEX,5600,BUF@NE 12/26/2021 01:00PM ET,NE,13.4
,,,,,,,,,,QB,Cam Newton (20692134),Cam Newton,20692134,QB,5600,TB@CAR 12/26/2021 01:00PM ET,CAR,17.24
,,,,,,,,,,WR,Amon-Ra St. Brown (20692516),Amon-Ra St. Brown,20692516,WR/FLEX,5600,DET@ATL 12/26/2021 01:00PM ET,DET,9.99
,,,,,,,,,,RB,Sony Michel (20692232),Sony Michel,20692232,RB/FLEX,5500,LAR@MIN 12/26/2021 01:00PM ET,LAR,7.5
,,,,,,,,,,WR,Van Jefferson Jr. (20692518),Van Jefferson Jr.,20692518,WR/FLEX,5500,LAR@MIN 12/26/2021 01:00PM ET,LAR,10.8
,,,,,,,,,,WR,Elijah Moore (20692520),Elijah Moore,20692520,WR/FLEX,5500,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,12.84
,,,,,,,,,,QB,Davis Mills (20692136),Davis Mills,20692136,QB,5500,LAC@HOU 12/26/2021 01:00PM ET,HOU,12.17
,,,,,,,,,,RB,Rashaad Penny (20692234),Rashaad Penny,20692234,RB/FLEX,5500,CHI@SEA 12/26/2021 04:05PM ET,SEA,6.81
,,,,,,,,,,QB,Ben Roethlisberger (20692135),Ben Roethlisberger,20692135,QB,5500,PIT@KC 12/26/2021 04:25PM ET,PIT,16.20
,,,,,,,,,,QB,Gardner Minshew II (20692139),Gardner Minshew II,20692139,QB,5400,NYG@PHI 12/26/2021 01:00PM ET,PHI,9.61
,,,,,,,,,,RB,Chuba Hubbard (20692236),Chuba Hubbard,20692236,RB/FLEX,5400,TB@CAR 12/26/2021 01:00PM ET,CAR,7.95
,,,,,,,,,,QB,Jared Goff (20692137),Jared Goff,20692137,QB,5400,DET@ATL 12/26/2021 01:00PM ET,DET,14.92
,,,,,,,,,,QB,Matt Ryan (20692138),Matt Ryan,20692138,QB,5400,DET@ATL 12/26/2021 01:00PM ET,ATL,15.6
,,,,,,,,,,WR,Darnell Mooney (20692522),Darnell Mooney,20692522,WR/FLEX,5400,CHI@SEA 12/26/2021 04:05PM ET,CHI,12.38
,,,,,,,,,,WR,Kenny Golladay (20692528),Kenny Golladay,20692528,WR/FLEX,5300,NYG@PHI 12/26/2021 01:00PM ET,NYG,7.43
,,,,,,,,,,WR,Odell Beckham Jr. (20692524),Odell Beckham Jr.,20692524,WR/FLEX,5300,LAR@MIN 12/26/2021 01:00PM ET,LAR,8.79
,,,,,,,,,,QB,Mac Jones (20692140),Mac Jones,20692140,QB,5300,BUF@NE 12/26/2021 01:00PM ET,NE,14.62
,,,,,,,,,,TE,Dawson Knox (20692896),Dawson Knox,20692896,TE/FLEX,5300,BUF@NE 12/26/2021 01:00PM ET,BUF,12.48
,,,,,,,,,,QB,Zach Wilson (20692141),Zach Wilson,20692141,QB,5300,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,11.74
,,,,,,,,,,RB,Devonta Freeman (20692238),Devonta Freeman,20692238,RB/FLEX,5300,BAL@CIN 12/26/2021 01:00PM ET,BAL,9.48
,,,,,,,,,,QB,Teddy Bridgewater (20692142),Teddy Bridgewater,20692142,QB,5300,DEN@LV 12/26/2021 04:25PM ET,DEN,15.48
,,,,,,,,,,QB,Daniel Jones (20692143),Daniel Jones,20692143,QB,5200,NYG@PHI 12/26/2021 01:00PM ET,NYG,16.41
,,,,,,,,,,RB,Michael Carter (20692240),Michael Carter,20692240,RB/FLEX,5200,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,11.98
,,,,,,,,,,WR,Calvin Ridley (20692526),Calvin Ridley,20692526,WR/FLEX,5200,DET@ATL 12/26/2021 01:00PM ET,ATL,14.22
,,,,,,,,,,QB,Justin Fields (20692144),Justin Fields,20692144,QB,5200,CHI@SEA 12/26/2021 04:05PM ET,CHI,12.07
,,,,,,,,,,QB,Marcus Mariota (20692145),Marcus Mariota,20692145,QB,5200,DEN@LV 12/26/2021 04:25PM ET,LV,1.35
,,,,,,,,,,QB,Mike Glennon (20692146),Mike Glennon,20692146,QB,5100,NYG@PHI 12/26/2021 01:00PM ET,NYG,9.46
,,,,,,,,,,TE,Dallas Goedert (20692898),Dallas Goedert,20692898,TE/FLEX,5100,NYG@PHI 12/26/2021 01:00PM ET,PHI,11.78
,,,,,,,,,,RB,Devin Singletary (20692242),Devin Singletary,20692242,RB/FLEX,5100,BUF@NE 12/26/2021 01:00PM ET,BUF,9.34
,,,,,,,,,,RB,Ronald Jones II (20692304),Ronald Jones II,20692304,RB/FLEX,5100,TB@CAR 12/26/2021 01:00PM ET,TB,4.39
,,,,,,,,,,WR,Tyler Boyd (20692532),Tyler Boyd,20692532,WR/FLEX,5100,BAL@CIN 12/26/2021 01:00PM ET,CIN,11.12
,,,,,,,,,,WR,Chase Claypool (20692530),Chase Claypool,20692530,WR/FLEX,5100,PIT@KC 12/26/2021 04:25PM ET,PIT,11.57
,,,,,,,,,,QB,Drew Lock (20692147),Drew Lock,20692147,QB,5100,DEN@LV 12/26/2021 04:25PM ET,DEN,3.29
,,,,,,,,,,QB,Jake Fromm (20692150),Jake Fromm,20692150,QB,5000,NYG@PHI 12/26/2021 01:00PM ET,NYG,3.28
,,,,,,,,,,RB,Rhamondre Stevenson (20692246),Rhamondre Stevenson,20692246,RB/FLEX,5000,BUF@NE 12/26/2021 01:00PM ET,NE,9.16
,,,,,,,,,,WR,Kendrick Bourne (20692536),Kendrick Bourne,20692536,WR/FLEX,5000,BUF@NE 12/26/2021 01:00PM ET,NE,11.12
,,,,,,,,,,QB,Trevor Lawrence (20692149),Trevor Lawrence,20692149,QB,5000,JAX@NYJ 12/26/2021 01:00PM ET,JAX,13.16
,,,,,,,,,,WR,Jamison Crowder (20692538),Jamison Crowder,20692538,WR/FLEX,5000,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,9.83
,,,,,,,,,,RB,Jamaal Williams (20692244),Jamaal Williams,20692244,RB/FLEX,5000,DET@ATL 12/26/2021 01:00PM ET,DET,9.25
,,,,,,,,,,QB,Andy Dalton (20692148),Andy Dalton,20692148,QB,5000,CHI@SEA 12/26/2021 04:05PM ET,CHI,11.36
,,,,,,,,,,WR,Jerry Jeudy (20692534),Jerry Jeudy,20692534,WR/FLEX,5000,DEN@LV 12/26/2021 04:25PM ET,DEN,8.88
,,,,,,,,,,RB,Devontae Booker (20692248),Devontae Booker,20692248,RB/FLEX,4900,NYG@PHI 12/26/2021 01:00PM ET,NYG,9.56
,,,,,,,,,,WR,Kadarius Toney (20692542),Kadarius Toney,20692542,WR/FLEX,4900,NYG@PHI 12/26/2021 01:00PM ET,NYG,8.73
,,,,,,,,,,WR,Jakobi Meyers (20692544),Jakobi Meyers,20692544,WR/FLEX,4900,BUF@NE 12/26/2021 01:00PM ET,NE,10.29
,,,,,,,,,,QB,P.J. Walker (20692151),P.J. Walker,20692151,QB,4900,TB@CAR 12/26/2021 01:00PM ET,CAR,2.96
,,,,,,,,,,WR,Robby Anderson (20692540),Robby Anderson,20692540,WR/FLEX,4900,TB@CAR 12/26/2021 01:00PM ET,CAR,7.62
,,,,,,,,,,WR,Antonio Brown (20692546),Antonio Brown,20692546,WR/FLEX,4900,TB@CAR 12/26/2021 01:00PM ET,TB,20.28
,,,,,,,,,,RB,Mike Davis (20692252),Mike Davis,20692252,RB/FLEX,4900,DET@ATL 12/26/2021 01:00PM ET,ATL,8.59
,,,,,,,,,,RB,Alex Collins (20692250),Alex Collins,20692250,RB/FLEX,4900,CHI@SEA 12/26/2021 04:05PM ET,SEA,6.62
,,,,,,,,,,WR,K.J. Osborn (20692548),K.J. Osborn,20692548,WR/FLEX,4800,LAR@MIN 12/26/2021 01:00PM ET,MIN,8.4
,,,,,,,,,,QB,Blaine Gabbert (20692153),Blaine Gabbert,20692153,QB,4800,TB@CAR 12/26/2021 01:00PM ET,TB,0.52
,,,,,,,,,,RB,Tevin Coleman (20692254),Tevin Coleman,20692254,RB/FLEX,4800,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,4.87
,,,,,,,,,,QB,Mason Rudolph (20692152),Mason Rudolph,20692152,QB,4800,PIT@KC 12/26/2021 04:25PM ET,PIT,16.28
,,,,,,,,,,RB,Jalen Richard (20692256),Jalen Richard,20692256,RB/FLEX,4800,DEN@LV 12/26/2021 04:25PM ET,LV,1.9
,,,,,,,,,,RB,Kenneth Gainwell (20692258),Kenneth Gainwell,20692258,RB/FLEX,4700,NYG@PHI 12/26/2021 01:00PM ET,PHI,7.98
,,,,,,,,,,WR,Sterling Shepard (20692550),Sterling Shepard,20692550,WR/FLEX,4700,NYG@PHI 12/26/2021 01:00PM ET,NYG,11.53
,,,,,,,,,,QB,Sean Mannion (20692155),Sean Mannion,20692155,QB,4700,LAR@MIN 12/26/2021 01:00PM ET,MIN,0
,,,,,,,,,,WR,Gabriel Davis (20692552),Gabriel Davis,20692552,WR/FLEX,4700,BUF@NE 12/26/2021 01:00PM ET,BUF,8.21
,,,,,,,,,,TE,Hunter Henry (20692900),Hunter Henry,20692900,TE/FLEX,4700,BUF@NE 12/26/2021 01:00PM ET,NE,10.15
,,,,,,,,,,QB,Geno Smith (20692154),Geno Smith,20692154,QB,4700,CHI@SEA 12/26/2021 04:05PM ET,SEA,14.07
,,,,,,,,,,QB,Mitchell Trubisky (20692156),Mitchell Trubisky,20692156,QB,4600,BUF@NE 12/26/2021 01:00PM ET,BUF,1.76
,,,,,,,,,,WR,Cole Beasley (20692554),Cole Beasley,20692554,WR/FLEX,4600,BUF@NE 12/26/2021 01:00PM ET,BUF,10.64
,,,,,,,,,,WR,Josh Reynolds (20692556),Josh Reynolds,20692556,WR/FLEX,4600,DET@ATL 12/26/2021 01:00PM ET,DET,7.29
,,,,,,,,,,RB,Darrel Williams (20692260),Darrel Williams,20692260,RB/FLEX,4600,PIT@KC 12/26/2021 04:25PM ET,KC,11.01
,,,,,,,,,,QB,Brett Rypien (20692157),Brett Rypien,20692157,QB,4600,DEN@LV 12/26/2021 04:25PM ET,DEN,0
,,,,,,,,,,RB,Kenyan Drake (20692262),Kenyan Drake,20692262,RB/FLEX,4600,DEN@LV 12/26/2021 04:25PM ET,LV,8.54
,,,,,,,,,,RB,Ameer Abdullah (20692268),Ameer Abdullah,20692268,RB/FLEX,4500,TB@CAR 12/26/2021 01:00PM ET,CAR,4.23
,,,,,,,,,,QB,Joe Flacco (20692160),Joe Flacco,20692160,QB,4500,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,12.41
,,,,,,,,,,RB,Ty Johnson (20692264),Ty Johnson,20692264,RB/FLEX,4500,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,7.76
,,,,,,,,,,WR,Corey Davis (20692562),Corey Davis,20692562,WR/FLEX,4500,JAX@NYJ 12/26/2021 01:00PM ET,NYJ,12.13
,,,,,,,,,,RB,Craig Reynolds (20692266),Craig Reynolds,20692266,RB/FLEX,4500,DET@ATL 12/26/2021 01:00PM ET,DET,13.8
,,,,,,,,,,QB,Tyrod Taylor (20692159),Tyrod Taylor,20692159,QB,4500,LAC@HOU 12/26/2021 01:00PM ET,HOU,14.46
,,,,,,,,,,RB,Rex Burkhead (20692270),Rex Burkhead,20692270,RB/FLEX,4500,LAC@HOU 12/26/2021 01:00PM ET,HOU,3.99
,,,,,,,,,,QB,Brandon Allen (20692158),Brandon Allen,20692158,QB,4500,BAL@CIN 12/26/2021 01:00PM ET,CIN,1.03
,,,,,,,,,,WR,Rashod Bateman (20692560),Rashod Bateman,20692560,WR/FLEX,4500,BAL@CIN 12/26/2021 01:00PM ET,BAL,8.54
,,,,,,,,,,RB,Damien Williams (20692272),Damien Williams,20692272,RB/FLEX,4500,CHI@SEA 12/26/2021 04:05PM ET,CHI,5.11
,,,,,,,,,,WR,Tim Patrick (20692558),Tim Patrick,20692558,WR/FLEX,4500,DEN@LV 12/26/2021 04:25PM ET,DEN,9.79
,,,,,,,,,,RB,Ke'Shawn Vaughn (20692420),Ke'Shawn Vaughn,20692420,RB/FLEX,4400,TB@CAR 12/26/2021 01:00PM ET,TB,0.56
