QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,WR,Jaylen Waddle (20285911),Jaylen Waddle,20285911,WR/FLEX,5900,CAR@MIA 11/28/2021 01:00PM ET,MIA,13.96
,,,,,,,,,,RB,AJ Dillon (20285663),AJ Dillon,20285663,RB/FLEX,5900,LAR@GB 11/28/2021 04:25PM ET,GB,10.04
,,,,,,,,,,WR,Brandin Cooks (20285913),Brandin Cooks,20285913,WR/FLEX,5800,NYJ@HOU 11/28/2021 01:00PM ET,HOU,14.34
,,,,,,,,,,QB,Carson Wentz (20285577),Carson Wentz,20285577,QB,5800,TB@IND 11/28/2021 01:00PM ET,IND,17.29
,,,,,,,,,,RB,Darrell Henderson Jr. (20285665),Darrell Henderson Jr.,20285665,RB/FLEX,5800,LAR@GB 11/28/2021 04:25PM ET,LAR,15.52
,,,,,,,,,,WR,Mike Williams (20285915),Mike Williams,20285915,WR/FLEX,5700,LAC@DEN 11/28/2021 04:05PM ET,LAC,16.65
,,,,,,,,,,QB,Jimmy Garoppolo (20285578),Jimmy Garoppolo,20285578,QB,5700,MIN@SF 11/28/2021 04:25PM ET,SF,17.50
,,,,,,,,,,WR,Elijah Moore (20285919),Elijah Moore,20285919,WR/FLEX,5600,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,12.37
,,,,,,,,,,WR,Michael Pittman Jr. (20285917),Michael Pittman Jr.,20285917,WR/FLEX,5600,TB@IND 11/28/2021 01:00PM ET,IND,15.36
,,,,,,,,,,QB,Daniel Jones (20285580),Daniel Jones,20285580,QB,5600,PHI@NYG 11/28/2021 01:00PM ET,NYG,16.54
,,,,,,,,,,QB,Cam Newton (20285579),Cam Newton,20285579,QB,5600,CAR@MIA 11/28/2021 01:00PM ET,CAR,18.94
,,,,,,,,,,RB,Myles Gaskin (20285667),Myles Gaskin,20285667,RB/FLEX,5600,CAR@MIA 11/28/2021 01:00PM ET,MIA,12.2
,,,,,,,,,,RB,Michael Carter (20285669),Michael Carter,20285669,RB/FLEX,5500,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,12.88
,,,,,,,,,,WR,Antonio Brown (20285921),Antonio Brown,20285921,WR/FLEX,5500,TB@IND 11/28/2021 01:00PM ET,TB,20.28
,,,,,,,,,,QB,Tua Tagovailoa (20285581),Tua Tagovailoa,20285581,QB,5500,CAR@MIA 11/28/2021 01:00PM ET,MIA,16.95
,,,,,,,,,,QB,Matt Ryan (20285582),Matt Ryan,20285582,QB,5500,ATL@JAX 11/28/2021 01:00PM ET,ATL,16.88
,,,,,,,,,,WR,Jerry Jeudy (20285923),Jerry Jeudy,20285923,WR/FLEX,5500,LAC@DEN 11/28/2021 04:05PM ET,DEN,11.28
,,,,,,,,,,RB,Devontae Booker (20285673),Devontae Booker,20285673,RB/FLEX,5400,PHI@NYG 11/28/2021 01:00PM ET,NYG,9.84
,,,,,,,,,,QB,Mac Jones (20285583),Mac Jones,20285583,QB,5400,TEN@NE 11/28/2021 01:00PM ET,NE,14.6
,,,,,,,,,,WR,Tee Higgins (20285927),Tee Higgins,20285927,WR/FLEX,5400,PIT@CIN 11/28/2021 01:00PM ET,CIN,11.82
,,,,,,,,,,QB,Trevor Lawrence (20285584),Trevor Lawrence,20285584,QB,5400,ATL@JAX 11/28/2021 01:00PM ET,JAX,14.38
,,,,,,,,,,WR,Courtland Sutton (20285925),Courtland Sutton,20285925,WR/FLEX,5400,LAC@DEN 11/28/2021 04:05PM ET,DEN,12.47
,,,,,,,,,,RB,Eli Mitchell (20285671),Eli Mitchell,20285671,RB/FLEX,5400,MIN@SF 11/28/2021 04:25PM ET,SF,14.19
,,,,,,,,,,QB,Tyrod Taylor (20285586),Tyrod Taylor,20285586,QB,5300,NYJ@HOU 11/28/2021 01:00PM ET,HOU,17.03
,,,,,,,,,,TE,Mike Gesicki (20286281),Mike Gesicki,20286281,TE/FLEX,5300,CAR@MIA 11/28/2021 01:00PM ET,MIA,11.26
,,,,,,,,,,WR,Marvin Jones Jr. (20285931),Marvin Jones Jr.,20285931,WR/FLEX,5300,ATL@JAX 11/28/2021 01:00PM ET,JAX,11.16
,,,,,,,,,,QB,Teddy Bridgewater (20285585),Teddy Bridgewater,20285585,QB,5300,LAC@DEN 11/28/2021 04:05PM ET,DEN,16.65
,,,,,,,,,,RB,Melvin Gordon III (20285675),Melvin Gordon III,20285675,RB/FLEX,5300,LAC@DEN 11/28/2021 04:05PM ET,DEN,13.23
,,,,,,,,,,RB,Jeff Wilson Jr. (20285677),Jeff Wilson Jr.,20285677,RB/FLEX,5300,MIN@SF 11/28/2021 04:25PM ET,SF,4.8
,,,,,,,,,,WR,Brandon Aiyuk (20285929),Brandon Aiyuk,20285929,WR/FLEX,5300,MIN@SF 11/28/2021 04:25PM ET,SF,8.3
,,,,,,,,,,QB,Joe Flacco (20285588),Joe Flacco,20285588,QB,5200,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,12.41
,,,,,,,,,,WR,Kadarius Toney (20285935),Kadarius Toney,20285935,WR/FLEX,5200,PHI@NYG 11/28/2021 01:00PM ET,NYG,8.73
,,,,,,,,,,RB,Rhamondre Stevenson (20285681),Rhamondre Stevenson,20285681,RB/FLEX,5200,TEN@NE 11/28/2021 01:00PM ET,NE,10.6
,,,,,,,,,,WR,Julio Jones (20285933),Julio Jones,20285933,WR/FLEX,5200,TEN@NE 11/28/2021 01:00PM ET,TEN,9.6
,,,,,,,,,,QB,Ben Roethlisberger (20285587),Ben Roethlisberger,20285587,QB,5200,PIT@CIN 11/28/2021 01:00PM ET,PIT,15.44
,,,,,,,,,,RB,Javonte Williams (20285679),Javonte Williams,20285679,RB/FLEX,5200,LAC@DEN 11/28/2021 04:05PM ET,DEN,10.3
,,,,,,,,,,QB,Zach Wilson (20285589),Zach Wilson,20285589,QB,5100,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,9.99
,,,,,,,,,,RB,Miles Sanders (20285685),Miles Sanders,20285685,RB/FLEX,5100,PHI@NYG 11/28/2021 01:00PM ET,PHI,8.9
,,,,,,,,,,WR,Kenny Golladay (20285937),Kenny Golladay,20285937,WR/FLEX,5100,PHI@NYG 11/28/2021 01:00PM ET,NYG,7.89
,,,,,,,,,,RB,Jeremy McNichols (20285683),Jeremy McNichols,20285683,RB/FLEX,5100,TEN@NE 11/28/2021 01:00PM ET,TEN,5.94
,,,,,,,,,,WR,Tyler Boyd (20285941),Tyler Boyd,20285941,WR/FLEX,5100,PIT@CIN 11/28/2021 01:00PM ET,CIN,10.80
,,,,,,,,,,WR,Russell Gage (20285939),Russell Gage,20285939,WR/FLEX,5100,ATL@JAX 11/28/2021 01:00PM ET,ATL,6.83
,,,,,,,,,,QB,Mike White (20285590),Mike White,20285590,QB,5000,NYJ@HOU 11/28/2021 01:00PM ET,NYJ,13.76
,,,,,,,,,,WR,Sterling Shepard (20285945),Sterling Shepard,20285945,WR/FLEX,5000,PHI@NYG 11/28/2021 01:00PM ET,NYG,14.5
,,,,,,,,,,RB,Chuba Hubbard (20285687),Chuba Hubbard,20285687,RB/FLEX,5000,CAR@MIA 11/28/2021 01:00PM ET,CAR,8.76
,,,,,,,,,,WR,Jakobi Meyers (20285947),Jakobi Meyers,20285947,WR/FLEX,5000,TEN@NE 11/28/2021 01:00PM ET,NE,10.73
,,,,,,,,,,WR,Calvin Ridley (20285943),Calvin Ridley,20285943,WR/FLEX,5000,ATL@JAX 11/28/2021 01:00PM ET,ATL,14.22
,,,,,,,,,,WR,Odell Beckham Jr. (20285949),Odell Beckham Jr.,20285949,WR/FLEX,5000,LAR@GB 11/28/2021 04:25PM ET,LAR,6.49
,,,,,,,,,,QB,Davis Mills (20285593),Davis Mills,20285593,QB,4900,NYJ@HOU 11/28/2021 01:00PM ET,HOU,11.73
,,,,,,,,,,QB,Blaine Gabbert (20285594),Blaine Gabbert,20285594,QB,4900,TB@IND 11/28/2021 01:00PM ET,TB,0.52
,,,,,,,,,,RB,Giovani Bernard (20285691),Giovani Bernard,20285691,RB/FLEX,4900,TB@IND 11/28/2021 01:00PM ET,TB,6.34
,,,,,,,,,,WR,Darius Slayton (20285951),Darius Slayton,20285951,WR/FLEX,4900,PHI@NYG 11/28/2021 01:00PM ET,NYG,6.24
,,,,,,,,,,WR,Kendrick Bourne (20285953),Kendrick Bourne,20285953,WR/FLEX,4900,TEN@NE 11/28/2021 01:00PM ET,NE,11.18
,,,,,,,,,,QB,Mason Rudolph (20285592),Mason Rudolph,20285592,QB,4900,PIT@CIN 11/28/2021 01:00PM ET,PIT,16.28
,,,,,,,,,,RB,Mike Davis (20285689),Mike Davis,20285689,RB/FLEX,4900,ATL@JAX 11/28/2021 01:00PM ET,ATL,8.05
,,,,,,,,,,WR,Van Jefferson Jr. (20285955),Van Jefferson Jr.,20285955,WR/FLEX,4900,LAR@GB 11/28/2021 04:25PM ET,LAR,9.67
,,,,,,,,,,QB,Trey Lance (20285591),Trey Lance,20285591,QB,4900,MIN@SF 11/28/2021 04:25PM ET,SF,9.37
