CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions,,,,,,,,
,,,,,,,1. Locate the player you want to select in the list below ,,,,,,,,
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
,,,,,,,3. Paste the ID into the roster position desired ,,,,,,,,
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
,,,,,,,5. You can create up to 500 lineups per file ,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,RB,Leonard Fournette (20275499),Austin Ekeler,20275499,CPT,16200,NYG@TB 11/22/2021 09:15PM ET,TB,15.44
,,,,,,,RB,Leonard Fournette (20275556),Austin Ekeler,20275556,FLEX,10800,NYG@TB 11/22/2021 09:15PM ET,TB,15.44
,,,,,,,QB,Daniel Jones (20275500),Ben Roethlisberger,20275500,CPT,14400,NYG@TB 11/22/2021 09:15PM ET,NYG,17.31
,,,,,,,QB,Daniel Jones (20275557),Ben Roethlisberger,20275557,FLEX,9600,NYG@TB 11/22/2021 09:15PM ET,NYG,17.31
,,,,,,,WR,Kadarius Toney (20275504),Chase Claypool,20275504,CPT,10200,NYG@TB 11/22/2021 09:15PM ET,NYG,8.44
,,,,,,,WR,Kenny Golladay (20275560),Chase Claypool,20275560,FLEX,7000,NYG@TB 11/22/2021 09:15PM ET,NYG,8.83
,,,,,,,K,Jose Borregales (20275515),Chris Boswell,20275515,CPT,6300,NYG@TB 11/22/2021 09:15PM ET,TB,0
,,,,,,,K,Ryan Succop (20275573),Chris Boswell,20275573,FLEX,3600,NYG@TB 11/22/2021 09:15PM ET,TB,7.33
,,,,,,,WR,Mike Evans (20275498),Diontae Johnson,20275498,CPT,13200,NYG@TB 11/22/2021 09:15PM ET,TB,17.96
,,,,,,,WR,Mike Evans (20275555),Diontae Johnson,20275555,FLEX,8800,NYG@TB 11/22/2021 09:15PM ET,TB,17.96
,,,,,,,QB,Ryan Griffin (20275566),Donald Parham,20275566,FLEX,2400,NYG@TB 11/22/2021 09:15PM ET,TB,0
,,,,,,,K,Ryan Succop (20275516),Dustin Hopkins,20275516,CPT,6300,NYG@TB 11/22/2021 09:15PM ET,TB,7.33
,,,,,,,K,Jose Borregales (20275572),Dustin Hopkins,20275572,FLEX,3800,NYG@TB 11/22/2021 09:15PM ET,TB,0
,,,,,,,TE,Evan Engram (20275505),Jared Cook,20275505,CPT,7800,NYG@TB 11/22/2021 09:15PM ET,NYG,8.44
,,,,,,,TE,Rob Gronkowski (20275563),Jared Cook,20275563,FLEX,4000,NYG@TB 11/22/2021 09:15PM ET,TB,14.6
,,,,,,,QB,Tom Brady (20275497),Justin Herbert,20275497,CPT,16800,NYG@TB 11/22/2021 09:15PM ET,TB,26.21
,,,,,,,QB,Tom Brady (20275554),Justin Herbert,20275554,FLEX,11200,NYG@TB 11/22/2021 09:15PM ET,TB,26.21
,,,,,,,WR,Kenny Golladay (20275503),Keenan Allen,20275503,CPT,14100,NYG@TB 11/22/2021 09:15PM ET,NYG,8.83
,,,,,,,WR,Chris Godwin (20275558),Keenan Allen,20275558,FLEX,9400,NYG@TB 11/22/2021 09:15PM ET,TB,18.54
,,,,,,,WR,Chris Godwin (20275501),Mike Williams,20275501,CPT,11000,NYG@TB 11/22/2021 09:15PM ET,TB,18.54
,,,,,,,WR,Tyler Johnson (20275513),Mike Williams,20275513,FLEX,7400,NYG@TB 11/22/2021 09:15PM ET,TB,4.2
,,,,,,,RB,Saquon Barkley (20275502),Najee Harris,20275502,CPT,16800,NYG@TB 11/22/2021 09:15PM ET,NYG,12.9
,,,,,,,RB,Saquon Barkley (20275559),Najee Harris,20275559,FLEX,11800,NYG@TB 11/22/2021 09:15PM ET,NYG,12.9
,,,,,,,TE,Rob Gronkowski (20275506),Pat Freiermuth,20275506,CPT,8100,NYG@TB 11/22/2021 09:15PM ET,TB,14.6
,,,,,,,TE,Evan Engram (20275562),Pat Freiermuth,20275562,FLEX,5400,NYG@TB 11/22/2021 09:15PM ET,NYG,8.44
,,,,,,,DST,Buccaneers  (20275512),PIT,20275512,CPT,7800,NYG@TB 11/22/2021 09:15PM ET,TB,7.67
,,,,,,,DST,Buccaneers  (20275512),PIT,20275512,FLEX,4800,NYG@TB 11/22/2021 09:15PM ET,TB,7.67
,,,,,,,DST,Buccaneers  (20275512),LAC,20275512,CPT,7800,NYG@TB 11/22/2021 09:15PM ET,TB,7.67
,,,,,,,DST,Buccaneers  (20275512),PIT,20275512,FLEX,3800,NYG@TB 11/22/2021 09:15PM ET,TB,7.67
,,,,,,,RB,Benny Snell,Benny Snell,20285820,FLEX,400,NYG@TB 11/22/2021 09:15PM ET,TB,8.67
,,,,,,,RB,Larry Rountree,Larry Rountree,20285821,FLEX,1200,NYG@TB 11/22/2021 09:15PM ET,TB,9.67
,,,,,,,RB,Justin jackson,Justin Jackson,20285822,FLEX,1000,NYG@TB 11/22/2021 09:15PM ET,TB,10.67
,,,,,,,TE,Stephen Anderson,Stephen Anderson,20285823,FLEX,200,NYG@TB 11/22/2021 09:15PM ET,TB,11.67
,,,,,,,TE,Eric Ebron,Eric Ebron,20285824,FLEX,3200,NYG@TB 11/22/2021 09:15PM ET,TB,12.67
