Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Ty Chandler,MIN,RB,16,DET,20,4,13.1,2.34,24,DraftKings,5600
2,Rachaad White,TB,RB,16,JAX,25,11,16.54,2.24,22,DraftKings,7400
2,Breece Hall,NYJ,RB,16,WAS,32,26,14.79,2.42,22,DraftKings,6100
4,Justin Jefferson,MIN,WR,16,DET,20,26,18.13,2.24,21,DraftKings,8100
4,Garrett Wilson,NYJ,WR,16,WAS,32,31,14.08,2.43,21,DraftKings,5800
6,Jonathan Taylor,IND,RB,16,ATL,10,5,15.1,2.1,19,DraftKings,7200
6,Bijan Robinson,ATL,RB,16,IND,23,29,15.11,2.4,19,DraftKings,6300
8,DeAndre Hopkins,TEN,WR,16,SEA,26,25,13.15,2.16,18,DraftKings,6100
8,Calvin Ridley,JAX,WR,16,TB,24,29,13.91,2.21,18,DraftKings,6300
10,CeeDee Lamb,DAL,WR,16,MIA,8,13,19.9,2.16,16,DraftKings,9200
10,Tony Pollard,DAL,RB,16,MIA,8,10,14.26,2.13,16,DraftKings,6700
12,DJ Moore,CHI,WR,16,ARI,28,22,15.59,2.26,15,DraftKings,6900
12,Amari Cooper,CLE,WR,16,HOU,17,15,13.38,2.09,15,DraftKings,6400
12,Tyler Lockett,SEA,WR,16,TEN,15,19,11.74,2.1,15,DraftKings,5600
12,Aaron Jones,GB,RB,16,CAR,11,30,13.67,2.14,15,DraftKings,6400
12,Chuba Hubbard,CAR,RB,16,GB,19,24,12.73,2.23,15,DraftKings,5700
17,Tyreek Hill,MIA,WR,16,DAL,4,6,19.8,2.06,14,DraftKings,9600
17,Mike Evans,TB,WR,16,JAX,25,24,15.16,1.99,14,DraftKings,7600
17,Devin Singletary,HOU,RB,16,CLE,1,9,12.87,2.34,14,DraftKings,5500
17,Dontayvion Wicks,GB,WR,16,CAR,11,2,9.09,2.11,14,DraftKings,4300
21,Amon-Ra St. Brown,DET,WR,16,MIN,13,21,17.93,2.19,13,DraftKings,8200
21,Nick Mullens,MIN,QB,16,DET,20,29,16.76,3.16,13,DraftKings,5300
21,David Njoku,CLE,TE,16,HOU,17,21,12.04,2.27,13,DraftKings,5300
21,Trey McBride,ARI,TE,16,CHI,18,26,13.58,2.38,13,DraftKings,5700
25,Justin Fields,CHI,QB,16,ARI,28,25,20.83,2.93,12,DraftKings,7100
25,Drake London,ATL,WR,16,IND,23,11,12.27,2.41,12,DraftKings,5100
25,New York Jets,NYJ,DST,16,WAS,null,null,8.8,2.84,12,DraftKings,3100
28,Travis Etienne Jr.,JAX,RB,16,TB,24,8,14.51,2.2,11,DraftKings,6600
28,DK Metcalf,SEA,WR,16,TEN,15,19,14.18,2.12,11,DraftKings,6700
28,Kenneth Walker III,SEA,RB,16,TEN,15,13,13.09,2.11,11,DraftKings,6200
28,Evan Engram,JAX,TE,16,TB,24,28,13.06,2.42,11,DraftKings,5400
28,Cole Kmet,CHI,TE,16,ARI,28,10,10.76,2.45,11,DraftKings,4400
28,Tampa Bay Buccaneers,TB,DST,16,JAX,null,null,5.8,2.23,11,DraftKings,2600
34,Cleveland Browns,CLE,DST,16,HOU,null,null,6.8,2,10,DraftKings,3400
34,Jaxon Smith-Njigba,SEA,WR,16,TEN,15,19,10.4,2.31,10,DraftKings,4500
36,Baker Mayfield,TB,QB,16,JAX,25,30,16.54,2.76,9,DraftKings,6000
36,Geno Smith,SEA,QB,16,TEN,15,10,15.99,2.76,9,DraftKings,5800
36,Jake Ferguson,DAL,TE,16,MIA,8,15,10.52,2.15,9,DraftKings,4900
36,Miami Dolphins,MIA,DST,16,DAL,null,null,5.6,2.07,9,DraftKings,2700
36,Jonathan Mingo,CAR,WR,16,GB,19,14,8.87,2.46,9,DraftKings,3600
36,Arizona Cardinals,ARI,DST,16,CHI,null,null,6.9,2.56,9,DraftKings,2700
42,T.J. Hockenson,MIN,TE,16,DET,20,22,13.21,2.28,8,DraftKings,5800
42,Jerome Ford,CLE,RB,16,HOU,17,14,11.53,2.14,8,DraftKings,5400
42,Chris Godwin,TB,WR,16,JAX,25,24,12.81,2.07,8,DraftKings,6200
42,Kyle Pitts,ATL,TE,16,IND,23,11,8.56,2.14,8,DraftKings,4000
42,Michael Wilson,ARI,WR,16,CHI,18,16,7.18,1.94,8,DraftKings,3700
42,Elijah Moore,CLE,WR,16,HOU,17,15,8.72,2.08,8,DraftKings,4200
48,Joe Flacco,CLE,QB,16,HOU,17,24,14.62,2.66,7,DraftKings,5500
48,Dak Prescott,DAL,QB,16,MIA,8,15,19.74,2.5,7,DraftKings,7900
48,Jahmyr Gibbs,DET,RB,16,MIN,13,3,14.64,2.09,7,DraftKings,7000
48,Jaylen Waddle,MIA,WR,16,DAL,4,6,14.98,1.92,7,DraftKings,7800
48,Taylor Heinicke,ATL,QB,16,IND,23,18,13.83,2.88,7,DraftKings,4800
48,Tyjae Spears,TEN,RB,16,SEA,26,28,9.48,2.02,7,DraftKings,4700
48,Darnell Mooney,CHI,WR,16,ARI,28,22,6.46,1.96,7,DraftKings,3300
48,Carolina Panthers,CAR,DST,16,GB,null,null,5.4,2.25,7,DraftKings,2400
56,Adam Thielen,CAR,WR,16,GB,19,14,10.69,1.81,6,DraftKings,5900
56,Jordan Addison,MIN,WR,16,DET,20,26,12.31,2.05,6,DraftKings,6000
56,Seattle Seahawks,SEA,DST,16,TEN,null,null,7.5,2.34,6,DraftKings,3200
56,Chigoziem Okonkwo,TEN,TE,16,SEA,26,17,7.59,2.45,6,DraftKings,3100
60,Tua Tagovailoa,MIA,QB,16,DAL,4,12,17.58,2.25,5,DraftKings,7800
60,Trevor Lawrence,JAX,QB,16,TB,24,26,17.19,2.6,5,DraftKings,6600
60,Kyler Murray,ARI,QB,16,CHI,18,19,16.64,2.6,5,DraftKings,6400
60,Sam LaPorta,DET,TE,16,MIN,13,12,13.38,2.09,5,DraftKings,6400
60,Derrick Henry,TEN,RB,16,SEA,26,28,12.63,1.86,5,DraftKings,6800
60,James Conner,ARI,RB,16,CHI,18,19,12.39,2.1,5,DraftKings,5900
60,Terry McLaurin,WAS,WR,16,NYJ,6,1,11.86,2.08,5,DraftKings,5700
60,Ryan Tannehill,TEN,QB,16,SEA,26,22,11.64,2.33,5,DraftKings,5000
60,Tyler Conklin,NYJ,TE,16,WAS,32,14,7.6,2.38,5,DraftKings,3200
60,Chicago Bears,CHI,DST,16,ARI,null,null,7.7,2.75,5,DraftKings,2800
60,Jameson Williams,DET,WR,16,MIN,13,21,6.43,1.74,5,DraftKings,3700
60,Parker Washington,JAX,WR,16,TB,24,29,8.03,2.11,5,DraftKings,3800
60,Treylon Burks,TEN,WR,16,SEA,26,25,6.43,2.07,5,DraftKings,3100
73,Dallas Cowboys,DAL,DST,16,MIA,null,null,5.5,1.83,4,DraftKings,3000
73,Josh Downs,IND,WR,16,ATL,10,4,8.96,1.63,4,DraftKings,5500
73,Antonio Gibson,WAS,RB,16,NYJ,6,25,11.46,2.2,4,DraftKings,5200
73,Cade Otton,TB,TE,16,JAX,25,29,7.11,2.15,4,DraftKings,3300
73,Tyler Allgeier,ATL,RB,16,IND,23,29,6.58,1.43,4,DraftKings,4600
73,Houston Texans,HOU,DST,16,CLE,null,null,7.8,2.17,4,DraftKings,3600
73,Tennessee Titans,TEN,DST,16,SEA,null,null,5.6,2.15,4,DraftKings,2600
73,Washington Commanders,WAS,DST,16,NYJ,null,null,7.2,1.95,4,DraftKings,3700
73,Tucker Kraft,GB,TE,16,CAR,11,6,7.74,2.09,4,DraftKings,3700
73,Trevor Siemian,NYJ,QB,16,WAS,32,32,12.82,2.73,4,DraftKings,4700
