Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Joshua Kelley,LAC,RB,2,TEN,23,2,11.75,2.35,23,DraftKings,5000
2,Stefon Diggs,BUF,WR,2,LV,16,19,18.82,2.35,20,DraftKings,8000
3,Davante Adams,LV,WR,2,BUF,10,9,17.42,2.29,19,DraftKings,7600
3,Amon-Ra St. Brown,DET,WR,2,SEA,29,25,17.03,2.18,19,DraftKings,7800
3,Calvin Ridley,JAX,WR,2,KC,20,23,15.98,2.22,19,DraftKings,7200
6,Ja'Marr Chase,CIN,WR,2,BAL,7,18,19.08,2.42,18,DraftKings,7900
7,Christian McCaffrey,SF,RB,2,LAR,4,12,20.22,2.27,17,DraftKings,8900
7,Keenan Allen,LAC,WR,2,TEN,23,31,16.66,2.35,17,DraftKings,7100
9,AJ Dillon,GB,RB,2,ATL,6,18,13.53,2.29,16,DraftKings,5900
10,Josh Allen,BUF,QB,2,LV,16,20,23.88,3.02,15,DraftKings,7900
10,Josh Jacobs,LV,RB,2,BUF,10,25,15.94,2.25,15,DraftKings,7100
12,James Conner,ARI,RB,2,NYG,18,26,13.94,2.25,14,DraftKings,6200
12,James Cook,BUF,RB,2,LV,16,15,13.31,2.18,14,DraftKings,6100
12,Luke Musgrave,GB,TE,2,ATL,6,29,7.84,2.45,14,DraftKings,3200
12,Puka Nacua,LAR,WR,2,SF,5,14,11.38,2.32,14,DraftKings,4900
16,Travis Kelce,KC,TE,2,JAX,9,23,17.49,2.3,13,DraftKings,7600
16,Brandon Aiyuk,SF,WR,2,LAR,4,7,13.77,2.37,13,DraftKings,5800
16,David Montgomery,DET,RB,2,SEA,29,28,13.21,2.28,13,DraftKings,5800
19,Mike Williams,LAC,WR,2,TEN,23,31,14.25,2.5,12,DraftKings,5700
19,Deebo Samuel,SF,WR,2,LAR,4,7,13.64,2.44,12,DraftKings,5600
19,Rachaad White,TB,RB,2,CHI,30,30,12.89,2.34,12,DraftKings,5500
22,Lamar Jackson,BAL,QB,2,CIN,21,27,20.31,2.64,11,DraftKings,7700
22,Joe Mixon,CIN,RB,2,BAL,7,7,15.02,2.31,11,DraftKings,6500
22,Tony Pollard,DAL,RB,2,NYJ,13,13,16.26,2.17,11,DraftKings,7500
22,Arizona Cardinals,ARI,DST,2,NYG,null,null,5.8,2.23,11,DraftKings,2600
26,Tee Higgins,CIN,WR,2,BAL,7,18,13.92,2.18,10,DraftKings,6400
26,Zay Jones,JAX,WR,2,KC,20,23,11.01,2.34,10,DraftKings,4700
26,Zay Flowers,BAL,WR,2,CIN,21,5,11.54,2.31,10,DraftKings,5000
29,Derrick Henry,TEN,RB,2,LAC,32,20,17.12,2.31,9,DraftKings,7400
29,Trevor Lawrence,JAX,QB,2,KC,20,15,19.35,2.89,9,DraftKings,6700
29,Kenneth Walker III,SEA,RB,2,DET,22,11,13.79,2.38,9,DraftKings,5800
29,Travis Etienne Jr.,JAX,RB,2,KC,20,22,14.08,2.04,9,DraftKings,6900
29,Nico Collins,HOU,WR,2,IND,26,27,10.8,2.25,9,DraftKings,4800
29,Jayden Reed,GB,WR,2,ATL,6,4,9.3,2.74,9,DraftKings,3400
35,Patrick Mahomes,KC,QB,2,JAX,9,29,23.21,2.8,8,DraftKings,8300
35,Joe Burrow,CIN,QB,2,BAL,7,12,19.76,2.86,8,DraftKings,6900
35,Saquon Barkley,NYG,RB,2,ARI,11,16,16.6,2.08,8,DraftKings,8000
35,Mike Evans,TB,WR,2,CHI,30,22,12.89,2.08,8,DraftKings,6200
35,Dameon Pierce,HOU,RB,2,IND,26,23,12.53,2.24,8,DraftKings,5600
