Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,A.J. Brown,PHI,WR,12,BUF,6,5,18.58,2.06,16,DraftKings,9000
2,Stefon Diggs,BUF,WR,12,PHI,23,32,18.67,2.12,9,DraftKings,8800
3,Alvin Kamara,NO,RB,12,ATL,15,4,16.07,1.91,8,DraftKings,8400
4,Jalen Hurts,PHI,QB,12,BUF,6,5,22.7,2.73,13,DraftKings,8300
4,Ja'Marr Chase,CIN,WR,12,PIT,9,20,15.41,1.86,4,DraftKings,8300
6,Patrick Mahomes,KC,QB,12,LV,13,10,21.55,2.63,7,DraftKings,8200
6,Travis Kelce,KC,TE,12,LV,13,12,17.42,2.12,10,DraftKings,8200
8,Josh Allen,BUF,QB,12,PHI,23,30,21.52,2.66,11,DraftKings,8100
9,Cooper Kupp,LAR,WR,12,ARI,29,22,16.49,2.06,12,DraftKings,8000
10,Davante Adams,LV,WR,12,KC,3,7,14.6,1.87,5,DraftKings,7800
11,C.J. Stroud,HOU,QB,12,JAX,14,25,18.73,2.43,6,DraftKings,7700
12,Puka Nacua,LAR,WR,12,ARI,29,22,15.59,2.05,9,DraftKings,7600
13,Mike Evans,TB,WR,12,IND,26,15,14.59,1.97,10,DraftKings,7400
14,Saquon Barkley,NYG,RB,12,NE,17,17,16.06,2.2,13,DraftKings,7300
14,Adam Thielen,CAR,WR,12,TEN,11,21,14.65,2.01,7,DraftKings,7300
16,Travis Etienne Jr.,JAX,RB,12,HOU,18,16,15.19,2.14,12,DraftKings,7100
16,DeVonta Smith,PHI,WR,12,BUF,6,5,14.04,1.98,10,DraftKings,7100
18,Kyler Murray,ARI,QB,12,LAR,20,20,18.36,2.66,7,DraftKings,6900
18,Jonathan Taylor,IND,RB,12,TB,24,2,16.22,2.35,34,DraftKings,6900
18,Tank Dell,HOU,WR,12,JAX,14,23,15.86,2.3,17,DraftKings,6900
21,Michael Pittman Jr.,IND,WR,12,TB,24,29,16.05,2.36,23,DraftKings,6800
21,D'Andre Swift,PHI,RB,12,BUF,6,18,14.49,2.13,9,DraftKings,6800
23,Josh Jacobs,LV,RB,12,KC,3,15,13.42,2,9,DraftKings,6700
24,Chris Olave,NO,WR,12,ATL,15,13,14.26,2.16,14,DraftKings,6600
24,Kyren Williams,LAR,RB,12,ARI,29,30,13.98,2.12,10,DraftKings,6600
26,Bijan Robinson,ATL,RB,12,NO,7,7,14.32,2.2,11,DraftKings,6500
27,Trevor Lawrence,JAX,QB,12,HOU,18,22,18.31,2.86,15,DraftKings,6400
27,Nico Collins,HOU,WR,12,JAX,14,23,13.95,2.18,11,DraftKings,6400
27,Derrick Henry,TEN,RB,12,CAR,19,31,13.7,2.14,15,DraftKings,6400
30,Matthew Stafford,LAR,QB,12,ARI,29,24,16.35,2.6,4,DraftKings,6300
30,Joe Mixon,CIN,RB,12,PIT,9,19,13.41,2.13,7,DraftKings,6300
30,Chris Godwin,TB,WR,12,IND,26,15,12.48,1.98,5,DraftKings,6300
33,Isiah Pacheco,KC,RB,12,LV,13,26,14.59,2.35,21,DraftKings,6200
33,James Cook,BUF,RB,12,PHI,23,1,11.19,1.8,2,DraftKings,6200
33,Tee Higgins,CIN,WR,12,PIT,9,20,0,0,0,DraftKings,6200
36,Rachaad White,TB,RB,12,IND,26,29,14.15,2.32,20,DraftKings,6100
36,DeAndre Hopkins,TEN,WR,12,CAR,19,6,12.94,2.12,8,DraftKings,6100
