Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Raheem Mostert,MIA,RB,6,CAR,21,31,17.13,2.68,27,DraftKings,6400
2,Ja'Marr Chase,CIN,WR,6,SEA,26,29,19.96,2.4,25,DraftKings,8300
3,Chuba Hubbard,CAR,RB,6,MIA,24,19,12.24,2.85,20,DraftKings,4300
4,Christian Kirk,JAX,WR,6,IND,23,23,14.55,2.69,19,DraftKings,5400
5,Alvin Kamara,NO,RB,6,HOU,10,26,16.82,2.47,17,DraftKings,6800
5,Kyren Williams,LAR,RB,6,ARI,28,28,15.35,2.36,17,DraftKings,6500
5,Marquise Brown,ARI,WR,6,LAR,15,5,13.71,2.59,17,DraftKings,5300
5,Josh Jacobs,LV,RB,6,NE,11,21,15.93,2.28,17,DraftKings,7000
9,Tyreek Hill,MIA,WR,6,CAR,21,8,24.67,2.65,16,DraftKings,9300
9,Evan Engram,JAX,TE,6,IND,23,17,11.79,2.62,16,DraftKings,4500
11,Cooper Kupp,LAR,WR,6,ARI,28,25,19.99,2.22,15,DraftKings,9000
11,Travis Etienne Jr.,JAX,RB,6,IND,23,20,16.64,2.34,15,DraftKings,7100
11,Joe Mixon,CIN,RB,6,SEA,26,16,14.29,2.27,15,DraftKings,6300
14,David Montgomery,DET,RB,6,TB,8,9,15.88,2.18,14,DraftKings,7300
15,Adam Thielen,CAR,WR,6,MIA,24,18,14.26,2.42,13,DraftKings,5900
15,Matthew Stafford,LAR,QB,6,ARI,28,30,18.18,2.98,13,DraftKings,6100
15,Jordan Addison,MIN,WR,6,CHI,31,23,13.61,2.39,13,DraftKings,5700
15,Josh Downs,IND,WR,6,JAX,12,21,9.84,2.4,13,DraftKings,4100
15,D'Onta Foreman,CHI,RB,6,MIN,25,11,12.1,2.75,13,DraftKings,4400
20,Davante Adams,LV,WR,6,NE,11,13,18.47,2.28,12,DraftKings,8100
20,Bijan Robinson,ATL,RB,6,WAS,29,14,16.68,2.32,12,DraftKings,7200
20,D'Andre Swift,PHI,RB,6,NYJ,17,22,13.9,2.28,12,DraftKings,6100
20,Michael Pittman Jr.,IND,WR,6,JAX,12,21,13.73,2.18,12,DraftKings,6300
20,Joe Burrow,CIN,QB,6,SEA,26,21,19.44,3.09,12,DraftKings,6300
20,San Francisco 49ers,SF,DST,6,CLE,null,null,8.9,2.22,12,DraftKings,4000
26,Tua Tagovailoa,MIA,QB,6,CAR,21,13,20.44,2.69,11,DraftKings,7600
26,Trevor Lawrence,JAX,QB,6,IND,23,23,18.52,2.85,11,DraftKings,6500
26,Zach Ertz,ARI,TE,6,LAR,15,30,9.03,2.51,11,DraftKings,3600
29,Mike Evans,TB,WR,6,DET,13,20,13.78,1.94,10,DraftKings,7100
29,Michael Thomas,NO,WR,6,HOU,10,3,10.93,2.23,10,DraftKings,4900
29,Dameon Pierce,HOU,RB,6,NO,5,3,11.75,2.3,10,DraftKings,5100
29,Robert Woods,HOU,WR,6,NO,5,14,9.46,2.49,10,DraftKings,3800
29,Kyle Pitts,ATL,TE,6,WAS,29,5,8.81,2.52,10,DraftKings,3500
29,Minnesota Vikings,MIN,DST,6,CHI,null,null,8.4,2.8,10,DraftKings,3000
35,Christian McCaffrey,SF,RB,6,CLE,1,5,20.49,2.16,9,DraftKings,9500
35,Puka Nacua,LAR,WR,6,ARI,28,25,16.48,2.06,9,DraftKings,8000
35,Nico Collins,HOU,WR,6,NO,5,14,13.4,2.39,9,DraftKings,5600
35,Jakobi Meyers,LV,WR,6,NE,11,13,13.48,2.32,9,DraftKings,5800
35,Calvin Ridley,JAX,WR,6,IND,23,23,14.58,2.18,9,DraftKings,6700
35,Rachaad White,TB,RB,6,DET,13,2,12.48,2.27,9,DraftKings,5500
35,Miami Dolphins,MIA,DST,6,CAR,null,null,8.6,2.46,9,DraftKings,3500
42,Logan Thomas,WAS,TE,6,ATL,9,28,8.61,2.46,8,DraftKings,3500
42,Tyler Lockett,SEA,WR,6,CIN,20,15,12.95,2.27,8,DraftKings,5700
42,Dalton Schultz,HOU,TE,6,NO,5,3,8.53,2.37,8,DraftKings,3600
42,Detroit Lions,DET,DST,6,TB,null,null,7.6,2.81,8,DraftKings,2700
46,Justin Fields,CHI,QB,6,MIN,25,25,19.94,2.73,7,DraftKings,7300
46,T.J. Hockenson,MIN,TE,6,CHI,31,21,14.16,2.15,7,DraftKings,6600
46,Kendrick Bourne,NE,WR,6,LV,18,17,10.36,2.47,7,DraftKings,4200
46,Jonnu Smith,ATL,TE,6,WAS,29,5,7.58,2.23,7,DraftKings,3400
46,Philadelphia Eagles,PHI,DST,6,NYJ,null,null,8.6,2.26,7,DraftKings,3800
