Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Zack Moss,IND,RB,14,CIN,28,22,14.18,2.4,31,DraftKings,5900
2,Christian McCaffrey,SF,RB,14,SEA,26,27,22.59,2.46,25,DraftKings,9200
3,Joe Mixon,CIN,RB,14,IND,25,29,13.6,2.23,22,DraftKings,6100
4,Bijan Robinson,ATL,RB,14,TB,24,11,15.38,2.37,20,DraftKings,6500
5,DJ Moore,CHI,WR,14,DET,21,25,14.95,2.3,19,DraftKings,6500
6,Drake London,ATL,WR,14,TB,24,29,11.76,2.56,18,DraftKings,4600
6,Javonte Williams,DEN,RB,14,LAC,29,19,13.35,2.3,18,DraftKings,5800
8,Clyde Edwards-Helaire,KC,RB,14,BUF,7,18,10.22,2.43,17,DraftKings,4200
9,Brandon Aiyuk,SF,WR,14,SEA,26,26,14.93,2.16,16,DraftKings,6900
9,Garrett Wilson,NYJ,WR,14,HOU,19,14,12.87,2.34,16,DraftKings,5500
9,Rashee Rice,KC,WR,14,BUF,7,9,12.71,2.35,16,DraftKings,5400
12,Keenan Allen,LAC,WR,14,DEN,30,8,19.58,2.28,15,DraftKings,8600
13,Ja'Marr Chase,CIN,WR,14,IND,25,18,17.01,2.24,14,DraftKings,7600
13,Michael Pittman Jr.,IND,WR,14,CIN,28,24,16.56,2.27,14,DraftKings,7300
13,Josh Jacobs,LV,RB,14,MIN,15,4,15.05,2.18,14,DraftKings,6900
13,Jake Browning,CIN,QB,14,IND,25,17,16.66,3.2,14,DraftKings,5200
17,Brock Purdy,SF,QB,14,SEA,26,19,20.04,3.08,13,DraftKings,6500
17,Rachaad White,TB,RB,14,ATL,12,2,14.72,2.16,13,DraftKings,6800
17,Chris Olave,NO,WR,14,CAR,16,6,15.1,2.16,13,DraftKings,7000
17,Baltimore Ravens,BAL,DST,14,LAR,null,null,7.8,2.36,13,DraftKings,3300
17,Cleveland Browns,CLE,DST,14,JAX,null,null,8.2,2.73,13,DraftKings,3000
22,Mike Evans,TB,WR,14,ATL,12,7,15.99,2.08,12,DraftKings,7700
22,Justin Fields,CHI,QB,14,DET,21,29,19.67,2.89,12,DraftKings,6800
22,David Njoku,CLE,TE,14,JAX,22,16,9.63,2.35,12,DraftKings,4100
25,Josh Allen,BUF,QB,14,KC,4,10,21.82,2.63,11,DraftKings,8300
25,Alvin Kamara,NO,RB,14,CAR,16,31,17.54,2.14,11,DraftKings,8200
25,Breece Hall,NYJ,RB,14,HOU,19,17,11.44,1.85,11,DraftKings,6200
25,Courtland Sutton,DEN,WR,14,LAC,29,30,13.31,2.18,11,DraftKings,6100
25,Kyle Pitts,ATL,TE,14,TB,24,19,8.46,2.29,11,DraftKings,3700
30,George Kittle,SF,TE,14,SEA,26,15,12.65,2.14,10,DraftKings,5900
30,Jonathan Mingo,CAR,WR,14,NO,11,4,8.91,2.55,10,DraftKings,3500
30,Isaiah Likely,BAL,TE,14,LAR,17,30,7.07,2.02,10,DraftKings,3500
33,Amon-Ra St. Brown,DET,WR,14,CHI,20,16,18.46,2.25,9,DraftKings,8200
33,Zay Flowers,BAL,WR,14,LAR,17,12,12.24,2.15,9,DraftKings,5700
33,Cole Kmet,CHI,TE,14,DET,21,25,10.06,2.34,9,DraftKings,4300
33,Chuba Hubbard,CAR,RB,14,NO,11,15,9.78,1.75,9,DraftKings,5600
33,Elijah Moore,CLE,WR,14,JAX,22,27,9.67,2.15,9,DraftKings,4500
38,Kyren Williams,LAR,RB,14,BAL,1,9,14.32,1.96,8,DraftKings,7300
38,Russell Wilson,DEN,QB,14,LAC,29,28,17.18,2.96,8,DraftKings,5800
38,Travis Kelce,KC,TE,14,BUF,7,9,15.9,2.04,8,DraftKings,7800
38,Deebo Samuel,SF,WR,14,SEA,26,26,14.86,2.19,8,DraftKings,6800
38,Josh Downs,IND,WR,14,CIN,28,24,11.06,2.26,8,DraftKings,4900
38,Jerry Jeudy,DEN,WR,14,LAC,29,30,9.83,2.09,8,DraftKings,4700
38,Kansas City Chiefs,KC,DST,14,BUF,null,null,6.3,2.42,8,DraftKings,2600
45,Justin Jefferson,MIN,WR,14,LV,18,13,17.51,2.06,7,DraftKings,8500
45,Patrick Mahomes,KC,QB,14,BUF,7,11,20.45,2.59,7,DraftKings,7900
45,Joshua Dobbs,MIN,QB,14,LV,18,12,16.79,2.85,7,DraftKings,5900
45,Baker Mayfield,TB,QB,14,ATL,12,22,15.18,2.86,7,DraftKings,5300
45,Jaxon Smith-Njigba,SEA,WR,14,SF,3,22,9.38,2.29,7,DraftKings,4100
45,San Francisco 49ers,SF,DST,14,SEA,null,null,8.3,2.24,7,DraftKings,3700
45,Trey Palmer,TB,WR,14,ATL,12,7,6.39,2,7,DraftKings,3200
