Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Cooper Kupp,LAR,WR,15,SEA,25,6,26.95,2.99,0,DraftKings,9000
2,Davante Adams,GB,WR,15,BAL,17,18,25.57,2.87,25,DraftKings,8900
3,Deebo Samuel,SF,WR,15,ATL,28,26,16.83,2.05,18,DraftKings,8200
4,Josh Allen,BUF,QB,15,CAR,4,5,23.41,2.89,15,DraftKings,8100
5,Kyler Murray,ARI,QB,15,DET,30,14,24.18,3.06,18,DraftKings,7900
6,Najee Harris,PIT,RB,15,TEN,18,2,18.76,2.41,18,DraftKings,7800
7,Stefon Diggs,BUF,WR,15,CAR,4,5,17.72,2.3,17,DraftKings,7700
8,Aaron Rodgers,GB,QB,15,BAL,17,22,21.29,2.84,6,DraftKings,7500
8,Diontae Johnson,PIT,WR,15,TEN,18,31,17.9,2.39,18,DraftKings,7500
8,George Kittle,SF,TE,15,ATL,28,18,17.76,2.37,17,DraftKings,7500
11,CeeDee Lamb,DAL,WR,15,NYG,20,23,16.12,2.18,11,DraftKings,7400
12,Ezekiel Elliott,DAL,RB,15,NYG,20,25,14.42,1.98,14,DraftKings,7300
13,Joe Mixon,CIN,RB,15,DEN,3,12,16.39,2.28,9,DraftKings,7200
13,Lamar Jackson,BAL,QB,15,GB,6,8,0,0,0,DraftKings,7200
15,Ja'Marr Chase,CIN,WR,15,DEN,3,8,15.17,2.14,9,DraftKings,7100
16,Matthew Stafford,LAR,QB,15,SEA,25,15,23.22,3.32,0,DraftKings,7000
16,Derrick Henry,TEN,RB,15,PIT,24,26,0,0,0,DraftKings,7000
16,Tyler Lockett,SEA,WR,15,LAR,12,13,0,0,0,DraftKings,7000
19,Cordarrelle Patterson,ATL,RB,15,SF,9,20,16.31,2.36,6,DraftKings,6900
19,DeAndre Hopkins,ARI,WR,15,DET,30,13,0,0,0,DraftKings,6900
21,Terry McLaurin,WAS,WR,15,PHI,15,5,13.8,2.03,0,DraftKings,6800
22,A.J. Brown,TEN,WR,15,PIT,24,24,0,0,0,DraftKings,6700
23,Jalen Hurts,PHI,QB,15,WAS,27,32,20.6,3.12,0,DraftKings,6600
23,Aaron Jones,GB,RB,15,BAL,17,7,15.11,2.29,7,DraftKings,6600
23,Jaylen Waddle,MIA,WR,15,NYJ,32,10,0,0,0,DraftKings,6600
26,Dak Prescott,DAL,QB,15,NYG,20,18,20.96,3.22,13,DraftKings,6500
26,Saquon Barkley,NYG,RB,15,DAL,15,3,14.73,2.27,14,DraftKings,6500
26,Tee Higgins,CIN,WR,15,DEN,3,8,14.22,2.19,4,DraftKings,6500
29,Russell Wilson,SEA,QB,15,LAR,12,7,17.09,2.67,0,DraftKings,6400
29,James Conner,ARI,RB,15,DET,30,31,14.73,2.3,13,DraftKings,6400
29,Amari Cooper,DAL,WR,15,NYG,20,23,14.59,2.28,7,DraftKings,6400
29,Mark Andrews,BAL,TE,15,GB,6,11,13.61,2.13,6,DraftKings,6400
33,Brandon Aiyuk,SF,WR,15,ATL,28,26,14,2.22,7,DraftKings,6300
33,D'Andre Swift,DET,RB,15,ARI,5,6,0,0,0,DraftKings,6300
35,DK Metcalf,SEA,WR,15,LAR,12,13,15.87,2.56,0,DraftKings,6200
35,Elijah Mitchell,SF,RB,15,ATL,28,23,0,0,0,DraftKings,6200
37,Joe Burrow,CIN,QB,15,DEN,3,4,17.82,2.92,2,DraftKings,6100
37,Javonte Williams,DEN,RB,15,CIN,16,14,13.3,2.18,15,DraftKings,6100
37,DeVonta Smith,PHI,WR,15,WAS,27,30,12.6,2.07,0,DraftKings,6100
40,Antonio Gibson,WAS,RB,15,PHI,15,21,15,2.5,0,DraftKings,6000
40,DJ Moore,CAR,WR,15,BUF,1,1,12.91,2.15,14,DraftKings,6000
42,Ryan Tannehill,TEN,QB,15,PIT,24,16,16.77,2.84,2,DraftKings,5900
42,Marquise Brown,BAL,WR,15,GB,6,16,13.61,2.31,7,DraftKings,5900
42,Chase Claypool,PIT,WR,15,TEN,18,31,13.32,2.26,3,DraftKings,5900
42,Melvin Gordon III,DEN,RB,15,CIN,16,14,12.29,2.08,3,DraftKings,5900
42,Darrell Henderson Jr.,LAR,RB,15,SEA,25,30,11.31,1.92,0,DraftKings,5900
47,Jimmy Garoppolo,SF,QB,15,ATL,28,31,18.71,3.23,9,DraftKings,5800
47,Brandin Cooks,HOU,WR,15,JAX,21,19,13.75,2.37,16,DraftKings,5800
47,Miles Sanders,PHI,RB,15,WAS,27,12,12.33,2.13,0,DraftKings,5800
47,Russell Gage,ATL,WR,15,SF,9,20,11.59,2,3,DraftKings,5800
47,Sony Michel,LAR,RB,15,SEA,25,30,10.63,1.83,0,DraftKings,5800
47,Tony Pollard,DAL,RB,15,NYG,20,25,8.83,1.52,3,DraftKings,5800
53,Tua Tagovailoa,MIA,QB,15,NYJ,32,28,19.12,3.35,12,DraftKings,5700
53,AJ Dillon,GB,RB,15,BAL,17,7,11.3,1.98,4,DraftKings,5700
53,Chuba Hubbard,CAR,RB,15,BUF,1,16,9.01,1.58,2,DraftKings,5700
53,Elijah Moore,NYJ,WR,15,MIA,19,27,0,0,0,DraftKings,5700
57,Ben Roethlisberger,PIT,QB,15,TEN,18,25,17.04,3.04,4,DraftKings,5600
57,Myles Gaskin,MIA,RB,15,NYJ,32,32,14.21,2.54,19,DraftKings,5600
57,Van Jefferson,LAR,WR,15,SEA,25,6,12.63,2.26,0,DraftKings,5600
60,Teddy Bridgewater,DEN,QB,15,CIN,16,11,16.43,2.99,3,DraftKings,5500
60,Devonta Freeman,BAL,RB,15,GB,6,10,13.43,2.44,6,DraftKings,5500
60,Michael Gallup,DAL,WR,15,NYG,20,23,12.44,2.26,5,DraftKings,5500
60,Kyle Pitts,ATL,TE,15,SF,9,4,11.01,2,11,DraftKings,5500
60,Taylor Heinicke,WAS,QB,15,PHI,15,21,0,0,0,DraftKings,5500
65,Tyler Huntley,BAL,QB,15,GB,6,8,16.45,3.05,0,DraftKings,5400
65,James Robinson,JAX,RB,15,HOU,29,30,15.78,2.92,25,DraftKings,5400
65,Cam Newton,CAR,QB,15,BUF,1,1,14.68,2.72,1,DraftKings,5400
65,Davis Mills,HOU,QB,15,JAX,21,19,13.55,2.51,1,DraftKings,5400
65,Odell Beckham Jr.,LAR,WR,15,SEA,25,6,13.49,2.5,0,DraftKings,5400
65,Jerry Jeudy,DEN,WR,15,CIN,16,17,11.9,2.2,3,DraftKings,5400
65,Julio Jones,TEN,WR,15,PIT,24,24,11.56,2.14,5,DraftKings,5400
65,Zach Ertz,ARI,TE,15,DET,30,17,11.25,2.08,8,DraftKings,5400
65,Rashaad Penny,SEA,RB,15,LAR,12,16,10.49,1.94,0,DraftKings,5400
74,Matt Ryan,ATL,QB,15,SF,9,24,15.96,3.01,2,DraftKings,5300
74,Christian Kirk,ARI,WR,15,DET,30,13,13.28,2.51,17,DraftKings,5300
74,Dallas Goedert,PHI,TE,15,WAS,27,11,11.45,2.16,0,DraftKings,5300
74,Kenny Golladay,NYG,WR,15,DAL,15,28,10.37,1.96,3,DraftKings,5300
74,Colt McCoy,ARI,QB,15,DET,30,14,0.3,0.06,0,DraftKings,5300
74,Daniel Jones,NYG,QB,15,DAL,15,7,0,0,0,DraftKings,5300
74,Jamaal Williams,DET,RB,15,ARI,5,6,0,0,0,DraftKings,5300
81,Zach Wilson,NYJ,QB,15,MIA,19,12,14.55,2.8,1,DraftKings,5200
81,Mike Glennon,NYG,QB,15,DAL,15,7,13.02,2.5,0,DraftKings,5200
81,Amon-Ra St. Brown,DET,WR,15,ARI,5,21,11.34,2.18,4,DraftKings,5200
81,D'Onta Foreman,TEN,RB,15,PIT,24,26,11.16,2.15,2,DraftKings,5200
81,Gardner Minshew,PHI,QB,15,WAS,27,32,0.84,0.16,0,DraftKings,5200
81,Calvin Ridley,ATL,WR,15,SF,9,20,0,0,0,DraftKings,5200
81,T.J. Hockenson,DET,TE,15,ARI,5,3,0,0,0,DraftKings,5200
88,Trevor Lawrence,JAX,QB,15,HOU,29,13,15.01,2.94,3,DraftKings,5100
88,Jared Goff,DET,QB,15,ARI,5,3,14.16,2.78,1,DraftKings,5100
88,Chase Edmonds,ARI,RB,15,DET,30,31,11.42,2.24,5,DraftKings,5100
88,Dawson Knox,BUF,TE,15,CAR,4,12,11.39,2.23,8,DraftKings,5100
88,Mike Davis,ATL,RB,15,SF,9,20,8.34,1.64,1,DraftKings,5100
88,Kadarius Toney,NYG,WR,15,DAL,15,28,0,0,0,DraftKings,5100
94,Mike Gesicki,MIA,TE,15,NYJ,32,25,12.81,2.56,17,DraftKings,5000
94,Jeff Wilson Jr.,SF,RB,15,ATL,28,23,11.35,2.27,14,DraftKings,5000
94,Devin Singletary,BUF,RB,15,CAR,4,9,11.19,2.24,5,DraftKings,5000
94,Jamison Crowder,NYJ,WR,15,MIA,19,27,10.08,2.02,2,DraftKings,5000
94,Rashod Bateman,BAL,WR,15,GB,6,16,9.81,1.96,2,DraftKings,5000
94,Tevin Coleman,NYJ,RB,15,MIA,19,8,5.34,1.07,0,DraftKings,5000
94,P.J. Walker,CAR,QB,15,BUF,1,1,2.26,0.45,0,DraftKings,5000
94,J.D. McKissic,WAS,RB,15,PHI,15,21,0,0,0,DraftKings,5000
94,Kyle Allen,WAS,QB,15,PHI,15,21,0,0,0,DraftKings,5000
103,Cole Beasley,BUF,WR,15,CAR,4,5,13.39,2.73,16,DraftKings,4900
103,A.J. Green,ARI,WR,15,DET,30,13,12.81,2.61,9,DraftKings,4900
103,Tyler Boyd,CIN,WR,15,DEN,3,8,10.09,2.06,1,DraftKings,4900
103,David Johnson,HOU,RB,15,JAX,21,22,10.05,2.05,6,DraftKings,4900
103,Dalton Schultz,DAL,TE,15,NYG,20,14,10,2.04,5,DraftKings,4900
103,Marquez Valdes-Scantling,GB,WR,15,BAL,17,18,9.9,2.02,3,DraftKings,4900
103,Dontrell Hilliard,TEN,RB,15,PIT,24,26,7.58,1.55,1,DraftKings,4900
