Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Cooper Kupp,LAR,WR,17,BAL,27,29,27.88,2.93,27.36,DraftKings,9500
2,Jonathan Taylor,IND,RB,17,LV,19,26,24.06,2.67,21.32,DraftKings,9000
3,Deebo Samuel,SF,WR,17,HOU,29,20,17.8,2.05,6.84,DraftKings,8700
4,Tyreek Hill,KC,WR,17,CIN,18,16,18.23,2.2,10.26,DraftKings,8300
5,Austin Ekeler,LAC,RB,17,DEN,3,9,17.92,2.19,10.66,DraftKings,8200
6,Josh Allen,BUF,QB,17,ATL,26,30,24.98,3.12,13.09,DraftKings,8000
7,Stefon Diggs,BUF,WR,17,ATL,26,28,18.63,2.36,11.4,DraftKings,7900
7,Alvin Kamara,NO,RB,17,CAR,4,12,18.03,2.28,4.73,DraftKings,7900
9,Patrick Mahomes,KC,QB,17,CIN,18,12,25.7,3.29,7.14,DraftKings,7800
10,Tom Brady,TB,QB,17,NYJ,32,28,25.04,3.29,5.95,DraftKings,7600
10,Ja'Marr Chase,CIN,WR,17,KC,15,12,15.24,2.01,4.56,DraftKings,7600
12,Keenan Allen,LAC,WR,17,DEN,3,8,17.07,2.28,5.7,DraftKings,7500
12,Joe Mixon,CIN,RB,17,KC,15,17,15.68,2.09,7.1,DraftKings,7500
14,Mark Andrews,BAL,TE,17,LAR,9,12,16.17,2.19,8.79,DraftKings,7400
15,Kyler Murray,ARI,QB,17,DAL,10,6,21.58,2.96,4.76,DraftKings,7300
15,Travis Kelce,KC,TE,17,CIN,18,25,17.94,2.46,9.89,DraftKings,7300
17,A.J. Brown,TEN,WR,17,MIA,12,25,17.21,2.39,11.4,DraftKings,7200
18,Matthew Stafford,LAR,QB,17,BAL,27,31,24.24,3.41,7.14,DraftKings,7100
18,CeeDee Lamb,DAL,WR,17,ARI,5,27,16.17,2.28,18.24,DraftKings,7100
18,George Kittle,SF,TE,17,HOU,29,27,15.4,2.17,4.39,DraftKings,7100
18,Ezekiel Elliott,DAL,RB,17,ARI,5,6,14.53,2.05,4.73,DraftKings,7100
22,Mike Evans,TB,WR,17,NYJ,32,9,11.4,1.63,3.42,DraftKings,7000
22,Lamar Jackson,BAL,QB,17,LAR,9,7,0,0,0,DraftKings,7000
24,Joe Burrow,CIN,QB,17,KC,15,27,19.68,2.85,4.76,DraftKings,6900
24,Tee Higgins,CIN,WR,17,KC,15,12,15.93,2.31,5.7,DraftKings,6900
24,Cordarrelle Patterson,ATL,RB,17,BUF,1,22,12.52,1.81,1.18,DraftKings,6900
27,Justin Herbert,LAC,QB,17,DEN,3,3,21.5,3.16,4.76,DraftKings,6800
27,Derrick Henry,TEN,RB,17,MIA,12,4,0,0,0,DraftKings,6800
