Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Jonathan Taylor,IND,RB,13,HOU,28,27,26.04,2.83,28.93,DraftKings,9200
2,Cooper Kupp,LAR,WR,13,JAX,20,19,26.39,2.93,33.87,DraftKings,9000
3,Austin Ekeler,LAC,RB,13,CIN,8,20,20.42,2.46,5.78,DraftKings,8300
3,Deebo Samuel,SF,WR,13,SEA,23,7,0,0,0,DraftKings,8300
5,Justin Jefferson,MIN,WR,13,DET,29,12,18.85,2.3,14.67,DraftKings,8200
6,Joe Mixon,CIN,RB,13,LAC,19,29,20.17,2.49,10.41,DraftKings,8100
7,Dalvin Cook,MIN,RB,13,DET,29,30,0,0,0,DraftKings,8000
8,Lamar Jackson,BAL,QB,13,PIT,22,19,24.17,3.1,5.74,DraftKings,7800
9,Najee Harris,PIT,RB,13,BAL,15,9,16.49,2.14,3.47,DraftKings,7700
10,Alexander Mattison,MIN,RB,13,DET,29,30,19.35,2.55,23.14,DraftKings,7600
11,Kyler Murray,ARI,QB,13,CHI,16,14,20.48,2.73,3.44,DraftKings,7500
11,Keenan Allen,LAC,WR,13,CIN,8,8,17.61,2.35,15.8,DraftKings,7500
13,Terry McLaurin,WAS,WR,13,LV,27,6,15.66,2.12,6.77,DraftKings,7400
14,Matthew Stafford,LAR,QB,13,JAX,20,10,25.08,3.44,11.49,DraftKings,7300
14,Leonard Fournette,TB,RB,13,ATL,26,25,18.56,2.54,17.36,DraftKings,7300
14,Adam Thielen,MIN,WR,13,DET,29,12,16.52,2.26,4.51,DraftKings,7300
17,Tom Brady,TB,QB,13,ATL,26,31,26,3.61,17.24,DraftKings,7200
18,Cordarrelle Patterson,ATL,RB,13,TB,10,3,16.26,2.32,5.78,DraftKings,7000
18,Ja'Marr Chase,CIN,WR,13,LAC,19,2,15.49,2.21,7.9,DraftKings,7000
18,Jalen Hurts,PHI,QB,13,NYJ,32,23,0,0,0,DraftKings,7000
