Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Kareem Hunt,CLE,RB,6,ARI,5,9,14.33,2.31,42,DraftKings,6200
2,D'Andre Swift,DET,RB,6,CIN,7,13,17.14,2.72,27,DraftKings,6300
3,Davante Adams,GB,WR,6,CHI,8,24,22.54,2.5,20,DraftKings,9000
3,Khalil Herbert,CHI,RB,6,GB,11,16,9.57,2.08,20,DraftKings,4600
5,Darrell Henderson Jr.,LAR,RB,6,NYG,27,23,15.63,2.6,18,DraftKings,6000
6,Cooper Kupp,LAR,WR,6,NYG,27,13,19.79,2.51,16,DraftKings,7900
6,Lamar Jackson,BAL,QB,6,LAC,12,7,24.91,3.37,16,DraftKings,7400
8,Patrick Mahomes,KC,QB,6,WAS,31,31,28.05,3.38,15,DraftKings,8300
8,Tyreek Hill,KC,WR,6,WAS,31,28,20.9,2.46,15,DraftKings,8500
8,Travis Kelce,KC,TE,6,WAS,31,14,19.41,2.77,15,DraftKings,7000
8,Terry McLaurin,WAS,WR,6,KC,32,25,17.86,2.52,15,DraftKings,7100
8,Tee Higgins,CIN,WR,6,DET,25,10,14,2.64,15,DraftKings,5300
8,Jakobi Meyers,NE,WR,6,DAL,20,27,13.42,2.44,15,DraftKings,5500
8,Indianapolis Colts,IND,DST,6,HOU,null,null,10.2,2.91,15,DraftKings,3500
8,Ricky Seals-Jones,WAS,TE,6,KC,32,28,9.01,3,15,DraftKings,3000
16,Amari Cooper,DAL,WR,6,NE,4,8,14.75,2.46,14,DraftKings,6000
16,Robert Woods,LAR,WR,6,NYG,27,13,15.05,2.47,14,DraftKings,6100
18,Mark Andrews,BAL,TE,6,LAC,12,30,14.66,2.82,13,DraftKings,5200
18,Baltimore Ravens,BAL,DST,6,LAC,null,null,6.5,2.83,13,DraftKings,2300
20,Antonio Gibson,WAS,RB,6,KC,32,21,16.01,2.46,12,DraftKings,6500
20,Darrel Williams,KC,RB,6,WAS,31,22,12.98,2.65,12,DraftKings,4900
22,Ja'Marr Chase,CIN,WR,6,DET,25,10,16.31,2.43,11,DraftKings,6700
22,Jonathan Taylor,IND,RB,6,HOU,24,18,17.61,2.67,11,DraftKings,6600
24,DJ Moore,CAR,WR,6,MIN,18,18,17.56,2.41,10,DraftKings,7300
24,Marquise Brown,BAL,WR,6,LAC,12,4,14.56,2.47,10,DraftKings,5900
24,Sterling Shepard,NYG,WR,6,LAR,19,17,11.2,2.24,10,DraftKings,5000
24,Michael Pittman Jr.,IND,WR,6,HOU,24,5,14.64,2.66,10,DraftKings,5500
24,Kadarius Toney,NYG,WR,6,LAR,19,17,12.68,2.26,10,DraftKings,5600
29,Matthew Stafford,LAR,QB,6,NYG,27,24,23.86,3.56,9,DraftKings,6700
29,Keenan Allen,LAC,WR,6,BAL,21,9,16.25,2.54,9,DraftKings,6400
29,Mecole Hardman,KC,WR,6,WAS,31,28,10.61,2.53,9,DraftKings,4200
29,Detroit Lions,DET,DST,6,CIN,null,null,6.1,2.9,9,DraftKings,2100
33,Austin Ekeler,LAC,RB,6,BAL,21,26,19.82,2.51,8,DraftKings,7900
33,Dalvin Cook,MIN,RB,6,CAR,3,2,16.31,2.12,8,DraftKings,7700
33,CeeDee Lamb,DAL,WR,6,NE,4,8,15.2,2.34,8,DraftKings,6500
33,Courtland Sutton,DEN,WR,6,LV,9,3,14.51,2.34,8,DraftKings,6200
33,Joe Mixon,CIN,RB,6,DET,25,32,16.22,2.53,8,DraftKings,6400
33,Tyler Boyd,CIN,WR,6,DET,25,10,12.89,2.39,8,DraftKings,5400
33,Noah Fant,DEN,TE,6,LV,9,22,11.8,2.46,8,DraftKings,4800
33,Chuba Hubbard,CAR,RB,6,MIN,18,20,7.38,1.25,8,DraftKings,5900
41,Taylor Heinicke,WAS,QB,6,KC,32,32,19.65,3.39,7,DraftKings,5800
41,Brandin Cooks,HOU,WR,6,IND,26,30,14.6,2.52,7,DraftKings,5800
41,Adam Thielen,MIN,WR,6,CAR,3,6,13.87,2.39,7,DraftKings,5800
41,Arizona Cardinals,ARI,DST,6,CLE,null,null,7,2.59,7,DraftKings,2700
41,Amon-Ra St. Brown,DET,WR,6,CIN,7,16,10.15,2.42,7,DraftKings,4200
41,Cleveland Browns,CLE,DST,6,ARI,null,null,6.6,2.54,7,DraftKings,2600
47,Mike Williams,LAC,WR,6,BAL,21,9,17.25,2.13,6,DraftKings,8100
