Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Derrick Henry,TEN,RB,7,KC,30,19,24.6,2.67,29,DraftKings,9200
2,Darrell Henderson Jr.,LAR,RB,7,DET,26,32,18.65,2.83,23,DraftKings,6600
3,Chris Godwin,TB,WR,7,CHI,9,21,16.84,2.85,22,DraftKings,5900
3,Calvin Ridley,ATL,WR,7,MIA,31,30,17.14,2.6,22,DraftKings,6600
5,Arizona Cardinals,ARI,DST,7,HOU,null,null,10.5,3.39,21,DraftKings,3100
6,Cooper Kupp,LAR,WR,7,DET,26,9,20.92,2.49,19,DraftKings,8400
7,Leonard Fournette,TB,RB,7,CHI,9,14,16.88,2.64,18,DraftKings,6400
7,Dallas Goedert,PHI,TE,7,LV,13,26,10.62,2.31,18,DraftKings,4600
9,Jaylen Waddle,MIA,WR,7,ATL,23,23,13.84,2.47,17,DraftKings,5600
9,Chuba Hubbard,CAR,RB,7,NYG,29,27,15.58,2.55,17,DraftKings,6100
11,Tyreek Hill,KC,WR,7,TEN,25,32,21.56,2.51,16,DraftKings,8600
11,Davante Adams,GB,WR,7,WAS,32,31,26.75,3.01,16,DraftKings,8900
13,Miles Sanders,PHI,RB,7,LV,13,22,12.96,2.54,15,DraftKings,5100
14,Lamar Jackson,BAL,QB,7,CIN,4,6,24.75,3.34,14,DraftKings,7400
14,Matthew Stafford,LAR,QB,7,DET,26,17,25.29,3.56,14,DraftKings,7100
14,Mike Gesicki,MIA,TE,7,ATL,23,14,11.63,2.47,14,DraftKings,4700
17,Patrick Mahomes,KC,QB,7,TEN,25,30,29.14,3.47,13,DraftKings,8400
17,D'Andre Swift,DET,RB,7,LAR,10,15,16.46,2.74,13,DraftKings,6000
17,Josh Jacobs,LV,RB,7,PHI,16,26,14.27,2.3,13,DraftKings,6200
17,Darrel Williams,KC,RB,7,TEN,25,12,14.66,2.53,13,DraftKings,5800
17,A.J. Brown,TEN,WR,7,KC,30,17,16.29,2.59,13,DraftKings,6300
17,Ricky Seals-Jones,WAS,TE,7,GB,8,18,9.65,2.61,13,DraftKings,3700
23,Jakobi Meyers,NE,WR,7,NYJ,19,3,13.83,2.61,12,DraftKings,5300
23,New York Giants,NYG,DST,7,CAR,null,null,6.8,2.72,12,DraftKings,2500
25,Travis Kelce,KC,TE,7,TEN,25,3,19.79,2.6,11,DraftKings,7600
25,Brandin Cooks,HOU,WR,7,ARI,2,27,14.41,2.4,11,DraftKings,6000
25,DeVonta Smith,PHI,WR,7,LV,13,4,13.72,2.54,11,DraftKings,5400
25,Rashod Bateman,BAL,WR,7,CIN,4,10,10.2,3,11,DraftKings,3400
29,Chase Edmonds,ARI,RB,7,HOU,24,25,13.35,2.38,10,DraftKings,5600
29,Mecole Hardman,KC,WR,7,TEN,25,32,11.14,2.59,10,DraftKings,4300
29,Devontae Booker,NYG,RB,7,CAR,6,1,12.15,2.21,10,DraftKings,5500
32,Jalen Hurts,PHI,QB,7,LV,13,10,21.81,3.16,9,DraftKings,6900
32,Marquise Brown,BAL,WR,7,CIN,4,10,14.38,2.48,9,DraftKings,5800
32,DJ Moore,CAR,WR,7,NYG,29,22,17.8,2.51,9,DraftKings,7100
32,Aaron Jones,GB,RB,7,WAS,32,24,19.42,2.59,9,DraftKings,7500
32,New England Patriots,NE,DST,7,NYJ,null,null,8.9,2.62,9,DraftKings,3400
37,Robert Woods,LAR,WR,7,DET,26,9,15.38,2.4,8,DraftKings,6400
37,Hunter Renfrow,LV,WR,7,PHI,16,7,12.01,2.5,8,DraftKings,4800
37,Darnell Mooney,CHI,WR,7,TB,20,25,11.94,2.6,8,DraftKings,4600
40,Mike Evans,TB,WR,7,CHI,9,21,16.5,2.54,7,DraftKings,6500
40,Darren Waller,LV,TE,7,PHI,16,22,0,0,7,DraftKings,6700
40,Baltimore Ravens,BAL,DST,7,CIN,null,null,8.5,2.93,7,DraftKings,2900
43,Kyler Murray,ARI,QB,7,HOU,24,20,25.87,3.04,6,DraftKings,8500
43,Mark Andrews,BAL,TE,7,CIN,4,7,14.68,2.45,6,DraftKings,6000
43,Terry McLaurin,WAS,WR,7,GB,8,8,15.79,2.29,6,DraftKings,6900
43,Cole Kmet,CHI,TE,7,TB,20,24,7.34,2.45,6,DraftKings,3000
43,Tyler Johnson,TB,WR,7,CHI,9,21,7.33,2.44,6,DraftKings,3000
48,Derek Carr,LV,QB,7,PHI,16,12,18.79,3.13,5,DraftKings,6000
48,DeAndre Hopkins,ARI,WR,7,HOU,24,5,16.97,2.2,5,DraftKings,7700
48,Henry Ruggs III,LV,WR,7,PHI,16,7,11.03,2.01,5,DraftKings,5500
48,Tee Higgins,CIN,WR,7,BAL,12,6,12.59,2.57,5,DraftKings,4900
48,Allen Robinson II,CHI,WR,7,TB,20,25,12.3,2.41,5,DraftKings,5100
48,Tampa Bay Buccaneers,TB,DST,7,CHI,null,null,9.5,2.38,5,DraftKings,4000
48,Las Vegas Raiders,LV,DST,7,PHI,null,null,6.7,2.23,5,DraftKings,3000
48,New York Jets,NYJ,DST,7,NE,null,null,6.1,2.54,5,DraftKings,2400
56,Tom Brady,TB,QB,7,CHI,9,9,24.46,3.18,4,DraftKings,7700
56,Cordarrelle Patterson,ATL,RB,7,MIA,31,28,14.93,2.37,4,DraftKings,6300
56,Aaron Rodgers,GB,QB,7,WAS,32,32,21.62,2.88,4,DraftKings,7500
56,Matt Ryan,ATL,QB,7,MIA,31,24,18.92,3.32,4,DraftKings,5700
56,Ja'Marr Chase,CIN,WR,7,BAL,12,6,15.3,2.47,4,DraftKings,6200
56,Ryan Tannehill,TEN,QB,7,KC,30,31,19.96,3.12,4,DraftKings,6400
56,Joe Mixon,CIN,RB,7,BAL,12,20,15.24,2.34,4,DraftKings,6500
56,Tua Tagovailoa,MIA,QB,7,ATL,23,29,17.84,3.24,4,DraftKings,5500
56,Christian Kirk,ARI,WR,7,HOU,24,5,11.46,2.16,4,DraftKings,5300
56,Rondale Moore,ARI,WR,7,HOU,24,5,10.23,2.32,4,DraftKings,4400
56,Tyler Boyd,CIN,WR,7,BAL,12,6,11.2,2.38,4,DraftKings,4700
56,James Conner,ARI,RB,7,HOU,24,25,11.93,2.13,4,DraftKings,5600
56,J.D. McKissic,WAS,RB,7,GB,8,17,10.32,2.06,4,DraftKings,5000
56,Darius Slayton,NYG,WR,7,CAR,6,12,9.9,2.48,4,DraftKings,4000
56,Los Angeles Rams,LAR,DST,7,DET,null,null,9.4,1.88,4,DraftKings,5000
