Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Keenan Allen,LAC,WR,12,DEN,5,17,17.23,2.33,23,DraftKings,7400
2,Chris Godwin,TB,WR,12,IND,16,28,17.41,2.49,21,DraftKings,7000
3,Christian McCaffrey,CAR,RB,12,MIA,29,12,23.26,2.58,17,DraftKings,9000
4,Deebo Samuel,SF,WR,12,MIN,28,31,18.06,2.29,16,DraftKings,7900
4,Brandin Cooks,HOU,WR,12,NYJ,32,24,13.97,2.41,16,DraftKings,5800
6,James Robinson,JAX,RB,12,ATL,27,28,16.28,2.63,15,DraftKings,6200
6,Miles Sanders,PHI,RB,12,NYG,23,25,13.3,2.61,15,DraftKings,5100
8,Cooper Kupp,LAR,WR,12,GB,6,9,25.41,2.65,14,DraftKings,9600
8,Tom Brady,TB,QB,12,IND,16,27,24.41,3.21,14,DraftKings,7600
8,Diontae Johnson,PIT,WR,12,CIN,10,8,16.46,2.49,14,DraftKings,6600
11,Jonathan Taylor,IND,RB,12,TB,8,3,21.17,2.33,13,DraftKings,9100
11,Davante Adams,GB,WR,12,LAR,9,10,21.15,2.46,13,DraftKings,8600
11,Michael Pittman Jr.,IND,WR,12,TB,8,12,15.35,2.74,13,DraftKings,5600
11,Dallas Goedert,PHI,TE,12,NYG,23,17,11.26,2.35,13,DraftKings,4800
15,Dalvin Cook,MIN,RB,12,SF,7,17,18.74,2.31,12,DraftKings,8100
15,Darrell Henderson Jr.,LAR,RB,12,GB,6,11,15.48,2.67,12,DraftKings,5800
15,Leonard Fournette,TB,RB,12,IND,16,1,15.44,2.27,12,DraftKings,6800
15,Jerry Jeudy,DEN,WR,12,LAC,21,2,12.35,2.25,12,DraftKings,5500
15,Jacksonville Jaguars,JAX,DST,12,ATL,null,null,7,3.18,12,DraftKings,2200
20,Justin Herbert,LAC,QB,12,DEN,5,4,21.26,3.22,11,DraftKings,6600
20,Cam Newton,CAR,QB,12,MIA,29,28,18.99,3.39,11,DraftKings,5600
20,DJ Moore,CAR,WR,12,MIA,29,30,14.49,2.34,11,DraftKings,6200
20,Rob Gronkowski,TB,TE,12,IND,16,27,10.76,2.45,11,DraftKings,4400
20,Houston Texans,HOU,DST,12,NYJ,null,null,7.8,3.39,11,DraftKings,2300
25,Justin Jefferson,MIN,WR,12,SF,7,7,18.34,2.21,10,DraftKings,8300
25,Mike Evans,TB,WR,12,IND,16,28,16.39,2.28,10,DraftKings,7200
25,Saquon Barkley,NYG,RB,12,PHI,13,24,15.85,2.52,10,DraftKings,6300
25,Kyle Pitts,ATL,TE,12,JAX,20,23,14.06,2.3,10,DraftKings,6100
25,Ty Johnson,NYJ,RB,12,HOU,30,26,10.51,2.44,10,DraftKings,4300
25,Evan Engram,NYG,TE,12,PHI,13,32,9.54,2.51,10,DraftKings,3800
31,Austin Ekeler,LAC,RB,12,DEN,5,14,19.93,2.37,9,DraftKings,8400
31,Cordarrelle Patterson,ATL,RB,12,JAX,20,18,15.32,2.36,9,DraftKings,6500
31,George Kittle,SF,TE,12,MIN,28,6,14.9,2.33,9,DraftKings,6400
