"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","NO","20.5","9900","0","0","0","0","0","0","17.1596","71.6597","0.5149","6.0753","4.9444","35.852","0.1659","0.1445","0.0722","0.0301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Dalvin Cook","MIN","rb","7","@ARZ","20.1","9100","0","0","0","0","0","0","18.8094","81.6176","0.6516","4.5879","3.8586","26.1013","0.1161","0.303","0.1515","0.0394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Davante Adams","GB","wr","13","DET","21.6","8300","0","0","0","0","0","0","0.0242","0.109","0.0013","9.4481","7.1066","85.4176","0.8233","0.0916","0.0458","0.0159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Alvin Kamara","NO","rb","6","@CAR","18.9","8800","0","0","0","0","0","0","12.5148","59.3395","0.6018","5.8296","4.6996","33.3319","0.1637","0.1689","0.0845","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Aaron Jones","GB","rb","13","DET","18.4","6800","0","0","0","0","0","0","12.6804","60.6368","0.7354","4.2179","3.4764","28.4878","0.1974","0.1454","0.0727","0.0055","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Antonio Gibson","WAS","rb","9","NYG","18.4","0","0","0","0","0","0","0","17.3217","77.5461","0.6762","3.8803","3.2153","21.5062","0.085","0.223","0.1115","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Chris Carson","SEA","rb","9","TEN","18.3","6100","0","0","0","0","0","0","16.4169","75.3278","0.6215","3.5689","2.9937","22.2106","0.2054","0.3111","0.1555","0.0041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Travis Kelce","KC","te","12","@BLT","17.7","8500","0","0","0","0","0","0","0","0","0","8.098","5.8373","74.5024","0.6217","0.0488","0.0244","0.0206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Najee Harris","PIT","rb","7","LV","17.4","6300","0","0","0","0","0","0","17.0387","72.0823","0.5165","3.9801","3.2441","24.3199","0.1244","0.1769","0.0885","0.0166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Joe Mixon","CIN","rb","10","@CHI","17.3","7000","0","0","0","0","0","0","17.598","72.5102","0.4627","4.2727","3.5395","22.6183","0.1376","0.1433","0.0716","0.0112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
