PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
CeeDee Lamb,DAL,WR,5.7,3.8,9.7,47.64,13,17,76.47,146,2,3.4,2.5,1
Calvin Ridley,TEN,WR,5.3,2.3,11.4,45.71,10,15,66.67,143,0,3.4,5.1,-1.7
George Kittle,SF,TE,5,4.7,10.4,38.48,6,7,85.71,128,1,12.2,5.4,6.8
Terry McLaurin,WAS,WR,7.8,3.8,22.9,43.39,5,8,62.5,125,0,4.6,4.4,0.2
Trey McBride,ARI,TE,6.1,3.2,8.3,30.43,9,11,81.82,124,0,5.1,3.8,1.3
Zay Flowers,BAL,WR,7,2.7,17.3,54.31,7,12,58.33,115,0,4.1,5.3,-1.2
Justin Jefferson,MIN,WR,6,2.5,11,45.67,8,9,88.89,115,0,3.4,2.6,0.8
Garrett Wilson,NYJ,WR,3.4,1.3,19.9,62.78,5,8,62.5,113,0,3.9,3.4,0.5
Ladd McConkey,LAC,WR,8.5,2.6,12.8,33.2,6,6,100,111,2,6.9,3.5,3.4
Marvin Harrison Jr.,ARI,WR,2.9,2,18.5,43.35,6,7,85.71,111,1,2,1.5,0.4
Josh Downs,IND,WR,4.7,4.9,11,19.92,4,9,44.44,109,1,14.3,14.6,-0.3
Darius Slayton,NYG,WR,4.6,3.5,16.9,37.51,4,7,57.14,108,0,8,3.1,4.9
Chris Olave,NO,WR,8,3.9,12.9,60.39,8,14,57.14,107,0,4.1,4.3,-0.3
Khalil Shakir,BUF,WR,5.7,4.7,1.5,7.31,9,10,90,107,0,10,8.4,1.5
Puka Nacua,LAR,WR,6.9,4.1,11.5,38.47,7,9,77.78,106,0,7.9,5.8,2
Courtland Sutton,DEN,WR,8.8,2.4,13.3,36.54,8,11,72.73,100,0,4.2,3.8,0.4
Cedric Tillman,CLE,WR,4.7,2.9,17.3,36.11,7,9,77.78,99,2,3.8,3.1,0.7
Kyle Pitts,ATL,TE,9.5,5,7.1,19.42,4,5,80,91,2,14.4,7.7,6.7
Travis Kelce,KC,TE,6.1,3.4,7.3,34.3,10,12,83.33,90,1,3.7,5.1,-1.4
Darnell Mooney,ATL,WR,5.3,2.7,19.9,65.09,4,6,66.67,86,1,4.7,2.4,2.3
DeVonta Smith,PHI,WR,7.4,2.2,10.7,39.22,6,7,85.71,85,1,3.3,3.6,-0.4
Elijah Moore,CLE,WR,6.6,2.5,10.2,28.5,8,12,66.67,85,0,0.6,0.9,-0.2
A.J. Brown,PHI,WR,3,2.9,13.7,42.87,5,6,83.33,84,0,5,2,2.9
Stefon Diggs,HOU,WR,9,3.9,12.6,37.99,5,9,55.56,81,0,6.3,6.1,0.2
Cade Otton,TB,TE,6.8,2.5,4.5,14.49,9,10,90,81,2,4.3,2.7,1.6
Jerry Jeudy,CLE,WR,5.2,2,12,22.41,5,8,62.5,79,0,3.4,4.4,-1
Jalen Coker,CAR,WR,6.6,2.1,16.3,34.49,4,6,66.67,78,1,3.8,2,1.8
Zach Ertz,WAS,TE,6.7,3.1,9.9,25.93,7,11,63.64,77,0,1.8,2.3,-0.6
George Pickens,PIT,WR,7.3,2.4,12,21.39,4,5,80,74,0,7.6,7.8,-0.3
Noah Brown,WAS,WR,8.8,2.6,19.5,27.79,3,6,50,73,1,0.5,0.9,-0.4
Mike Gesicki,CIN,TE,8.7,2.8,7.9,22.07,7,8,87.5,73,0,2.1,3.5,-1.4
Tyreek Hill,MIA,WR,4.4,3,11.8,54.6,6,9,66.67,72,0,3.8,5,-1.2
Romeo Doubs,GB,WR,4.2,3.3,16.9,38.27,3,6,50,72,0,8,7.2,0.8
Deebo Samuel Sr.,SF,WR,6.2,3.3,6.9,25.6,4,7,57.14,71,0,12.5,10.3,2.2
Malik Nabers,NYG,WR,5.1,2.7,13.4,55.57,7,13,53.85,71,0,1.9,1.6,0.2
Keon Coleman,BUF,WR,4.3,2.5,11.3,39.33,5,7,71.43,70,1,4.8,3.4,1.4
Jaxon Smith-Njigba,SEA,WR,7.3,3.7,7,46.89,6,7,85.71,69,0,6.1,6,0.1
Van Jefferson,PIT,WR,6.6,2.1,13,23.23,4,5,80,62,0,2.8,3,-0.2
David Njoku,CLE,TE,10.3,2.3,7.9,12.9,5,7,71.43,61,1,2.5,2.1,0.4
Brenton Strange,JAX,TE,8.3,3.2,5.2,9.46,5,5,100,59,0,6.6,4.5,2.1
Christian Kirk,JAX,WR,7.3,2.2,19,34.86,2,5,40,59,0,12.1,6.7,5.5
Brock Bowers,LV,TE,8.5,4.8,5.3,21.3,5,5,100,58,0,6.3,5.1,1.2
Davante Adams,NYJ,WR,5.3,2.7,8.1,19.14,4,6,66.67,54,0,4.2,2.6,1.6
Ja'Marr Chase,CIN,WR,4.4,2.4,7.5,28.78,9,11,81.82,54,1,2.3,5.2,-2.9
Dalton Schultz,HOU,TE,7.2,2.8,8.8,17.56,4,6,66.67,52,0,5.2,4.2,1
Jakobi Meyers,LV,WR,6.7,5.2,4.7,26.36,6,7,85.71,52,1,3.5,4.2,-0.7
Cooper Kupp,LAR,WR,9,3.4,6.5,19.28,5,8,62.5,51,1,5.8,4.6,1.2
Sam LaPorta,DET,TE,7.5,3.5,1.4,13.25,6,6,100,48,1,7.6,6.7,0.9
Kayshon Boutte,NE,WR,4.2,2.2,15.3,36.26,3,6,50,46,0,0.9,1.6,-0.7
Hunter Henry,NE,TE,6.6,2.6,6.1,14.37,5,6,83.33,45,0,2.5,1.7,0.8
Jaylen Waddle,MIA,WR,4.4,3.6,8.7,26.9,4,6,66.67,45,0,5.9,6.2,-0.4
Rome Odunze,CHI,WR,7,2.8,17.9,38.43,3,6,50,41,0,6.3,4.5,1.9
Will Dissly,LAC,TE,6.9,2.7,4.9,14.84,5,7,71.43,41,0,4.4,5,-0.6
David Moore,CAR,WR,6.2,2.4,8.1,14.33,4,5,80,39,0,1.4,0.2,1.2
Christian Watson,GB,WR,5.6,2.1,11,24.96,4,6,66.67,39,0,3.4,4.3,-0.9
Keenan Allen,CHI,WR,4.7,3.3,16,40.13,2,7,28.57,39,0,7.4,6.4,1
Xavier Worthy,KC,WR,4.2,3.4,7.4,23.14,4,8,50,37,1,4.7,7.5,-2.8
Nelson Agholor,BAL,WR,6.1,2.5,12.7,16.63,3,5,60,36,1,0.8,1.9,-1.1
Evan Engram,JAX,TE,4.5,3.3,7,12.89,4,5,80,36,1,2.4,1.7,0.7
Mark Andrews,BAL,TE,3.7,4.1,5.8,7.57,5,5,100,36,1,1.6,2.7,-1.1
Jalen McMillan,TB,WR,7.9,3.5,14.8,33.18,4,7,57.14,35,0,3.5,6.1,-2.6
Xavier Legette,CAR,WR,7.5,3.1,15.3,37.77,4,7,57.14,34,1,0.9,1.1,-0.2
Drake London,ATL,WR,4.4,3.5,6.6,21.68,4,6,66.67,34,0,3.3,2.9,0.5
Michael Wilson,ARI,WR,8.4,3.1,7.1,14.26,5,6,83.33,31,1,1.2,0.9,0.3
Dalton Kincaid,BUF,TE,4.3,3.6,6.7,23.43,4,7,57.14,31,1,5.4,5.7,-0.4
Wan'Dale Robinson,NYG,WR,6.7,4.4,-0.5,-0.82,5,5,100,30,0,6.5,6.6,-0.1
Rashod Bateman,BAL,WR,3.7,2.8,16.8,21.96,1,5,20,28,0,18.8,15.1,3.7
Jake Ferguson,DAL,TE,7.6,5.3,1,2.32,6,8,75,23,0,5,5.3,-0.3
Lil'Jordan Humphrey,DEN,WR,6.6,2.7,9.3,13.93,4,6,66.67,22,0,1.9,2.3,-0.4
Jonnu Smith,MIA,TE,6.2,1.6,8.7,22.41,4,6,66.67,20,0,0.3,3.1,-2.7
Ryan Miller,TB,WR,9.7,1.9,10.8,17.27,3,5,60,19,0,0.8,1.5,-0.7
Sterling Shepard,TB,WR,7.6,3.8,9.2,14.74,3,5,60,18,0,2.4,2.4,-0.1
Michael Pittman,IND,WR,6.3,1,21.5,25.92,1,6,16.67,16,0,2.8,2.7,0
Chig Okonkwo,TEN,TE,6.8,2.6,6.8,9.07,2,5,40,14,0,5.3,6.9,-1.6
Tyler Boyd,TEN,WR,4,2.3,8.1,13.03,3,6,50,14,0,-0.2,1.3,-1.5
