PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Jaxon Smith-Njigba,SEA,WR,6.3,2.3,19.9,69.17,7,13,53.85,180,2,7.1,4.5,2.6
Justin Jefferson,MIN,WR,7.5,3,14.2,53.35,7,9,77.78,137,0,5.4,3.5,1.9
Zay Flowers,BAL,WR,7.3,5.5,11.3,43.01,5,6,83.33,127,2,12.4,3.8,8.6
Tank Dell,HOU,WR,3.5,3.1,13.7,28.3,6,9,66.67,126,0,8.5,8.5,0
Courtland Sutton,DEN,WR,4.9,3.1,13.5,47.11,7,10,70,122,0,5.3,4.8,0.5
Quentin Johnston,LAC,WR,3.4,4.8,13.2,27.21,4,5,80,118,1,17,10.2,6.8
Jayden Reed,GB,WR,7.7,2.8,14.6,23.65,5,6,83.33,113,0,4.9,3.7,1.2
Jakobi Meyers,LV,WR,5.6,3.2,9.4,41.96,8,11,72.73,105,0,5.3,5.7,-0.4
Cooper Kupp,LAR,WR,7.1,4.1,5.3,17.38,11,14,78.57,104,0,4.5,4.6,-0.1
Rome Odunze,CHI,WR,6.5,3.4,16.2,32.31,5,7,71.43,104,0,5.9,4.9,1
Travis Kelce,KC,TE,5.9,3.4,5,29.93,14,16,87.5,100,0,2.6,3.7,-1.1
Mike Gesicki,CIN,TE,4.1,2.7,13.7,33.98,5,6,83.33,100,2,9.6,11.2,-1.6
Demarcus Robinson,LAR,WR,2.4,2.5,14.6,30.84,6,9,66.67,94,2,0.8,2.5,-1.7
Davante Adams,NYJ,WR,5.1,2.7,8.9,52.79,7,11,63.64,91,1,6,4.6,1.4
Garrett Wilson,NYJ,WR,6.6,3.8,6.3,33.72,9,10,90,90,2,4.7,4.1,0.6
Darnell Mooney,ATL,WR,4.9,2.1,11.5,70.55,5,9,55.56,88,1,7.3,6,1.3
Ja'Tavion Sanders,CAR,TE,6.8,4.6,8.3,21.8,4,5,80,87,0,15.3,5.9,9.3
DeVonta Smith,PHI,WR,4.8,2.7,15.4,43.1,4,6,66.67,87,1,3.9,2.5,1.3
DeAndre Hopkins,KC,WR,5.9,2.5,8,26.81,8,9,88.89,86,2,3.5,2.7,0.9
Tyreek Hill,MIA,WR,4.9,2.7,14.8,59.38,4,5,80,80,0,4,3.4,0.6
Cade Otton,TB,TE,6.6,3.2,4.2,30.92,8,11,72.73,77,1,5.8,5.3,0.5
Cedric Tillman,CLE,WR,6.7,2.2,10.6,29.04,6,11,54.55,75,1,3,1.7,1.3
Jerry Jeudy,CLE,WR,7.1,2.4,11.8,32.38,7,11,63.64,73,0,0.5,1.1,-0.6
Calvin Ridley,TEN,WR,4.3,3.4,14.2,46.57,5,8,62.5,73,0,4.3,3.6,0.7
Jake Ferguson,DAL,TE,6.4,3.6,2.9,9.66,7,10,70,71,0,7,5.9,1
Ladd McConkey,LAC,WR,6.2,4.3,11.8,34.06,5,7,71.43,70,0,3.8,4.3,-0.5
Noah Brown,WAS,WR,7.2,2.7,9.2,45.48,5,6,83.33,60,0,1.9,1.9,0
Josh Downs,IND,WR,6.4,3.6,7.6,34.52,6,9,66.67,60,0,4.6,3.5,1.2
Malik Nabers,NYG,WR,6.9,2.3,5.5,31.44,9,11,81.82,59,0,1.3,3,-1.7
Josh Oliver,MIN,TE,4.1,4.9,5.6,11.79,5,5,100,58,1,6,4.1,1.8
Hunter Henry,NE,TE,6.8,3.3,5.7,16.52,7,8,87.5,56,0,4.9,7,-2.1
Amon-Ra St. Brown,DET,WR,6.4,2.7,5.5,51.31,7,7,100,56,1,2.9,3.2,-0.4
Theo Johnson,NYG,TE,4.5,2.2,12.6,39.1,3,6,50,51,1,6.1,3.7,2.3
Khalil Shakir,BUF,WR,8.3,6.8,-0.8,-4.47,6,7,85.71,50,0,9.9,7.1,2.9
Nick Westbrook-Ikhine,TEN,WR,8.2,3,8.6,21.17,5,6,83.33,50,1,3.6,2.3,1.2
Sterling Shepard,TB,WR,7.3,3.1,10.2,34.55,4,5,80,48,0,0.8,0.9,-0.1
CeeDee Lamb,DAL,WR,6.8,2.4,7.1,28.53,8,12,66.67,47,0,1.7,3,-1.3
Jonnu Smith,MIA,TE,7.1,3.5,4.6,22.43,5,6,83.33,46,0,7,5.8,1.2
Brock Bowers,LV,TE,6.4,3.6,6.8,22.07,5,8,62.5,45,1,3.6,3.9,-0.3
Evan Engram,JAX,TE,6.3,2.1,7,27.47,5,10,50,45,0,3.4,4.3,-0.9
Ja'Marr Chase,CIN,WR,7.5,3.7,3,13.63,7,11,63.64,43,0,6.4,5.6,0.7
Jordan Addison,MIN,WR,4.4,4,6.5,13.63,5,5,100,42,1,3.2,2.2,1
Taysom Hill,NO,TE,6.8,4.2,1.7,4.45,4,5,80,41,0,9.1,6.5,2.6
Parker Washington,JAX,WR,5.7,1.9,15,35.37,3,6,50,41,0,0.3,1.3,-1
Kendrick Bourne,NE,WR,4.8,2.6,11.4,24.62,4,6,66.67,41,0,2.2,2.3,-0.1
Tyler Johnson,LAR,WR,5,4.4,7.4,8.63,3,5,60,38,0,5.6,4.6,1
Christian Watson,GB,WR,3.9,2.4,20.3,38.38,3,7,42.86,37,0,0.2,1.5,-1.2
Keenan Allen,CHI,WR,7.1,3,13.3,37.97,4,10,40,36,0,1.2,1.4,-0.2
Demario Douglas,NE,WR,5.7,4.3,6.4,20.7,7,9,77.78,35,0,3.4,3.1,0.4
Tucker Kraft,GB,TE,7.3,3.7,6.4,10.38,4,6,66.67,34,0,4.1,2.4,1.7
Marvin Harrison Jr.,ARI,WR,3.9,1.6,17,65.57,2,5,40,34,0,0.9,2.8,-2
Xavier Legette,CAR,WR,7.5,2.2,8.2,25.89,4,6,66.67,33,1,1.3,0.9,0.3
DJ Moore,CHI,WR,5.7,3.4,12,30.83,4,9,44.44,33,0,4.5,5.2,-0.7
Dalton Kincaid,BUF,TE,5.8,3.2,7.1,53.78,4,10,40,32,0,3.4,3.1,0.3
Mack Hollins,BUF,WR,8.2,3.6,6.4,23.95,5,5,100,30,1,1.4,1.5,-0.1
Grant Calcaterra,PHI,TE,7.3,5.5,1.5,3.59,5,5,100,30,0,4.5,4.2,0.2
David Njoku,CLE,TE,4.4,2.3,3,5.17,5,7,71.43,29,0,2.5,2.6,-0.1
Elijah Moore,CLE,WR,6.9,2.2,12.2,27.31,3,9,33.33,28,0,4.5,2.7,1.7
Romeo Doubs,GB,WR,6.5,2.3,6.7,9.07,4,5,80,28,0,0.5,1.4,-1
AJ Barner,SEA,TE,5.6,4.9,0.9,1.74,4,7,57.14,27,0,5.2,4.8,0.4
Jalen Brooks,DAL,WR,7.1,2.1,12.4,20.79,2,5,40,26,0,0.8,1.5,-0.7
Dalton Schultz,HOU,TE,7.4,2.7,14.6,20.15,3,6,50,21,0,3.6,1.6,2
Jalen Tolbert,DAL,WR,7.7,2.7,13.6,27.24,3,6,50,19,1,1.5,3,-1.5
Kayshon Boutte,NE,WR,4.1,1.7,17.7,38.17,2,6,33.33,18,0,0.1,0.9,-0.9
Lil'Jordan Humphrey,DEN,WR,4.9,3.8,6.3,11.01,2,5,40,11,0,1.6,2.2,-0.7
Tre Tucker,LV,WR,5.8,1.6,10.8,26.29,2,6,33.33,5,0,0.4,1.3,-0.8
