PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Sean Tucker,TB,2.34,21.43,2.67,14,136,47,9.7,3.95,75,1
Derrick Henry,BAL,3.28,62.5,2.57,24,132,34,5.5,1.43,62.5,2
Breece Hall,NYJ,3.37,--,3,18,113,30,6.3,2.02,33.3,0
Najee Harris,PIT,2.64,14.29,2.97,14,106,63,7.6,4.49,42.9,1
Tyler Allgeier,ATL,3.31,22.22,2.77,18,105,17,5.8,0.97,44.4,1
Joe Mixon,HOU,2.59,53.85,2.61,13,102,55,7.8,4.21,38.5,1
Isaac Guerendo,SF,2.57,40,2.95,10,99,64,9.9,7.08,33.3,0
Ray Davis,BUF,3.69,20,2.84,20,97,7,4.9,0.36,45,0
J.K. Dobbins,LAC,4.07,24,2.78,25,96,27,3.8,1.06,48,1
Bijan Robinson,ATL,3.78,--,2.88,15,95,25,6.3,1.78,64.3,2
Tony Pollard,TEN,2.91,--,2.37,17,93,-1,5.5,-0.09,43.8,1
Chuba Hubbard,CAR,3.14,5.56,2.5,18,92,14,5.1,0.79,47.1,0
D'Andre Swift,CHI,3.39,17.65,2.82,17,91,15,5.4,0.88,52.9,1
Bucky Irving,TB,3.58,14.29,2.57,14,81,21,5.8,1.75,50,1
David Montgomery,DET,3.15,41.67,2.76,12,80,25,6.7,2.11,58.3,2
Jahmyr Gibbs,DET,4.13,8.33,2.93,12,63,-1,5.3,-0.08,41.7,0
Josh Jacobs,GB,4.4,5.56,2.49,18,62,-1,3.4,-0.03,55.6,0
Chase Brown,CIN,4.14,10,3.17,10,53,6,5.3,0.6,30,1
Tyrone Tracy Jr.,NYG,4.98,11.76,3.06,17,50,-21,2.9,-1.25,23.5,1
Saquon Barkley,PHI,5.22,44.44,2.83,18,47,-23,2.6,-1.27,27.8,0
Alvin Kamara,NO,4.3,38.46,2.58,13,40,-12,3.1,-0.95,30.8,1
Alexander Mattison,LV,5.47,21.43,2.49,14,33,-23,2.4,-1.64,14.3,1
Kenneth Walker III,SEA,6.01,7.14,2.82,14,32,-19,2.3,-1.38,35.7,1
D'Onta Foreman,CLE,4.16,--,2.68,10,31,-19,3.1,-1.91,50,0
Trey Sermon,IND,7.7,16.67,2.55,18,29,-15,1.6,-0.85,27.8,0
Antonio Gibson,NE,8.2,23.08,3.04,13,19,-20,1.5,-1.52,30.8,0
