PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Baker Mayfield,TB,2.77,4.7,8.3,-3.6,6.7,37,-0.1,45,370,3,2,97.5,68.9,69.4,-0.5
Justin Herbert,LAC,3.08,8.1,8.5,-0.4,15.4,51.6,-1.3,39,349,0,0,97.1,69.2,64.9,4.3
Josh Allen,BUF,2.58,7.4,9,-1.6,33.3,39.8,0.2,33,323,2,0,116.1,63.6,56.3,7.3
Lamar Jackson,BAL,2.83,8.4,8.6,-0.1,--,58.3,-3.9,22,281,5,0,158.1,77.3,73.4,3.8
Jared Goff,DET,2.57,6.2,7,-0.8,4,40.4,-2.5,25,280,2,0,140,88,76,12
Drake Maye,NE,2.78,4.6,7.4,-2.8,16.2,42.2,-2.6,37,276,2,0,109.7,70.3,67.4,2.9
Aaron Rodgers,NYJ,2.46,3.4,5.3,-1.9,10.3,35.6,-3.5,39,276,1,2,70,61.5,71.9,-10.3
Russell Wilson,PIT,3.08,8.2,8,0.2,31,56.2,-0.8,29,264,2,0,109,55.2,60.1,-5
Sam Darnold,MIN,2.96,7.5,8.1,-0.6,11.1,54.3,-2.2,27,259,1,1,103.5,81.5,68.1,13.4
Kirk Cousins,ATL,2.61,5.1,7.3,-2.2,8.6,37.8,-2.2,35,232,1,2,72.6,68.6,68.5,0.1
Jordan Love,GB,2.47,5.6,8.7,-3.1,27.3,42.6,-0.3,33,220,3,2,95.5,72.7,62.9,9.8
Mason Rudolph,TEN,2.78,4.2,5.7,-1.6,12.5,33.6,-2.5,40,215,1,1,74.5,62.5,60.5,2
Brock Purdy,SF,2.63,7.8,9.5,-1.8,12.9,51.2,1.6,31,212,0,3,36.7,54.8,63.7,-8.9
Geno Smith,SEA,3.09,7.5,12,-4.5,10.7,39.8,1.5,28,207,2,0,110.3,64.3,58.6,5.7
Marcus Mariota,WAS,3.5,9,10.7,-1.7,13,32.5,0.9,23,205,2,0,132.8,78.3,68.5,9.7
Trevor Lawrence,JAX,2.41,6.2,6,0.2,15,57.2,-1.9,20,193,1,0,121.5,75,74.2,0.8
Joe Burrow,CIN,2.58,5.1,9.5,-4.4,36,29.2,1.3,25,181,2,0,108.9,60,60,0
Spencer Rattler,NO,2.68,3.2,6.8,-3.6,5.7,30.4,-2.9,35,172,0,0,82.1,71.4,72.3,-0.9
Bo Nix,DEN,3.34,3.3,6.6,-3.3,3.8,31.1,-2.3,26,164,0,0,79.6,61.5,75.5,-14
Matthew Stafford,LAR,2.24,3.2,6.8,-3.6,8.7,23.5,-1.8,23,154,0,1,62.6,60.9,71.6,-10.7
Gardner Minshew,LV,2.82,2.3,6.6,-4.3,20.6,22.1,-2.3,34,154,0,3,21,44.1,51.3,-7.2
Patrick Mahomes,KC,2.76,2.9,8.3,-5.4,3.7,33.7,0.8,27,154,0,2,44.4,59.3,68.7,-9.4
Kyler Murray,ARI,2.75,3.9,5.7,-1.8,23.1,25.1,-3.1,26,145,1,1,67,53.8,63.3,-9.4
Anthony Richardson,IND,3.02,7.4,10.9,-3.5,12.5,34.4,2.5,24,129,0,0,59.2,41.7,55.7,-14.1
Deshaun Watson,CLE,3.31,4.8,6.4,-1.6,17.6,29.9,-4.3,17,128,0,0,98,88.2,76.5,11.7
Daniel Jones,NYG,2.96,3.2,6,-2.8,9.5,29.6,-3.4,21,99,0,0,77.3,66.7,65.8,0.9
Andy Dalton,CAR,2.75,4.9,4.3,0.6,18.8,32.9,-3.2,16,93,0,2,44,68.8,66,2.7
C.J. Stroud,HOU,3.25,3.8,7.6,-3.8,19,29.2,-1.1,21,86,0,0,58.8,47.6,54.5,-6.9
Dorian Thompson-Rob,CLE,2.46,3,5.6,-2.6,--,28.7,-2.8,24,82,0,2,19.8,45.8,65.8,-20
