PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Jameis Winston,CLE,2.82,9,8.6,0.3,17.2,50.2,-0.1,58,497,4,3,88.1,58.6,62.4,-3.8
Russell Wilson,PIT,2.77,5,5.1,-0.1,7.9,47.3,-2.6,38,414,3,1,126.4,76.3,68.6,7.7
Tua Tagovailoa,MIA,2.39,5.5,6.6,-1.1,6.5,28.3,-2.6,46,365,2,0,114.2,80.4,78.6,1.8
Aidan O'Connell,LV,2.94,7.6,7.8,-0.2,25.7,50.4,-1.4,35,340,2,0,116.4,65.7,62.7,3
Joe Burrow,CIN,2.61,6,6.7,-0.8,5.3,31.5,-1.6,38,309,3,1,112.7,73.7,70.8,2.9
Patrick Mahomes,KC,2.98,6.1,8.4,-2.3,13,38.6,-1.5,46,306,1,0,84.1,56.5,65,-8.5
Bryce Young,CAR,2.73,6.8,9.8,-3,13,39.7,1.5,46,298,1,0,83.4,56.5,55.8,0.7
Bo Nix,DEN,2.9,7.4,12.5,-5.1,22.9,44.3,3.9,35,294,1,2,65.7,51.4,56.6,-5.1
Jordan Love,GB,2.69,4.2,6.7,-2.5,10.7,47.3,-2.4,28,274,2,0,129.2,75,69.7,5.3
Kyler Murray,ARI,2.78,5.6,7.3,-1.8,24.4,35,-1.8,45,260,1,2,72.5,68.9,59.9,9
Caleb Williams,CHI,3.41,7.5,11.3,-3.8,20.5,41.7,2.2,39,256,3,0,97.8,51.3,57.4,-6.1
Kirk Cousins,ATL,2.72,3.5,7.6,-4,23.1,30.7,-0.7,39,245,0,4,40,61.5,64.4,-2.9
C.J. Stroud,HOU,2.96,5.7,8.4,-2.7,26.5,34.6,-0.6,34,242,1,0,95.5,64.7,64.7,0
Drake Maye,NE,2.41,5.5,6.3,-0.8,16.7,28.8,-2.5,30,238,1,1,96.9,80,71.1,8.9
Lamar Jackson,BAL,3.3,6,9,-3,13.9,38.1,-0.6,36,237,2,0,101.3,63.9,66.4,-2.5
Sam Darnold,MIN,3.06,5.9,8.7,-2.8,9.7,37.1,-0.1,31,235,2,0,111.6,67.7,63.1,4.6
Baker Mayfield,TB,2.6,5.1,6.7,-1.7,21.2,32.4,-2,33,235,1,2,69.6,63.6,68.5,-4.9
Mac Jones,JAX,2.59,4.7,9.3,-4.5,15.6,30.5,-0.3,32,235,2,0,105.6,62.5,67,-4.5
Jared Goff,DET,2.89,4.7,7.9,-3.2,17.6,31.8,-1.3,34,221,2,0,100.2,61.8,60.4,1.4
Will Levis,TEN,2.86,7.9,11.1,-3.2,18.9,45.8,1,37,212,2,0,84.5,48.6,60.9,-12.2
Jayden Daniels,WAS,2.56,3.5,5.6,-2.1,13.3,30.4,-2.6,30,206,3,1,114.7,83.3,75.2,8.1
Geno Smith,SEA,3.33,6.3,6.6,-0.3,16.1,41.3,-2.2,31,206,1,0,94.3,64.5,62.4,2.1
Cooper Rush,DAL,2.42,3.5,8,-4.5,22.2,47.6,-0.3,36,195,1,0,82.5,58.3,67,-8.7
Aaron Rodgers,NYJ,2.84,2.7,8.4,-5.7,10.3,36.1,-0.5,39,185,2,1,73.1,53.8,66.9,-13.1
Derek Carr,NO,2.82,5,7.2,-2.2,8.1,45.6,-0.8,37,184,1,0,85.9,64.9,63.1,1.8
Matthew Stafford,LAR,2.84,7.6,8.6,-1,16.7,40.7,0,24,183,2,0,110.2,58.3,59.6,-1.2
Drew Lock,NYG,2.75,3.7,6.4,-2.7,6.3,29.9,-3.2,32,178,0,1,66.9,65.6,71.9,-6.2
Josh Allen,BUF,2.86,4.2,6.1,-1.9,11.8,28,-1.5,17,148,2,0,141.3,76.5,68.5,7.9
Justin Herbert,LAC,3.13,5.3,7.1,-1.9,34.8,27.9,-3.2,23,147,0,0,86.7,69.6,58.1,11.5
Jalen Hurts,PHI,2.96,5.5,7.9,-2.4,15.8,24.3,-0.2,19,118,1,0,93.8,57.9,60,-2.1
Anthony Richardson,IND,2.99,5.3,15.4,-10,29.2,29.6,6.9,24,109,2,2,55.7,50,59.6,-9.6
Brock Purdy,SF,2.78,2.4,5,-2.6,11.1,30.7,-4.5,18,94,0,0,74.8,61.1,73.8,-12.6
