PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Kirk Cousins,ATL,2.73,6.3,7.7,-1.4,15.5,36.8,-2.4,58,509,4,1,114.8,72.4,64.2,8.2
Joe Burrow,CIN,2.5,7.4,8.2,-0.8,20.5,54.1,-0.7,39,392,5,1,137,76.9,64.7,12.2
Trevor Lawrence,JAX,2.56,5.2,6.3,-1.2,14.7,50.8,-3.3,34,371,2,1,119.5,82.4,72.1,10.3
Joe Flacco,IND,2.8,6.8,7.9,-1.1,13.6,54.1,-0.9,44,359,3,0,121.3,75,68.9,6.1
Dak Prescott,DAL,2.74,6.1,7,-0.9,11.9,43.7,-2.2,42,352,2,2,90.6,69,66.6,2.5
Lamar Jackson,BAL,3.31,7.6,9.5,-2,11.9,37.1,1.1,42,348,4,0,119.9,61.9,65.1,-3.2
Patrick Mahomes,KC,3.01,2.8,4.5,-1.7,--,28.2,-4.5,39,331,0,1,86.6,71.8,69.9,1.9
C.J. Stroud,HOU,2.74,4.9,5.6,-0.6,2.6,59.1,-4.2,38,331,1,1,97.6,73.7,69.2,4.5
Caleb Williams,CHI,2.94,6.1,7.6,-1.5,10.3,41.9,-1.8,29,304,2,0,126.2,69,71.2,-2.2
Geno Smith,SEA,2.38,4.9,5.2,-0.2,10,36.9,-3.2,40,284,1,0,98.3,70,72.4,-2.4
Matthew Stafford,LAR,2.75,4.8,8.2,-3.4,17.8,32.5,0.6,45,260,1,1,78,64.4,68.9,-4.4
Daniel Jones,NYG,2.6,5.3,5,0.3,14.7,53.6,-3.3,34,257,2,0,109.6,67.6,64.6,3
Aaron Rodgers,NYJ,2.49,3.7,7.2,-3.5,13,26.8,-1.4,54,244,2,3,54.9,53.7,66.7,-13
Brock Purdy,SF,3.18,7.5,9.8,-2.2,22.9,35.6,0.5,35,244,1,2,62.1,54.3,59,-4.7
Jayden Daniels,WAS,2.56,10.7,12.1,-1.4,20,56.6,3.3,25,238,1,1,85.1,56,61,-5
Jordan Love,GB,2.49,6.2,8,-1.8,11.5,60.8,-2.6,26,224,2,1,95.7,57.7,67.1,-9.4
Bo Nix,DEN,2.83,3.3,5.7,-2.5,11.1,39.4,-4.6,27,206,2,0,117.2,70.4,73.8,-3.4
Kyler Murray,ARI,2.47,5.3,7.5,-2.2,20,35.2,-1.2,30,195,1,1,79.2,63.3,71.5,-8.2
Tyler Huntley,MIA,2.79,6.7,9.6,-3,19.4,28.9,-0.4,31,194,0,1,63.1,58.1,68.4,-10.3
Baker Mayfield,TB,2.5,4,5.6,-1.6,8.3,34.7,-3.4,24,180,3,0,137.5,79.2,76.5,2.6
Sam Darnold,MIN,3.37,8.3,13.5,-5.2,25.8,38.4,4.4,31,179,0,1,50.3,45.2,54.4,-9.2
Derek Carr,NO,2.76,6.8,13.4,-6.6,14.3,50.6,5.1,28,165,2,1,89.1,64.3,57.4,6.8
Jacoby Brissett,NE,2.99,4.6,9.1,-4.4,17.6,39.4,-1.2,34,160,0,0,65.8,52.9,52.9,0
Gardner Minshew,LV,2.63,3.3,7.1,-3.8,23.5,34.5,-2.3,17,137,1,2,74.5,70.6,66.8,3.8
Andy Dalton,CAR,2.72,4.4,7.5,-3.1,7.1,37.8,-0.6,28,136,0,1,61,64.3,70.6,-6.3
Justin Fields,PIT,3.22,3.8,10.4,-6.6,7.4,29.3,2.8,27,131,2,0,93.3,55.6,62.1,-6.5
Josh Allen,BUF,3.02,3.3,12.5,-9.2,20,24.5,2.5,30,131,1,0,56.4,30,52.1,-22.1
Deshaun Watson,CLE,3.24,4.1,9.5,-5.4,25,29.6,-0.2,28,125,1,0,77.2,53.6,58,-4.4
Aidan O'Connell,LV,3.31,6.3,9.3,-3,30,29.3,-1.9,20,94,0,1,42.5,50,51.6,-1.6
