PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Saquon Barkley,PHI,3.12,23.08,2.72,26,146,22,5.6,0.85,50,2
Joe Mixon,HOU,3.52,35,2.87,20,109,44,5.5,2.3,52.6,3
Chase Brown,CIN,3.88,13.64,2.66,22,86,-2,3.9,-0.08,20,0
Kyren Williams,LAR,3.42,13.33,2.84,15,86,7,5.7,0.45,53.3,0
Christian McCaffrey,SF,4.64,10.53,2.96,19,79,7,4.2,0.37,44.4,0
Breece Hall,NYJ,3.43,6.25,2.93,16,78,19,4.9,1.2,37.5,1
Josh Jacobs,GB,3.36,16.67,2.57,18,76,2,4.2,0.13,44.4,1
David Montgomery,DET,3.31,13.33,2.45,15,75,3,5,0.18,53.3,2
De'Von Achane,MIA,4.12,17.65,2.66,17,73,-10,4.3,-0.56,29.4,1
Rhamondre Stevenson,NE,3.88,15,2.64,20,73,6,3.7,0.3,50,0
D'Andre Swift,CHI,3.17,35.71,2.67,14,71,18,5.1,1.3,28.6,1
Jahmyr Gibbs,DET,3.61,18.18,3.02,11,69,13,6.3,1.15,54.5,1
Alvin Kamara,NO,4.52,50,2.82,16,67,-6,4.2,-0.38,37.5,0
Derrick Henry,BAL,3.1,23.08,2.42,13,65,12,5,0.89,23.1,1
Najee Harris,PIT,4.46,33.33,2.66,18,63,-21,3.5,-1.26,29.4,0
Brian Robinson,WAS,3.49,6.25,2.82,16,63,-17,3.9,-1.06,31.3,1
Kareem Hunt,KC,3.19,14.29,2.61,14,60,-3,4.3,-0.19,35.7,0
Jonathan Taylor,IND,5.66,12.5,2.4,24,57,-23,2.4,-0.97,25,0
J.K. Dobbins,LAC,3.19,18.18,2.97,11,56,33,5.1,2.97,36.4,2
Kenneth Walker III,SEA,5.67,14.29,3.47,14,54,-17,3.9,-1.21,42.9,1
Nick Chubb,CLE,3.9,36.36,2.85,11,50,-10,4.5,-0.9,36.4,0
Aaron Jones,MIN,5.96,13.33,2.96,15,39,-20,2.6,-1.31,20,0
Bijan Robinson,ATL,4.51,--,2.87,12,35,-5,2.9,-0.38,50,0
Roschon Johnson,CHI,3.5,50,2.59,10,33,5,3.3,0.49,70,1
Rico Dowdle,DAL,4.28,20,2.5,10,28,5,2.8,0.54,20,0
Travis Etienne,JAX,7.73,8.33,2.95,12,27,-32,2.3,-2.65,16.7,0
Cam Akers,MIN,5.28,20,2.9,10,25,-15,2.5,-1.47,10,0
