PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Derrick Henry,BAL,2.9,35.07,2.72,134,873,363,6.5,2.81,49.6,8
Jordan Mason,SF,3.58,36.72,2.85,128,667,207,5.2,1.66,50.4,3
Saquon Barkley,PHI,2.79,23.15,2.67,108,658,226,6.1,2.15,40,5
Josh Jacobs,GB,3.67,15,2.81,120,540,79,4.5,0.66,43.7,1
Chuba Hubbard,CAR,3.1,14.56,2.58,103,537,119,5.2,1.2,51.5,3
James Conner,ARI,4.12,20.18,2.98,109,504,43,4.6,0.4,42.5,3
Bijan Robinson,ATL,4.19,12.62,2.92,103,483,54,4.7,0.54,48,4
Najee Harris,PIT,4.16,17.09,2.86,117,478,17,4.1,0.15,31,2
J.K. Dobbins,LAC,3.39,18.95,2.85,95,478,96,5,1.01,32.6,3
Jahmyr Gibbs,DET,3.45,16.05,2.8,81,464,71,5.7,0.89,38.8,5
Aaron Jones,MIN,3.57,25.88,2.83,85,443,75,5.2,0.9,51.2,2
Alvin Kamara,NO,4.7,25.23,2.82,111,438,-30,3.9,-0.27,37.3,6
Kyren Williams,LAR,4.01,12.93,2.55,116,436,-46,3.8,-0.4,29.6,8
Tank Bigsby,JAX,2.78,25.37,2.67,67,415,162,6.2,2.41,44.8,4
Joe Mixon,HOU,3.53,28.57,2.85,77,401,91,5.2,1.21,45.3,4
Tony Pollard,TEN,4,15.96,3.02,94,400,4,4.3,0.04,37.4,3
Brian Robinson,WAS,3.38,15.29,2.71,85,396,76,4.7,0.9,41.7,6
David Montgomery,DET,3.8,28.57,2.7,84,382,14,4.5,0.17,44.6,6
Rhamondre Stevenson,NE,3.58,26.19,2.81,84,374,53,4.5,0.71,37.3,3
Bucky Irving,TB,3.46,11.94,2.59,67,351,26,5.2,0.41,34.4,3
Jonathan Taylor,IND,3.23,20.83,2.67,72,349,66,4.8,0.93,47.9,4
Breece Hall,NYJ,4.47,12.63,2.86,95,348,12,3.7,0.13,35.2,3
James Cook,BUF,3.79,28.05,2.57,82,341,-6,4.2,-0.08,32.5,5
Chase Brown,CIN,3.6,24.24,2.68,66,327,45,5,0.7,46.2,3
D'Andre Swift,CHI,4.79,17.58,2.87,91,325,-55,3.6,-0.62,30.3,3
Tyler Allgeier,ATL,3.59,10.71,2.95,56,319,53,5.7,0.95,48.2,1
Kenneth Walker,SEA,4.12,18.46,2.86,65,303,44,4.7,0.69,42.9,6
Javonte Williams,DEN,3.78,31.51,2.9,73,301,-21,4.1,-0.29,37.5,2
Jerome Ford,CLE,3.13,6,2.79,50,264,36,5.3,0.73,40.8,1
Devon Achane,MIA,4.5,8.45,2.84,71,260,-72,3.7,-1.08,29.9,1
Alexander Mattison,LV,3.75,14.49,2.64,69,250,-8,3.6,-0.12,31.9,3
Kareem Hunt,KC,3.76,9.52,2.76,63,249,-12,4,-0.2,37.7,3
Rico Dowdle,DAL,3.54,20.34,2.63,59,246,-18,4.2,-0.31,41.4,0
Devin Singletary,NYG,4.08,29.51,2.8,61,239,-21,3.9,-0.35,33.3,2
Zack Moss,CIN,4.63,31.88,2.84,69,231,-61,3.3,-0.93,30.8,2
Tyrone Tracy,NYG,3.81,16.98,2.87,53,231,-8,4.4,-0.16,35.3,1
Travis Etienne,JAX,4.15,19.64,2.67,56,230,23,4.1,0.43,33.3,2
Antonio Gibson,NE,3.47,23.53,3.01,51,230,49,4.5,0.98,42,0
Rachaad White,TB,4.48,21.31,2.72,61,227,-10,3.7,-0.16,27.9,0
Emanuel Wilson,GB,3.75,4.26,2.9,47,221,18,4.7,0.39,42.2,0
Ray Davis,BUF,3.78,29.41,2.74,51,213,5,4.2,0.1,37.3,2
Zach Charbonnet,SEA,4.25,17.86,3.07,56,201,1,3.6,0.02,33.3,3
Zamir White,LV,4.68,26.92,2.77,52,165,-32,3.2,-0.63,29.4,0
Ty Chandler,MIN,4.86,20.45,3.06,44,151,-42,3.4,-0.97,27.9,0
Jaleel McLaughlin,DEN,4.73,22.5,3.06,40,151,-1,3.8,-0.03,40.5,1
Cam Akers,MIN,4.93,12.5,2.97,40,147,-36,3.7,-0.93,28.2,1
D'Onta Foreman,CLE,4.53,21.95,2.72,41,129,-23,3.1,-0.57,35,0
Trey Sermon,IND,4.71,24.44,2.85,45,127,-17,2.8,-0.38,33.3,2
