PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Geno Smith,SEA,2.6,4.8,8.1,-3.3,9.1,43.8,-1.5,44,327,1,0,103.1,75,73,2
Brock Purdy,SF,3.02,8.3,8.7,-0.4,25,32.9,-0.1,36,319,1,1,101.3,77.8,60.4,17.4
Jared Goff,DET,2.69,4.9,7.2,-2.2,16.4,54.3,-1.2,55,307,0,2,61.7,61.8,64.3,-2.4
Dak Prescott,DAL,2.95,4.8,8.1,-3.4,23.1,50.8,-0.8,39,293,1,2,78.3,69.2,62.9,6.4
Gardner Minshew,LV,2.96,5.2,6.3,-1.1,15.8,38.9,-2.1,38,276,1,1,94.7,78.9,66.5,12.5
Sam Darnold,MIN,2.82,7.1,8,-0.9,7.7,53.9,-1.9,26,268,2,1,109.1,65.4,65.5,-0.1
Kyler Murray,ARI,3.1,10.2,10.5,-0.3,14.3,39.7,2,21,266,3,0,158.3,81,61.6,19.3
C.J. Stroud,HOU,2.88,5.3,7.2,-1.9,5.6,32.2,-3.1,36,260,1,0,94.7,63.9,68.2,-4.3
Joe Burrow,CIN,2.88,5.7,7.6,-1.9,13.9,51.3,-0.8,36,258,2,0,103.7,63.9,61.3,2.6
Lamar Jackson,BAL,2.92,7.1,9.2,-2.1,2.9,36.8,-0.2,34,247,1,1,81.4,61.8,65.9,-4.1
Bo Nix,DEN,2.79,5.6,9.3,-3.6,17.1,54.5,-0.3,35,246,0,2,55.2,57.1,64.3,-7.1
Derek Carr,NO,2.81,9.9,8.8,1.1,18.8,54.5,0.4,16,243,2,1,125,68.8,63.7,5.1
Kirk Cousins,ATL,2.93,6.8,8.7,-1.9,17.2,38.1,0.6,29,241,2,0,117.2,69,66.9,2
Jayden Daniels,WAS,2.33,3.2,4.3,-1.1,13.8,34.4,-5.2,29,226,0,0,99.1,79.3,72.5,6.8
Trevor Lawrence,JAX,2.81,9.4,12.2,-2.7,13.3,50.9,3.1,30,220,0,0,71.5,46.7,57.9,-11.2
Matthew Stafford,LAR,3.04,5.8,6.5,-0.7,7.4,55.9,-1.7,27,216,0,0,94.1,70.4,73,-2.6
Anthony Richardson,IND,3.24,7.6,12,-4.4,11.8,40.3,2.7,34,204,1,3,41.8,50,62.2,-12.2
Will Levis,TEN,2.93,5.1,10.2,-5.2,25,51.6,0.4,28,192,1,1,84.2,67.9,56.1,11.8
Deshaun Watson,CLE,3.27,5,6.3,-1.4,14.7,43,-4.8,34,186,0,0,78.8,64.7,64.6,0.1
Baker Mayfield,TB,2.68,7.5,7.9,-0.4,15.8,35.4,-1.4,19,185,1,1,90.9,63.2,72.6,-9.4
Jalen Hurts,PHI,3.42,5.7,6.6,-1,16.7,32,-0.7,30,183,1,1,88.6,76.7,66,10.7
Daniel Jones,NYG,2.9,5.2,9.9,-4.7,14.3,33.9,1.3,28,178,2,0,100,57.1,60.1,-3
Aaron Rodgers,NYJ,2.45,3.7,4.8,-1,23.3,37.8,-4.2,30,176,2,0,98.8,60,67.9,-7.9
Caleb Williams,CHI,2.59,1.8,6.9,-5.1,10.8,36.1,-2.6,37,174,0,2,51,62.2,65.8,-3.7
Patrick Mahomes,KC,2.52,1.3,3.8,-2.5,12,48.2,-4.3,25,151,2,2,80.6,72,69.6,2.4
Jacoby Brissett,NE,3.11,4.7,6.6,-1.9,11.1,26.4,-1.4,27,149,1,0,83.7,55.6,57.8,-2.2
Tua Tagovailoa,MIA,2.22,1.5,6.4,-5,4,23.7,-2.1,25,145,1,3,56.7,68,73.4,-5.4
Josh Allen,BUF,2.95,4,7.6,-3.6,10.5,33.6,-0.9,19,139,1,0,107.1,68.4,66.2,2.2
Justin Herbert,LAC,3.01,5.5,7.4,-2,20,40.7,-0.6,20,130,2,1,100,70,65.2,4.8
Justin Fields,PIT,2.71,5.4,7.3,-1.9,15,36.6,-3.3,20,117,1,0,97.3,65,58.8,6.2
Bryce Young,CAR,2.25,1.2,3,-1.8,30.8,23.4,-6.8,26,84,0,1,57.2,69.2,69.1,0.1
