PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Jared Goff,DET,2.89,5.6,5.8,-0.2,9.4,53.6,-2.7,32,336,3,0,137,71.9,73.8,-1.9
Caleb Williams,CHI,3.17,6.1,9.3,-3.2,20,42.1,0.2,40,334,2,0,107.7,65,61.3,3.7
Geno Smith,SEA,2.78,5.1,7.7,-2.7,16.3,43,-1.8,43,314,3,2,96.5,72.1,66.4,5.7
Brock Purdy,SF,2.8,4.4,5,-0.6,10,31.8,-3.8,40,313,2,1,95.1,65,68.8,-3.8
Baker Mayfield,TB,2.99,5.3,9.5,-4.2,4.7,36.2,0.2,43,303,2,1,97.3,72.1,70.2,1.9
Cooper Rush,DAL,2.62,5.3,6.4,-1.1,5.7,39.2,-3.2,35,292,1,0,108.3,74.3,70.4,3.9
Justin Herbert,LAC,2.8,4.8,6.8,-2,3.2,31.6,-2,31,284,2,1,110.1,74.2,74.1,0.1
Bo Nix,DEN,2.78,1.1,3.3,-2.2,12.5,25.4,-5.6,40,263,2,0,106.6,72.5,76.1,-3.6
Drake Maye,NE,2.64,5.7,7.8,-2,13.9,40.9,-0.2,36,261,2,1,90.2,61.1,52.9,8.2
Patrick Mahomes,KC,2.5,2.5,5.5,-2.9,9.8,31.5,-3.3,41,260,1,0,93.5,68.3,73.7,-5.4
Jayden Daniels,WAS,2.61,6.2,7.6,-1.5,7.7,52,-0.9,39,258,5,2,99.1,61.5,67.2,-5.7
Aidan O'Connell,LV,3.01,3.8,6.1,-2.4,18.4,43.8,-2.4,38,257,0,0,82.9,63.2,65.7,-2.6
Aaron Rodgers,NYJ,2.92,3.5,5.3,-1.8,9.5,28,-2.5,42,256,1,0,91,66.7,75.6,-8.9
Joe Burrow,CIN,2.72,7.5,8.3,-0.8,10,49.9,0.5,30,252,3,0,134.3,76.7,64.1,12.5
Mason Rudolph,TEN,2.9,5.9,6.9,-1,2.9,48.1,-1.1,34,252,2,3,72.2,67.6,69.2,-1.5
Mac Jones,JAX,2.74,5.5,6.2,-0.7,7.7,43.3,-4.1,39,247,1,0,90.4,64.1,69,-4.9
Sam Darnold,MIN,3.04,7.2,7.9,-0.8,11.4,41.7,-0.5,35,246,3,0,112.3,62.9,67.2,-4.3
C.J. Stroud,HOU,3.18,6.4,10.8,-4.4,15.4,52,0.3,39,244,2,2,73,59,56.3,2.7
Russell Wilson,PIT,3.25,6.7,7.3,-0.6,3,52.6,-1.5,33,217,2,1,92.6,66.7,55.9,10.8
Tua Tagovailoa,MIA,2.45,2.8,6.7,-3.8,20.6,30.3,-1.9,34,215,1,0,92.2,64.7,62.5,2.2
Drew Lock,NYG,2.94,3,7.1,-4.1,23.1,36.7,-2.8,39,210,1,2,58.7,56.4,55.1,1.3
Lamar Jackson,BAL,2.94,9.6,9.8,-0.2,21.7,40.8,0.4,23,207,3,1,115.4,65.2,64.4,0.8
Michael Penix Jr.,ATL,2.47,5.4,6,-0.5,14.8,34.7,-2.5,27,202,0,1,73.4,66.7,65.5,1.2
Kyler Murray,ARI,3.03,3.2,6.6,-3.4,6.3,32,-1.6,32,202,1,1,77.9,62.5,66.6,-4.1
Jordan Love,GB,2.97,3.6,7.3,-3.8,14.3,46,0.6,28,182,1,0,88.7,57.1,63.6,-6.4
Bryce Young,CAR,2.55,5.8,7,-1.2,19.2,36.1,-1.3,26,158,2,0,107.5,65.4,58.9,6.5
Dorian Thompson-Robinson,CLE,3.08,1.8,4.6,-2.8,2.9,31.3,-6.3,34,157,0,2,45.8,58.8,68.8,-10
Josh Allen,BUF,3.52,4,12,-8,31,29.9,3.2,29,154,1,1,67.3,55.2,56.7,-1.6
Spencer Rattler,NO,3.02,5.6,8,-2.4,10,36.3,-2.2,30,153,0,1,51.1,50,65.3,-15.3
Kenny Pickett,PHI,2.95,8.1,8.7,-0.7,8.3,51.7,1,24,143,1,1,72,58.3,61,-2.7
Matthew Stafford,LAR,2.65,1.8,3.3,-1.6,--,27.1,-7.3,19,110,1,1,83.2,73.7,81.5,-7.8
