PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Davante Adams,NYJ,WR,4.3,3.8,11.6,43.2,9,12,75,198,2,13.7,11,2.7
Amon-Ra St. Brown,DET,WR,5,3,9,37.42,14,18,77.78,193,1,5.4,2.8,2.6
Mike Evans,TB,WR,6.3,2.7,11.6,58.01,9,11,81.82,159,2,7.1,3.2,3.9
CeeDee Lamb,DAL,WR,7.6,3.6,6.3,38.87,9,13,69.23,116,1,8.1,6.1,2
Sam LaPorta,DET,TE,6.2,4,11.2,25.97,7,10,70,111,0,6.6,3.6,3
Jalen Coker,CAR,WR,6.9,3.1,11.7,32.76,4,6,66.67,110,1,15.3,6,9.3
A.J. Brown,PHI,WR,4.6,2.6,7.9,42.32,8,11,72.73,110,1,8,5.7,2.4
DeVonta Smith,PHI,WR,5.6,4.3,5.6,32.64,11,12,91.67,109,1,4.6,5.9,-1.3
Jerry Jeudy,CLE,WR,5.6,3.7,7.8,41.55,11,14,78.57,108,0,4.3,5.1,-0.8
Brian Thomas Jr.,JAX,WR,5.9,4.4,6.4,34.03,10,14,71.43,105,2,8.8,10.3,-1.4
Puka Nacua,LAR,WR,7.2,3,9.2,41.78,7,8,87.5,97,0,6,3.7,2.3
Ja'Marr Chase,CIN,WR,6,3.5,5.8,26.2,9,11,81.82,94,0,6.8,6.5,0.4
Tee Higgins,CIN,WR,5.9,2,13.3,43.39,5,8,62.5,88,1,3.4,1.6,1.8
Trey McBride,ARI,TE,4.7,3.4,5.2,34.4,9,10,90,87,0,4.2,3.3,0.9
Jaxon Smith-Njigba,SEA,WR,5.2,3.5,4.8,29.55,10,12,83.33,83,0,4.1,4.1,0.1
Keenan Allen,CHI,WR,8.4,3.9,11.6,62.08,6,13,46.15,82,1,4,4.4,-0.4
Malik Nabers,NYG,WR,5,3.5,6.2,44.34,10,14,71.43,82,1,4.3,4.4,-0.1
Rashod Bateman,BAL,WR,6.6,4.9,22.2,45.5,3,5,60,80,2,6.8,6.6,0.2
Jalen McMillan,TB,WR,7.7,3.6,11.9,32.54,5,6,83.33,75,1,3.1,2.3,0.8
Justin Jefferson,MIN,WR,6.9,3.6,12.1,49.33,7,13,53.85,73,1,5.1,2.9,2.3
Brenton Strange,JAX,TE,6.8,2.5,4.2,19.09,11,12,91.67,73,0,2.3,2.5,-0.2
Terry McLaurin,WAS,WR,6.2,3.3,19.3,68.56,7,10,70,73,2,2.2,1.1,1.1
