PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Josh Jacobs,GB,3.57,25,2.9,32,151,24,4.7,0.74,43.8,0
Brian Robinson,WAS,2.61,11.76,2.83,17,133,61,7.8,4.07,40,0
J.K. Dobbins,LAC,2.64,23.53,2.61,17,131,41,7.7,2.43,47.1,1
James Conner,ARI,3.32,4.76,2.73,21,122,27,5.8,1.28,42.9,1
Alvin Kamara,NO,3.56,45,2.81,20,115,20,5.8,1.01,50,3
Jonathan Taylor,IND,2.5,16.67,3.08,12,103,55,8.6,4.59,66.7,0
Jordan Mason,SF,3.4,25,2.79,20,100,24,5,1.19,55,1
Bijan Robinson,ATL,3.2,7.14,2.6,14,97,23,6.9,1.64,42.9,0
De'Von Achane,MIA,3.8,9.09,2.92,22,96,-26,4.4,-1.2,22.7,0
Antonio Gibson,NE,2.27,36.36,3,11,96,54,8.7,4.94,54.5,0
Saquon Barkley,PHI,3.64,13.64,2.46,22,95,-7,4.3,-0.33,40,0
Devin Singletary,NYG,3.08,0,2.78,16,95,-2,5.9,-0.13,43.8,1
Isiah Pacheco,KC,2.9,0,2.61,19,90,13,4.7,0.74,50,0
Jahmyr Gibbs,DET,3.52,30.77,2.94,13,84,27,6.5,2.24,41.7,0
Derrick Henry,BAL,3.79,22.22,2.55,18,84,16,4.7,0.98,50,1
Ty Chandler,MIN,2.72,40,3,10,82,26,8.2,2.63,70,0
Rhamondre Stevenson,NE,3.4,33.33,2.57,21,81,6,3.9,0.28,33.3,1
James Cook,BUF,2.37,36.36,2.64,11,78,39,7.1,3.59,36.4,2
Najee Harris,PIT,3.77,29.41,2.91,17,69,-14,4.1,-0.89,37.5,0
Chuba Hubbard,CAR,2.82,0,2.32,10,64,7,6.4,0.68,60,0
Breece Hall,NYJ,4.09,0,2.77,14,62,17,4.4,1.2,57.1,0
Tony Pollard,TEN,4.85,29.41,2.95,17,62,-13,3.6,-0.81,31.3,0
Gus Edwards,LAC,4.2,16.67,2.38,18,59,-18,3.3,-0.98,27.8,0
Travis Etienne,JAX,3.89,15.38,2.88,13,52,6,4,0.47,30.8,1
D'Onta Foreman,CLE,5.24,28.57,2.7,14,42,-9,3,-0.68,30.8,0
Zach Charbonnet,SEA,5.11,14.29,3.27,14,38,-12,2.7,-0.94,30.8,1
David Montgomery,DET,4.85,27.27,2.67,11,35,-7,3.2,-0.6,54.5,1
Zack Moss,CIN,5.34,41.67,3.08,12,34,-4,2.8,-0.35,41.7,0
Kyren Williams,LAR,6.3,8.33,2.71,12,25,-10,2.1,-0.87,25,1
D'Andre Swift,CHI,10.65,7.14,3.04,14,18,-44,1.3,-3.41,7.7,0
Rachaad White,TB,7.17,30,2.77,10,18,-13,1.8,-1.25,20,0
Javonte Williams,DEN,8.12,63.64,2.58,11,17,-36,1.5,-3.27,18.2,0
Trey Benson,ARI,16.78,9.09,3.46,11,10,-32,0.9,-2.93,0,0
