PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Ja'Marr Chase,CIN,WR,8.7,4,12.2,31.61,6,7,85.71,118,2,6.3,4.1,2.2
Rashee Rice,KC,WR,8.6,4.4,3.6,30.39,12,14,85.71,110,1,6.2,4.8,1.4
DK Metcalf,SEA,WR,7,2.8,14.9,49.28,4,6,66.67,104,1,10.7,7.4,3.3
Terry McLaurin,WAS,WR,6.9,3.1,24.3,68.87,4,6,66.67,100,1,3.7,3.3,0.3
Cole Kmet,CHI,TE,7.9,4.6,7.8,17.55,10,11,90.91,97,1,2.8,2.3,0.5
Tre Tucker,LV,WR,8.1,3.4,12.3,35.91,7,9,77.78,96,1,5.8,6.7,-0.8
Calvin Austin III,PIT,WR,6.8,2.7,11.6,35.15,4,5,80,95,1,15.3,4.8,10.5
Stefon Diggs,HOU,WR,7.4,3,7.5,30.41,10,12,83.33,94,0,3.4,3.2,0.2
Tutu Atwell,LAR,WR,8.4,1.8,16.1,32.28,4,5,80,93,0,5.6,6.7,-1
Chris Olave,NO,WR,7.9,3.4,13.2,36.14,6,6,100,86,1,2.3,2.1,0.2
Amari Cooper,CLE,WR,6.3,2.6,10.1,48.14,7,12,58.33,86,2,2.2,1.6,0.5
Justin Jefferson,MIN,WR,7.1,4.5,9.8,41.63,6,8,75,81,1,2.2,3.6,-1.4
Christian Kirk,JAX,WR,6.6,3.2,7.3,22.41,8,10,80,79,0,3.3,4.2,-0.8
DJ Moore,CHI,WR,6.7,3.1,8.4,17.23,8,10,80,78,0,2.1,2.2,-0.1
Khalil Shakir,BUF,WR,8.8,4.8,-1,-3.29,6,6,100,72,1,13,11.4,1.6
Darnell Mooney,ATL,WR,8.1,5.3,2.6,11.31,8,8,100,66,0,5.6,7.3,-1.6
Jakobi Meyers,LV,WR,9.8,2.7,9.7,28.3,7,9,77.78,62,1,1.6,2,-0.3
Tank Dell,HOU,WR,8.1,4,7.7,15.61,5,6,83.33,62,0,4.5,3.9,0.6
Wan'Dale Robinson,NYG,WR,6.6,3.3,2.3,8.32,7,8,87.5,61,0,6.6,4.2,2.4
Jayden Reed,GB,WR,8.9,4.4,-1.3,-6.52,4,6,66.67,50,0,12.3,12.5,-0.2
Brian Thomas Jr.,JAX,WR,8,4.1,7.6,20.95,5,9,55.56,48,0,6.1,3.6,2.5
Tyler Lockett,SEA,WR,6.8,3.4,6,26.6,5,8,62.5,46,0,2.9,5.5,-2.6
Josh Whyle,TEN,TE,7.2,4.8,6.2,13.77,4,5,80,43,0,3.4,4.9,-1.5
Brandon Aiyuk,SF,WR,6.6,2.3,9.7,29.02,5,10,50,43,0,1.5,3.8,-2.3
Davante Adams,LV,WR,8.1,2.3,7.9,23.12,4,9,44.44,40,0,1.8,1.4,0.5
Tee Higgins,CIN,WR,6.9,2.6,11.9,26.32,3,6,50,39,0,3.6,2.3,1.3
Zach Ertz,WAS,TE,8.3,4.7,6.4,15.17,5,5,100,38,0,1,2.8,-1.8
Lil'Jordan Humphrey,DEN,WR,7.9,3.4,5.1,17.48,6,8,75,37,0,3.1,2.5,0.6
Michael Pittman,IND,WR,8.7,3.4,8.2,24.08,4,5,80,36,0,4.1,2.4,1.7
Greg Dortch,ARI,WR,7.8,2.5,12.8,19.51,3,6,50,35,0,7.1,3.9,3.2
Pat Freiermuth,PIT,TE,7.9,3.5,4.2,12.63,4,5,80,33,0,5.6,3.1,2.6
Jerry Jeudy,CLE,WR,6.5,2.8,9.3,26.04,4,7,57.14,27,0,1.2,2,-0.7
Josh Downs,IND,WR,6.8,3.8,1.8,5.18,3,5,60,22,0,7.1,7.9,-0.8
Colby Parkinson,LAR,TE,7,2.7,5.7,11.47,3,5,60,21,0,2.8,4.8,-2.1
Gabe Davis,JAX,WR,6.5,1.8,11.4,20.87,2,6,33.33,18,0,-1.2,0.9,-2.1
Brenton Strange,JAX,TE,6.7,3.8,8.9,13.65,2,5,40,12,1,2.5,2.7,-0.1
Troy Franklin,DEN,WR,9.4,3.6,9.1,19.59,2,5,40,11,0,8.6,6.3,2.3
Rashid Shaheed,NO,WR,6.7,1.1,21.7,49.7,0,5,0,0,0,0,0,0
Jauan Jennings,SF,WR,5.2,2.4,13.2,47.54,11,12,91.67,175,3,2.9,3.1,-0.2
Dallas Goedert,PHI,TE,5.8,3.2,6.3,26.1,10,11,90.91,170,0,11.9,6.4,5.5
Diontae Johnson,CAR,WR,5.2,2.7,10.2,63.24,8,14,57.14,122,1,6.6,6.7,-0.1
Rome Odunze,CHI,WR,4.7,2.3,21.3,47.98,6,11,54.55,112,1,4.2,2.2,2
Jake Ferguson,DAL,TE,4.8,3,7.2,16.7,6,11,54.55,95,0,6.5,7.1,-0.7
Tyler Conklin,NYJ,TE,5,4.1,10.7,31.97,5,6,83.33,93,0,7.8,5.1,2.7
Nico Collins,HOU,WR,6.1,3.8,13.5,45.68,4,10,40,86,0,12.5,9.6,2.9
DeVonta Smith,PHI,WR,4.9,2.6,13.4,50.19,7,10,70,79,0,2.7,3.5,-0.7
Malik Nabers,NYG,WR,4.6,2.2,10.6,56.92,8,12,66.67,78,2,3,1.6,1.4
Amon-Ra St. Brown,DET,WR,4.7,2.3,7.6,35.92,7,8,87.5,75,1,2.8,3.4,-0.6
DeAndre Hopkins,TEN,WR,5.8,3.1,9.8,30.6,6,7,85.71,73,1,1.5,2,-0.4
Demario Douglas,NE,WR,6,3.9,5.6,31.11,7,9,77.78,69,0,3.8,4.5,-0.7
Courtland Sutton,DEN,WR,6.1,1.8,10.1,47.8,7,11,63.64,68,0,-0.1,0.6,-0.6
Drake London,ATL,WR,4.1,3.8,9.2,44.78,6,9,66.67,67,1,5,3.4,1.6
CeeDee Lamb,DAL,WR,3.3,2.1,9.5,14,4,7,57.14,67,0,5.6,5.1,0.5
Michael Wilson,ARI,WR,5.6,2.3,7.4,16.98,8,9,88.89,64,0,1.4,1.2,0.2
Marvin Harrison Jr.,ARI,WR,4.5,1.4,16.7,46.44,5,11,45.45,64,1,0.4,1.2,-0.7
Noah Fant,SEA,TE,5.3,3.7,5.4,17.91,6,6,100,60,0,4.6,4.1,0.5
Kyle Pitts,ATL,TE,5.2,1.4,15.9,42.94,2,5,40,59,0,12.9,9.5,3.4
George Pickens,PIT,WR,5.3,2.6,10.3,43.97,5,7,71.43,57,0,1.5,3.5,-2
Chris Godwin,TB,WR,5.7,2.3,7.2,56.3,6,9,66.67,53,1,4.8,4.2,0.6
Andrei Iosivas,CIN,WR,3.3,3.2,8.5,21.96,5,7,71.43,52,1,1.9,2.3,-0.4
Cade Otton,TB,TE,5,2.8,3.9,26.85,7,8,87.5,47,0,3.3,2.6,0.7
Mike Gesicki,CIN,TE,4.4,4.1,8.8,16.24,4,5,80,47,0,4.9,4.8,0.1
Ladd McConkey,LAC,WR,4.5,2.2,10.5,46.51,3,6,50,44,0,3.4,3.6,-0.2
Jalen Tolbert,DAL,WR,4.5,2.1,20,21.05,3,5,60,42,1,0.7,1.1,-0.5
Dalton Kincaid,BUF,TE,6.1,4,12.1,34.81,3,5,60,41,1,6.1,4.4,1.8
Tyreek Hill,MIA,WR,5.8,3.4,6.7,16.31,3,5,60,40,0,4.5,6,-1.5
Adam Thielen,CAR,WR,5.5,3.3,8.5,18.93,3,5,60,40,1,2.8,1.7,1.1
Brock Wright,DET,TE,4.3,4.7,4.7,13.93,4,5,80,34,0,4.3,4.3,0.1
Garrett Wilson,NYJ,WR,3.9,2.2,8.4,37.74,5,9,55.56,33,1,3.2,2.1,1.1
Travis Kelce,KC,TE,5.5,3.2,4.6,14.04,4,5,80,30,0,3.3,3.9,-0.6
Jordan Akins,CLE,TE,3.7,3.4,4.5,12.48,4,7,57.14,29,0,4.8,5.8,-1
Jaylen Waddle,MIA,WR,5.6,3.6,2,4.84,4,5,80,26,0,5.4,4.5,0.9
Trey McBride,ARI,TE,6.3,2.1,11.3,17.16,3,6,50,25,0,2.4,2.8,-0.4
DeAndre Carter,CHI,WR,6,3.3,10.6,13.03,3,6,50,22,0,6.7,5.6,1.1
Brandin Cooks,DAL,WR,2.6,0.9,18.3,23.13,2,6,33.33,16,0,-0.2,1,-1.2
Dalton Schultz,HOU,TE,4,2.4,8.7,14.65,2,5,40,11,0,2.6,3.2,-0.5
