PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/Att,ROE%,TD
Tyrone Tracy Jr.,NYG,2.84,16.67,2.73,18,129,47,7.2,2.6,61.1,0
Kyren Williams,LAR,3.47,18.18,2.44,22,102,10,4.6,0.44,40.9,1
Kareem Hunt,KC,4.17,7.41,2.64,27,102,-17,3.8,-0.66,38.5,1
Tank Bigsby,JAX,2.52,30.77,2.52,13,101,61,7.8,4.72,30.8,2
Chuba Hubbard,CAR,2.37,7.69,2.65,13,97,44,7.5,3.69,75,1
Derrick Henry,BAL,2.97,33.33,2.77,15,92,45,6.1,2.98,40,1
Jordan Mason,SF,3.05,0,2.81,14,89,39,6.4,2.81,42.9,0
Rhamondre Stevenson,NE,2.71,25,2.82,12,89,36,7.4,3.29,54.5,1
Rico Dowdle,DAL,3.39,20,2.65,20,87,0,4.4,0.02,50,0
James Conner,ARI,3.41,31.58,2.78,19,86,10,4.5,0.53,52.6,0
Jaylen Wright,MIA,3.48,23.08,2.63,13,86,21,6.6,1.91,45.5,0
James Cook,BUF,3.8,35,2.48,20,82,-15,4.1,-0.74,25,1
Raheem Mostert,MIA,4.17,21.05,3.05,19,80,-10,4.2,-0.55,47.4,0
D'Andre Swift,CHI,4.49,19.05,2.74,21,73,-12,3.5,-0.58,28.6,1
Josh Jacobs,GB,4.3,15.79,3,19,73,6,3.8,0.33,36.8,1
Rachaad White,TB,2.7,20,2.75,10,72,36,7.2,3.63,30,0
Javonte Williams,DEN,3.55,38.46,2.85,13,61,14,4.7,1.13,50,0
Bijan Robinson,ATL,4.58,16.67,3.52,12,61,20,5.1,1.84,36.4,0
Chase Brown,CIN,3.89,33.33,2.69,12,46,-3,3.8,-0.25,33.3,0
Najee Harris,PIT,5.5,42.86,3.24,14,42,-11,3,-0.84,30.8,0
Alexander Mattison,LV,4.77,13.33,2.81,15,38,-14,2.5,-0.95,26.7,0
Trey Sermon,IND,3.02,50,2.71,10,38,3,3.8,0.3,40,1
Dare Ogunbowale,HOU,6.36,13.33,2.82,15,30,-15,2,-1.01,20,0
Ty Chandler,MIN,6.61,14.29,3.17,14,30,-26,2.1,-1.97,7.7,0
Alvin Kamara,NO,8.69,9.09,3.35,11,26,-8,2.4,-0.75,27.3,0
Roschon Johnson,CHI,4.08,40,2.41,10,25,-9,2.5,-0.89,20,2
