PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Ja'Marr Chase,CIN,WR,5.3,2.9,8.7,56.62,14,18,77.78,177,2,5.4,3.6,1.8
Puka Nacua,LAR,WR,5.4,3.2,6.9,35.26,12,14,85.71,162,1,7.1,6,1.1
George Kittle,SF,TE,5.1,5.1,7.6,17.09,6,6,100,151,0,17.6,8.7,8.8
Darnell Mooney,ATL,WR,7.9,3.8,16.2,35.79,6,7,85.71,142,0,6.8,6.3,0.5
Jordan Addison,MIN,WR,5.7,3.2,12.8,48.52,8,12,66.67,133,3,4.1,3.6,0.5
Justin Jefferson,MIN,WR,6.4,3.6,15.6,34.51,7,7,100,132,2,3.6,3.7,-0.2
Tyreek Hill,MIA,WR,5.6,4.1,9.9,55.94,10,14,71.43,115,1,3,2.8,0.3
Garrett Wilson,NYJ,WR,6.1,4.2,9.3,37.01,7,10,70,114,0,8,6.6,1.4
Christian Watson,GB,WR,3.2,2.4,13.3,51.99,4,7,57.14,114,0,12.1,10.5,1.7
Davante Adams,NYJ,WR,5.9,3.9,6.8,29.79,9,11,81.82,109,1,6.1,6.1,0
Khalil Shakir,BUF,WR,6.7,3.9,12.4,23.54,5,8,62.5,106,1,11.1,7.6,3.6
Adam Thielen,CAR,WR,5.9,2.4,11.8,37.13,9,11,81.82,102,0,1.2,2,-0.7
Jaylen Waddle,MIA,WR,5.2,2.9,8.2,39.99,9,12,75,99,0,5.9,3.7,2.2
Ray-Ray McCloud,ATL,WR,8.4,3.5,2.3,8.11,8,11,72.73,98,0,8.6,4.9,3.8
Amari Cooper,BUF,WR,6.5,2.8,15.8,52.48,6,14,42.86,95,0,2.9,3.2,-0.3
CeeDee Lamb,DAL,WR,4,2.1,7.4,23.05,6,7,85.71,93,1,8.9,1.7,7.1
Cooper Kupp,LAR,WR,7.6,3.1,13.2,38.64,5,8,62.5,92,1,4.8,5.1,-0.3
Jauan Jennings,SF,WR,6.1,2.5,10.6,31.72,7,8,87.5,90,2,3.8,4.4,-0.6
Brian Thomas Jr.,JAX,WR,5.7,3,9.3,73.11,8,12,66.67,86,0,3.7,3.5,0.2
Jaxon Smith-Njigba,SEA,WR,7,5.4,11.9,35.89,5,5,100,82,1,5.8,4.5,1.3
Jameson Williams,DET,WR,6.6,3.8,8.2,28.1,5,8,62.5,80,0,7.6,6.7,0.9
Malik Nabers,NYG,WR,4,1.4,12.5,30.25,5,10,50,79,0,4.9,1.2,3.8
Josh Palmer,LAC,WR,8.6,3.4,14.8,45.36,6,9,66.67,78,0,1.7,2.8,-1.1
Drake London,ATL,WR,7.1,3.2,9,28.4,5,10,50,70,0,4.4,3.6,0.8
Trey McBride,ARI,TE,4.5,2.8,4.5,31.44,7,14,50,70,0,5.8,4.6,1.2
Mike Evans,TB,WR,9.9,1.7,13.4,29.9,4,5,80,69,0,4.4,1.7,2.7
Michael Mayer,LV,TE,6.8,4.7,7.1,24.75,7,9,77.78,68,0,3.1,2.5,0.6
Jakobi Meyers,LV,WR,7.2,2.9,8.1,31.55,7,10,70,67,0,4.8,3.2,1.6
Jerry Jeudy,CLE,WR,5.5,3.1,10,19.17,5,6,83.33,64,1,1.6,2.1,-0.5
Sterling Shepard,TB,WR,8,3.4,9,24.28,4,6,66.67,63,0,4.5,7.4,-2.9
Jalen McMillan,TB,WR,7.6,3.3,8.9,27.89,4,7,57.14,59,2,8.6,6,2.6
Calvin Ridley,TEN,WR,5.3,2.5,5.6,38.57,7,12,58.33,59,0,3.3,3.9,-0.5
Mack Hollins,BUF,WR,5.7,3.2,17.7,25.31,4,6,66.67,57,1,4.3,4.1,0.2
Sam LaPorta,DET,TE,5.3,3,9.4,28.45,5,7,71.43,54,0,3.8,3.3,0.5
Marquez Valdes-Scantling,NO,WR,9.2,3.6,18.4,41.02,4,7,57.14,51,0,2.6,2.7,-0.1
Juwan Johnson,NO,TE,7.5,4.2,8.6,13.64,4,5,80,50,1,4.5,8.4,-3.8
Brock Bowers,LV,TE,6.9,3.1,6.8,13.22,3,5,60,49,0,7.6,6,1.6
DJ Moore,CHI,WR,6.7,4.1,4.1,22.88,6,8,75,49,0,7.1,6.2,0.9
Marvin Harrison Jr.,ARI,WR,6.1,1.8,12.4,49.31,4,8,50,49,0,1.3,1.7,-0.4
Dontayvion Wicks,GB,WR,5,2.9,9.7,27.1,4,5,80,49,0,7.2,5,2.2
DK Metcalf,SEA,WR,3,2.7,9.8,35.63,4,6,66.67,49,0,6.6,5.4,1.1
Quentin Johnston,LAC,WR,4.7,3.4,10.9,25.82,5,7,71.43,48,1,4.5,3.9,0.5
Daniel Bellinger,NYG,TE,10.1,3.2,5.6,9.39,5,7,71.43,45,0,4,2.4,1.6
T.J. Hockenson,MIN,TE,7.7,3.6,9.4,14.8,4,5,80,45,0,5.8,5.7,0
Travis Kelce,KC,TE,7.5,3.8,7.7,19.85,5,6,83.33,45,0,2.7,2.9,-0.2
Amon-Ra St. Brown,DET,WR,8.2,2.2,7.3,18.74,5,6,83.33,43,0,2.3,2,0.3
Tim Patrick,DET,WR,5,3.4,7,21.04,6,7,85.71,43,2,1.3,1.2,0.1
David Njoku,CLE,TE,8.2,2.2,8.5,35.02,7,13,53.85,42,1,1.4,1.9,-0.5
Rome Odunze,CHI,WR,7.4,2.2,14.5,50.41,4,5,80,42,2,2.2,2,0.2
Tucker Kraft,GB,TE,7.6,3.5,6.1,17.18,3,5,60,41,1,4.6,4.3,0.3
Xavier Worthy,KC,WR,7.4,4.8,4.2,10.83,5,6,83.33,41,0,4.5,4.9,-0.5
Andrei Iosivas,CIN,WR,6.7,3.6,6.3,11.33,4,5,80,41,0,2.6,1.5,1.1
Xavier Legette,CAR,WR,5.3,3,15,34.47,2,8,25,39,0,4.5,3.9,0.6
Wan'Dale Robinson,NYG,WR,4.8,2.4,9.4,25.09,4,11,36.36,38,0,4.3,3.9,0.4
DeVonta Smith,PHI,WR,7.4,3.7,6.9,38.55,4,6,66.67,37,1,4.4,2.6,1.7
Tyler Conklin,NYJ,TE,7.7,3.3,5.9,11.71,3,5,60,33,0,7.1,6.3,0.8
Evan Engram,JAX,TE,4.5,4.7,2.9,11.39,4,6,66.67,33,0,4.9,4.2,0.7
Jake Ferguson,DAL,TE,8.4,2.5,4.9,13.12,3,6,50,32,0,5.3,3.2,2.1
DeAndre Hopkins,KC,WR,6,3.1,15.1,58.72,4,9,44.44,32,1,3.6,2.2,1.5
Keenan Allen,CHI,WR,6.7,4,7.2,25.13,3,5,60,30,0,3.9,8.8,-4.9
Darius Slayton,NYG,WR,4.8,1.3,16,23.24,2,6,33.33,27,0,-0.1,0.3,-0.4
Noah Gray,KC,TE,7.5,4,2.2,4.69,4,5,80,26,0,4.5,4,0.5
David Moore,CAR,WR,6.8,2.6,11.3,16.28,2,5,40,25,0,3.7,5,-1.3
Tee Higgins,CIN,WR,8.4,1.3,9.3,16.75,2,5,40,23,0,0.7,1.2,-0.5
Kyle Pitts,ATL,TE,6.7,2.9,13.8,26.09,1,6,16.67,14,0,11.2,8.2,3
Tre Tucker,LV,WR,5.6,2.5,15.6,30.27,2,5,40,7,0,-0.3,0.6,-0.9
Kevin Austin Jr.,NO,WR,9.9,4.9,16.4,26.06,1,5,20,5,0,1.7,2,-0.2
