PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Geno Smith,SEA,2.65,4.6,6.3,-1.7,17.9,35.5,-2.4,56,395,1,1,86.5,67.9,65.8,2.1
Jordan Love,GB,3.08,7.2,10.6,-3.4,16.7,47.6,1.9,54,389,4,3,83,59.3,63.8,-4.5
Baker Mayfield,TB,2.22,5,6.6,-1.6,14.9,40.9,-2.4,47,347,2,0,100.2,63.8,71.5,-7.7
C.J. Stroud,HOU,2.97,6.9,7.9,-1,17.5,33,-2.3,40,345,2,0,110.9,67.5,67.2,0.3
Justin Fields,PIT,3.19,6.9,7.3,-0.4,11.8,41.1,-2.5,34,312,1,0,104,64.7,63.7,1
Jared Goff,DET,3.08,4.2,4.2,--,5.6,31.6,-4.5,18,292,2,0,155.8,100,78.1,21.9
Brock Purdy,SF,3.47,13.4,14.5,-1.1,29.6,52.4,5.4,27,288,1,1,89.7,55.6,50,5.6
Daniel Jones,NYG,3.03,5.5,9.5,-4.1,20,40.7,-0.1,40,281,0,1,81.4,72.5,64.8,7.7
Sam Darnold,MIN,3.21,7.7,9.9,-2.1,10.7,41.2,0.7,28,275,3,1,123.4,71.4,64.7,6.7
Patrick Mahomes,KC,3.07,7.3,6.6,0.7,17.2,62.2,-3.2,29,245,1,1,89,65.5,68.6,-3.1
Derek Carr,NO,2.39,4.5,5.7,-1.2,5.6,33.9,-3.7,36,239,0,1,82.8,77.8,74.1,3.7
Kirk Cousins,ATL,2.86,5.6,9.3,-3.7,28.6,42.4,-0.9,35,238,0,1,68.5,60,59.4,0.6
Jayden Daniels,WAS,2.76,4.6,6,-1.4,13.3,29.6,-2.6,30,233,1,1,96.3,86.7,74.9,11.8
Joe Burrow,CIN,2.85,3.8,5.9,-2.2,22.6,33,-0.9,31,232,2,1,100.5,71,67.8,3.2
Aaron Rodgers,NYJ,2.53,4.7,7,-2.4,19,38,-2.7,42,225,0,0,72,57.1,67.7,-10.5
Matthew Stafford,LAR,2.78,6.6,7,-0.5,6.9,36.1,-2.2,29,224,0,1,77.4,69,71.9,-2.9
Dak Prescott,DAL,2.66,4.5,5.4,-0.9,22.2,30.2,-3.3,27,221,2,0,125.5,81.5,66.8,14.7
Andy Dalton,CAR,2.52,4.4,7.5,-3,17.5,42.9,-0.5,40,220,2,1,83.3,62.5,67,-4.5
Josh Allen,BUF,3.14,6.5,9.8,-3.3,24.1,44.1,1.2,29,180,0,0,73.9,55.2,52.4,2.7
Justin Herbert,LAC,2.89,3.5,6.8,-3.4,22.2,31.3,-3.8,27,179,1,0,91.4,59.3,63.8,-4.6
Deshaun Watson,CLE,3,3.1,5.5,-2.4,12.5,29.5,-4.1,32,176,1,1,84.9,75,70,5
Trevor Lawrence,JAX,2.71,7.1,12,-5,18.2,37.8,4.1,33,169,2,0,89.1,54.5,61.8,-7.3
Jacoby Brissett,NE,2.6,3.1,5.5,-2.4,25,30.7,-2.8,32,168,1,1,70.8,59.4,62.6,-3.2
Joe Flacco,IND,2.73,5.5,10.4,-4.9,19.2,24.8,1,26,168,2,0,105.9,61.5,56.9,4.6
Jalen Hurts,PHI,2.85,5.7,8.8,-3.1,10,31.1,-0.2,30,158,1,0,85.1,60,66.6,-6.6
Caleb Williams,CHI,2.98,3.6,7.6,-4.1,8.7,25.6,-1.7,23,157,1,0,106.6,73.9,63,10.9
Lamar Jackson,BAL,2.85,4.6,7.1,-2.5,--,34.8,-4.2,18,156,2,0,135.4,72.2,71.4,0.8
Kyler Murray,ARI,2.38,5.2,6.6,-1.3,9.1,36.1,-2.7,22,142,1,0,104.7,72.7,70,2.8
Gardner Minshew,LV,2.49,3.6,7.5,-3.9,12.5,32.6,-2.6,24,130,0,0,73.3,58.3,73.7,-15.4
Tyler Huntley,MIA,2.41,2.7,7.5,-4.8,9.1,23.1,-2.4,22,96,0,0,73.3,63.6,69.2,-5.6
Mason Rudolph,TEN,2.67,5.1,5.7,-0.6,5.9,30.6,-5.1,17,85,0,0,67,52.9,61.7,-8.7
Bo Nix,DEN,3,2.7,8.9,-6.2,16,37.5,-1.7,25,60,1,0,67.9,48,67.5,-19.5
