PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Zay Flowers,BAL,WR,6.9,3.2,5.2,18.13,9,9,100,132,0,9.5,5.2,4.3
Chris Godwin,TB,WR,7.6,3.6,3.5,23.19,11,13,84.62,125,2,9.7,4.2,5.5
A.J. Brown,PHI,WR,3.2,1.3,15.9,59.45,6,9,66.67,116,1,4.4,1.8,2.5
Allen Lazard,NYJ,WR,5.3,2.3,15.5,39.1,6,7,85.71,114,1,2.6,1.9,0.6
Garrett Wilson,NYJ,WR,3.9,3.3,8.1,29.24,8,10,80,107,1,7.9,7.4,0.5
Evan Engram,JAX,TE,9.2,4.3,4.9,15.96,10,10,100,102,0,5.2,7.4,-2.2
Deebo Samuel Sr.,SF,WR,4.2,3.1,8.2,22.38,3,5,60,102,1,25.1,8.8,16.3
Trey McBride,ARI,TE,6.9,4.4,7.9,35.53,8,8,100,96,0,4.1,4.1,0.1
Demario Douglas,NE,WR,4.5,2.7,7.7,34.23,6,9,66.67,92,1,10.2,9.5,0.6
CeeDee Lamb,DAL,WR,4.9,3,8.6,35.76,7,14,50,89,0,6.1,5.7,0.3
Diontae Johnson,CAR,WR,6.5,2,9.7,37.43,6,10,60,78,1,1,1,0
Devaughn Vele,DEN,WR,6,3,11.3,19.86,4,6,66.67,78,0,6.9,6.8,0.1
Stefon Diggs,HOU,WR,7.7,3.1,14.6,39.28,6,7,85.71,77,1,0.7,1.7,-1
Tee Higgins,CIN,WR,5,3.7,6.1,31.94,7,7,100,77,0,4.9,2.1,2.9
Drake London,ATL,WR,6.7,2.4,8.8,43.74,6,10,60,74,1,3.3,2.2,1.1
Kalif Raymond,DET,WR,7.9,5.2,10.3,23.34,4,6,66.67,73,0,14.1,13,1.1
Ja'Marr Chase,CIN,WR,5.2,3.8,8.3,37.59,5,6,83.33,72,0,7,5.9,1.1
Brock Bowers,LV,TE,6.1,3.1,4.6,27.46,9,10,90,71,0,5.2,4.1,1.1
