PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Devon Achane,MIA,2.39,--,2.71,18,203,104,11.3,6.96,73.3,2
D'Andre Swift,PHI,2.39,50,2.73,16,130,21,8.1,1.4,60,0
Tony Pollard,DAL,2.8,4.35,2.36,23,122,16,5.3,0.71,40.9,0
Zack Moss,IND,3.42,30,2.78,30,122,30,4.1,1.01,36.7,0
James Conner,ARI,2.93,57.14,2.97,14,98,32,7,2.44,38.5,1
James Cook,BUF,2.63,20,2.66,15,98,42,6.5,2.82,66.7,0
Kenneth Walker,SEA,3.67,33.33,3.19,18,97,30,5.4,1.88,43.8,2
Alexander Mattison,MIN,3.54,15,2.62,20,93,2,4.7,0.11,40,0
Travis Etienne,JAX,3.05,21.05,2.45,19,88,0,4.6,-0.02,42.1,0
Christian McCaffrey,SF,3.66,5.56,2.62,18,85,11,4.7,0.61,50,1
Raheem Mostert,MIA,3.56,7.69,2.71,13,82,23,6.3,1.78,53.8,3
Ezekiel Elliott,NE,2.98,6.25,2.58,16,80,5,5,0.29,43.8,0
Jahmyr Gibbs,DET,3.5,--,2.87,17,80,-2,4.7,-0.12,35.3,0
Brian Robinson,WAS,2.67,10,2.69,10,70,23,7,2.26,60,0
Najee Harris,PIT,4.3,26.32,3.16,19,65,12,3.4,0.61,47.4,0
Joe Mixon,CIN,4.16,5.26,2.62,19,65,-1,3.4,-0.06,36.8,1
Josh Jacobs,LV,3.53,35.29,2.73,17,62,-6,3.6,-0.34,29.4,0
Isiah Pacheco,KC,4.43,13.33,2.83,15,62,-2,4.1,-0.13,46.2,1
Rhamondre Stevenson,NE,3.77,21.05,2.53,19,59,-16,3.1,-0.86,42.1,0
Clyde Edwards-Helaire,KC,4.49,13.33,3.19,15,55,-5,3.7,-0.36,33.3,1
Gus Edwards,BAL,2.6,9.09,2.28,11,51,-4,4.6,-0.34,36.4,0
Kenneth Gainwell,PHI,3.84,71.43,2.49,14,43,1,3.1,0.06,57.1,0
Elijah Mitchell,SF,4.33,27.27,2.85,11,42,-6,3.8,-0.53,18.2,0
Javonte Williams,DEN,4.43,--,2.72,11,42,-16,3.8,-1.49,27.3,0
Rachaad White,TB,5.31,14.29,2.92,14,38,-20,2.7,-1.42,21.4,0
Kyren Williams,LAR,3.55,--,2.42,10,38,-1,3.8,-0.1,40,0
A.J. Dillon,GB,4.82,--,2.52,11,33,-15,3,-1.35,27.3,0
Bijan Robinson,ATL,5.9,40,3.38,10,33,-4,3.3,-0.41,33.3,0
Melvin Gordon,BAL,3.65,30,2.76,10,32,-16,3.2,-1.64,20,0
Dameon Pierce,HOU,6.68,50,3.3,14,31,0,2.2,0.03,50,1
Derrick Henry,TEN,8.43,54.55,3.48,11,20,-1,1.8,-0.13,45.5,0
Jerome Ford,CLE,11.03,30,3.83,10,18,-8,1.8,-0.83,40,1
Breece Hall,NYJ,8.66,33.33,2.56,12,18,-8,1.5,-0.68,25,0
Joshua Kelley,LAC,13.82,54.55,2.95,11,12,-16,1.1,-1.44,18.2,0
