PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Pat Freiermuth,PIT,TE,7.4,2.8,9.2,37.7,9,11,81.82,120,0,5,2.9,2.1
D.J. Moore,CHI,WR,7.7,3.7,4.2,63.9,11,13,84.62,114,0,7,4.5,2.6
Chris Olave,NO,WR,7,2.6,13.3,39.89,7,9,77.78,114,0,5.7,4.8,0.9
Jaylen Waddle,MIA,WR,6.7,3.5,9.6,53.73,8,8,100,114,0,4.7,5,-0.3
Jalin Hyatt,NYG,WR,6.1,4.3,19.2,62.82,5,6,83.33,109,0,4.4,2.6,1.8
Rashee Rice,KC,WR,7,4.5,3.8,28.35,8,10,80,107,1,9.2,6.3,3
Michael Pittman,IND,WR,5.1,2.9,6.9,38.99,10,13,76.92,107,0,5.2,5.9,-0.8
Keenan Allen,LAC,WR,7.8,3.4,6.2,30.74,14,16,87.5,106,0,2.9,3.4,-0.6
DeVonta Smith,PHI,WR,5.4,4.1,14.4,55.57,7,8,87.5,106,1,5,4.1,0.9
Gabe Davis,BUF,WR,6.3,2.8,15.4,46.63,6,12,50,105,1,2.9,2.9,0
Nico Collins,HOU,WR,6.5,5,8.5,24.2,7,9,77.78,104,1,7.1,5.3,1.8
Tyreek Hill,MIA,WR,6.2,3.5,3.7,30.96,9,12,75,102,1,8.8,7.2,1.6
Curtis Samuel,WAS,WR,8.4,3.2,7.7,26.64,9,12,75,100,0,7,6.5,0.5
Amon-Ra St. Brown,DET,WR,5.8,4.5,7.6,25.34,9,11,81.82,95,0,4.6,4.1,0.5
Christian Watson,GB,WR,6.3,3.3,20.8,48.93,5,7,71.43,94,1,1.3,1.4,-0.1
Drake London,ATL,WR,7.8,2.4,10.7,47.25,5,7,71.43,91,0,6.6,3,3.7
Travis Kelce,KC,TE,6.4,3,10.2,53.75,6,7,85.71,91,0,4.8,4.6,0.2
Kalif Raymond,DET,WR,4.9,3.9,9.5,14.38,5,5,100,90,0,8.5,9,-0.5
Christian Kirk,JAX,WR,5.9,1.9,12.1,26.71,4,7,57.14,89,0,9.8,6.7,3.1
Calvin Ridley,JAX,WR,4.8,2.3,16.7,31.56,5,6,83.33,89,1,6.2,6,0.2
Marquise Brown,ARI,WR,6.9,2.2,15,49.47,6,12,50,88,0,5.1,6.6,-1.5
Ja'Marr Chase,CIN,WR,4.8,1.4,9.7,43.5,4,6,66.67,81,0,8.3,3,5.3
Deebo Samuel,SF,WR,7.2,4.8,7.8,27.08,7,9,77.78,79,0,6.5,5,1.5
Jakobi Meyers,LV,WR,6.7,3.6,8.1,35.12,6,7,85.71,79,1,5.7,6.1,-0.4
Stefon Diggs,BUF,WR,6.4,2.4,7.8,21.68,6,11,54.55,74,1,4.7,4.8,-0.1
Davante Adams,LV,WR,3.5,1.9,10.6,45.87,5,7,71.43,73,0,6.3,4.1,2.1
Brandin Cooks,DAL,WR,5.7,3.7,14.9,16.8,4,5,80,72,1,1.4,1.8,-0.4
Mike Evans,TB,WR,6.5,4.1,14.4,54.72,6,9,66.67,70,2,1.2,1.2,0.1
Courtland Sutton,DEN,WR,6.7,3.8,15.4,68.07,3,6,50,61,0,5.2,2.7,2.5
Jonathan Mingo,CAR,WR,7.8,5.7,10.6,42.22,4,6,66.67,60,0,3.1,5,-2
Trey McBride,ARI,TE,4,3.4,4.3,10.68,7,9,77.78,60,0,5,4.4,0.7
David Njoku,CLE,TE,6.4,2.6,7.8,21.42,6,9,66.67,59,0,3.5,3.4,0.1
George Pickens,PIT,WR,3.8,3.4,15.2,28.39,3,5,60,58,0,5.1,1.9,3.2
Luke Farrell,JAX,TE,7.6,3.2,4.8,7.64,3,5,60,55,0,14.7,10.8,3.9
