PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Amari Cooper,CLE,WR,5.6,2.2,19.3,65.33,11,15,73.33,265,2,5.8,2.1,3.7
George Pickens,PIT,WR,6.8,1.9,17.5,43.45,4,6,66.67,195,2,28.5,5.9,22.7
Puka Nacua,LAR,WR,6,2.9,13.9,51.95,9,11,81.82,164,1,6.2,5.6,0.5
Justin Jefferson,MIN,WR,6.3,2.3,22.2,40.73,6,10,60,141,1,3.8,1.7,2.1
Tee Higgins,CIN,WR,4.8,2.5,11.3,32.76,5,8,62.5,140,1,16.7,7,9.7
Gabe Davis,BUF,WR,6.4,2.1,18.8,44.66,4,6,66.67,130,1,10.3,4.5,5.8
George Kittle,SF,TE,5.8,3.9,10.5,35.63,7,10,70,126,0,9.1,3.7,5.3
Chris Olave,NO,WR,7,3,9.8,33.76,9,13,69.23,123,0,3.1,3.9,-0.8
CeeDee Lamb,DAL,WR,4.4,2.1,8.5,41.38,6,10,60,118,1,11,6.3,4.7
Brandon Aiyuk,SF,WR,5.1,2.1,11.5,27.32,6,7,85.71,113,0,8.4,3.8,4.6
Cole Kmet,CHI,TE,6.7,2.2,20.6,38.4,4,5,80,107,0,2,2.6,-0.6
Amon-Ra St. Brown,DET,WR,8.7,4.7,4.5,38.85,12,14,85.71,106,1,4.9,5.4,-0.6
Tyreek Hill,MIA,WR,6.3,3.1,11.5,45.93,9,14,64.29,99,0,3.4,4.4,-1
D.J. Chark,CAR,WR,5.2,1.7,17.2,40.47,6,8,75,98,2,1.2,0.4,0.8
Evan Engram,JAX,TE,5.8,3.3,6.3,23.53,10,15,66.67,95,0,4.1,3.8,0.3
K.J. Osborn,MIN,WR,5.4,3.6,15.6,20.09,5,7,71.43,95,1,5.4,4.1,1.3
Adam Thielen,CAR,WR,5.4,2.9,12.6,29.57,6,8,75,94,0,4.6,4.9,-0.3
Calvin Ridley,JAX,WR,7.4,2.4,13.7,30.51,6,9,66.67,90,2,2.2,2.6,-0.4
Mike Evans,TB,WR,7.3,2,9.1,30.64,7,8,87.5,86,2,2.4,2.2,0.2
Demarcus Robinson,LAR,WR,4,1.7,11.9,24.32,6,6,100,82,1,2.9,3.6,-0.7
Tyler Lockett,SEA,WR,8.1,2.6,10.6,45.22,8,11,72.73,81,0,1.4,1.6,-0.2
A.J. Brown,PHI,WR,8.6,2.3,10.9,58.06,6,11,54.55,80,0,2,1.4,0.7
DeVonta Smith,PHI,WR,7.4,4,6.9,16.69,4,5,80,79,1,12.7,11,1.7
Romeo Doubs,GB,WR,7.1,1.9,13.2,32.77,4,5,80,79,1,5.9,2.9,3
Chris Godwin,TB,WR,6.9,2.9,10.5,48.17,6,11,54.55,78,0,2.3,1.9,0.3
Garrett Wilson,NYJ,WR,5.8,2.3,4.7,46.96,9,15,60,76,0,5.6,3.1,2.5
Demario Douglas,NE,WR,5.6,2.8,9.5,38.15,5,8,62.5,74,0,3.5,4.3,-0.8
Zay Flowers,BAL,WR,8.4,4.7,5.6,32.73,9,13,69.23,72,1,5.2,4.2,1
Dallas Goedert,PHI,TE,6.9,3.2,4.8,20.67,7,9,77.78,71,0,5.7,4.3,1.4
Rashid Shaheed,NO,WR,8,2.3,15.1,36.07,5,9,55.56,70,1,0.3,2.6,-2.3
DeVante Parker,NE,WR,4.9,2.4,13.3,33.28,4,5,80,65,0,4.6,3.8,0.7
Chigoziem Okonkwo,TEN,TE,3.5,3.5,8.5,40,6,6,100,63,1,2.7,3.3,-0.6
Kylen Granson,IND,TE,6.7,3.3,6.1,12.66,5,7,71.43,62,0,4.3,3.2,1.1
Jaxon Smith-Njigba,SEA,WR,6.6,3.6,6.9,18.75,6,7,85.71,61,0,5.5,4.4,1.2
Dalton Schultz,HOU,TE,6.3,3.7,4,13.09,8,11,72.73,61,0,4.4,2.6,1.8
