PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Nico Collins,HOU,WR,5.3,3.2,14,56.72,9,12,75,191,1,8.5,5.7,2.8
Mike Evans,TB,WR,7.7,2.3,16,69.46,7,12,58.33,162,1,12.1,6.1,5.9
Tyreek Hill,MIA,WR,7.5,3.5,14.9,50.37,5,7,71.43,157,2,16.3,13.1,3.2
Ja'Marr Chase,CIN,WR,6.9,3.6,4.6,45.47,11,12,91.67,149,1,8.9,4.1,4.8
Sam LaPorta,DET,TE,6.8,3.9,8.9,44.24,9,9,100,140,1,6.7,4,2.7
DK Metcalf,SEA,WR,6,1.9,12.4,38.25,6,8,75,134,3,11.9,2.1,9.8
Chris Olave,NO,WR,4.3,2.7,17.9,56.72,5,8,62.5,119,0,7.3,3.7,3.6
CeeDee Lamb,DAL,WR,5.2,2.1,8.7,56.03,12,17,70.59,116,1,2.8,2.9,-0.1
A.J. Brown,PHI,WR,5.1,2.2,9.6,37.71,8,13,61.54,114,0,7.7,3.9,3.8
Michael Pittman,IND,WR,6.6,3,7.3,34.23,11,16,68.75,105,1,4.4,4.4,0
Puka Nacua,LAR,WR,5.1,2.1,13.7,39.55,4,7,57.14,105,1,15.1,9,6.1
Alec Pierce,IND,WR,4.9,2.1,24.3,42.85,3,6,50,100,1,7,4.4,2.6
DeVonta Smith,PHI,WR,6.7,2.7,10.3,34.3,9,11,81.82,96,1,3.2,1.9,1.3
Trey McBride,ARI,TE,4.9,3,5.3,28.5,8,9,88.89,89,1,6.5,5,1.5
George Pickens,PIT,WR,4.6,2.3,15,32.4,4,5,80,86,0,3.7,2.5,1.3
Elijah Moore,CLE,WR,5.6,2.9,20.9,50.76,4,12,33.33,83,0,1.4,1.7,-0.3
Evan Engram,JAX,TE,6.5,4.5,2.5,5.35,9,9,100,82,1,6.6,4.6,2
Travis Kelce,KC,TE,6.9,6.4,11.3,22.05,4,5,80,81,0,8.9,8.3,0.6
Zay Jones,JAX,WR,6.6,2.1,18.5,35.77,5,8,62.5,78,0,3.3,3.4,-0.1
Courtland Sutton,DEN,WR,6.6,1.1,31.3,67.32,2,7,28.57,77,1,3.2,2.5,0.7
Jake Ferguson,DAL,TE,5.2,4.5,4.6,13.99,6,8,75,77,1,9.9,8.8,1.1
Xavier Gipson,NYJ,WR,5.1,3.4,12.6,24.37,5,6,83.33,77,0,5.8,4,1.7
DeAndre Hopkins,TEN,WR,6.8,1.7,16.6,64.95,5,12,41.67,75,1,1.8,1.2,0.6
Romeo Doubs,GB,WR,3.3,2.7,15.8,29.74,4,5,80,72,0,3.8,3.3,0.5
Christian Watson,GB,WR,5.1,2.6,10.2,34.58,7,9,77.78,71,2,1.8,1.4,0.5
Jonathan Mingo,CAR,WR,6.6,3.6,9.6,34.11,6,10,60,69,0,5.6,5.3,0.3
George Kittle,SF,TE,7.4,4.3,3.8,14.99,4,6,66.67,68,0,12.2,9,3.2
Curtis Samuel,WAS,WR,6.4,2.6,14.1,40.89,4,5,80,65,0,4.6,4.2,0.3
Rashee Rice,KC,WR,8.1,4.8,0.5,1.69,8,9,88.89,64,0,8.2,7.2,1
DeVante Parker,NE,WR,6.7,1.9,15.4,52.44,4,9,44.44,64,0,3.3,3.7,-0.4
Chigoziem Okonkwo,TEN,TE,8.4,5.6,10.3,20.13,3,6,50,62,0,9.3,8.4,0.9
Jaxon Smith-Njigba,SEA,WR,8.1,3.7,5.2,21.97,7,11,63.64,62,0,6.7,5.1,1.6
Parker Washington,JAX,WR,5.8,2.5,9.6,13.91,6,6,100,61,1,1.9,1.8,0.1
Keenan Allen,LAC,WR,6.8,2.1,11.6,40.11,5,9,55.56,58,0,2,4.4,-2.4
Demarcus Robinson,LAR,WR,4.3,3.5,13,26.76,4,5,80,55,1,2,1.7,0.3
Jaylen Waddle,MIA,WR,6.3,4.7,11.3,43.5,5,8,62.5,52,0,5.6,4,1.6
Quentin Johnston,LAC,WR,6.3,2.2,8.2,22.07,5,7,71.43,52,0,4.3,4.2,0.1
Kyle Pitts,ATL,TE,7.1,1.9,13,41.1,4,8,50,51,0,0.2,0.6,-0.4
Garrett Wilson,NYJ,WR,4.5,1.7,13.2,29.71,3,7,42.86,50,0,3.1,2.8,0.3
Amon-Ra St. Brown,DET,WR,7.5,1.8,8.9,29.73,2,6,33.33,49,1,13.2,8.2,5
Harrison Bryant,CLE,TE,4.2,3,6.7,6.79,5,5,100,49,1,3.1,3.9,-0.8
Tyler Lockett,SEA,WR,8,3.2,9.2,28.36,5,8,62.5,47,0,1.7,2.3,-0.7
Brandon Aiyuk,SF,WR,5.1,2.9,8.6,39.93,5,7,71.43,46,1,1.5,1.8,-0.3
Gerald Everett,LAC,TE,5.7,5.1,4.1,7.87,4,5,80,44,0,9.4,8.4,1
Cooper Kupp,LAR,WR,8.8,4.4,2.7,8.91,6,8,75,39,1,4.2,4.3,-0.2
Tyler Boyd,CIN,WR,5.7,3.6,4,23.04,5,7,71.43,37,0,2.4,2.8,-0.4
Tucker Kraft,GB,TE,5.3,4.4,2.8,6.43,3,6,50,37,0,8.8,8.8,0
Tyler Conklin,NYJ,TE,5.6,2.2,12.2,35.2,3,9,33.33,35,0,1.4,1.8,-0.4
Amari Cooper,CLE,WR,5.9,2,6,6.04,3,5,60,34,0,2.1,2.1,0
Diontae Johnson,PIT,WR,7.3,3.2,14.3,30.94,4,5,80,33,1,1.6,1.3,0.3
Pat Freiermuth,PIT,TE,7,3,7.3,15.8,3,5,60,29,0,4.9,4.9,0
Calvin Ridley,JAX,WR,5,2.7,19.4,37.5,4,8,50,26,0,1.5,3.9,-2.4
Marquez Valdes-Scantling,KC,WR,5.9,2.2,26.2,50.98,2,5,40,25,0,-0.1,2.7,-2.9
Adam Thielen,CAR,WR,4.7,2.6,11.5,24.57,3,6,50,25,0,2,4.5,-2.5
Jahan Dotson,WAS,WR,7.6,2.6,5.7,16.54,2,5,40,23,0,0.2,0.4,-0.2
Cedric Tillman,CLE,WR,5,2.6,18.6,22.57,2,6,33.33,20,0,1.4,2.2,-0.8
David Njoku,CLE,TE,3.3,1.9,7.2,8.75,2,6,33.33,17,0,8.8,8.3,0.6
Jayden Reed,GB,WR,6.3,3.2,4.9,9.22,4,5,80,16,0,4.8,6.2,-1.4
Josh Downs,IND,WR,6.6,3.2,1.1,1.62,3,5,60,14,0,5.4,4.3,1
Trey Palmer,TB,WR,7.4,1.1,8.1,14.55,2,5,40,12,0,0.4,1.5,-1.1
Drake London,ATL,WR,5.8,1.9,18.6,36.57,1,5,20,8,0,0.6,2.2,-1.6
