PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Kenneth Walker,SEA,4.46,34.62,2.93,26,105,-5,4,-0.17,30.8,0
D'Onta Foreman,CHI,3.28,31.25,2.68,16,89,32,5.6,1.97,68.8,2
Javonte Williams,DEN,3.03,40,2.76,15,82,33,5.5,2.23,53.3,0
Saquon Barkley,NYG,3.8,19.05,2.65,21,77,5,3.7,0.24,47.6,0
Jonathan Taylor,IND,3.18,5.56,2.93,18,75,3,4.2,0.19,33.3,1
Jerome Ford,CLE,3.42,27.27,2.98,11,74,26,6.7,2.34,27.3,1
Jahmyr Gibbs,DET,2.82,9.09,2.93,11,68,-6,6.2,-0.57,18.2,1
Royce Freeman,LAR,2.67,--,2.57,12,66,12,5.5,0.99,58.3,0
Gus Edwards,BAL,3.64,28.57,2.74,14,64,6,4.6,0.43,21.4,1
D'Andre Swift,PHI,4.21,13.33,2.98,15,62,-2,4.1,-0.12,46.7,0
Alvin Kamara,NO,4.4,47.06,2.72,17,62,7,3.6,0.42,43.8,0
Darrell Henderson,LAR,3.79,16.67,2.51,18,61,-12,3.4,-0.67,27.8,1
A.J. Dillon,GB,3.96,6.67,2.68,15,61,4,4.1,0.24,53.3,0
Tyler Allgeier,ATL,5.72,61.9,2.9,21,59,-27,2.8,-1.35,30,0
Emari Demercado,ARI,3.55,38.46,2.87,13,58,-2,4.5,-0.18,38.5,0
Zack Moss,IND,4.48,11.11,2.71,18,57,11,3.2,0.6,55.6,0
Cordarrelle Patterson,ATL,3.91,30,3.39,10,56,8,5.6,0.79,40,0
James Cook,BUF,3.27,7.69,2.28,13,56,0,4.3,0.04,33.3,0
Najee Harris,PIT,4.3,21.43,2.91,14,53,-6,3.8,-0.42,35.7,1
Travis Etienne,JAX,4.42,14.29,2.89,14,53,-15,3.8,-1.05,28.6,2
Darrynton Evans,CHI,5.83,42.86,3.1,14,48,-2,3.4,-0.14,38.5,0
Austin Ekeler,LAC,4.11,21.43,2.42,14,45,-7,3.2,-0.5,42.9,0
Christian McCaffrey,SF,5.67,46.67,2.75,15,45,-3,3,-0.22,40,1
Josh Jacobs,LV,4.64,9.09,2.65,11,35,-22,3.2,-1.97,18.2,0
Rachaad White,TB,5.22,23.08,2.68,13,34,-23,2.6,-1.92,25,0
Isiah Pacheco,KC,6.02,7.69,2.61,13,32,-28,2.5,-2.18,23.1,0
Kareem Hunt,CLE,4.1,30,2.54,10,31,-14,3.1,-1.39,20,2
Ezekiel Elliott,NE,3.91,18.18,2.39,11,31,-1,2.8,-0.06,45.5,1
Cam Akers,MIN,4.94,20,2.42,10,31,-7,3.1,-0.71,30,0
