PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Derrick Henry,TEN,3.14,36.36,2.77,22,122,26,5.5,1.18,45.5,1
David Montgomery,DET,3.87,31.25,2.59,32,121,-1,3.8,-0.04,43.8,3
Isiah Pacheco,KC,3.45,10,3.06,20,115,22,5.8,1.18,31.6,1
Christian McCaffrey,SF,3.51,15,2.71,20,106,9,5.3,0.45,47.4,3
Bijan Robinson,ATL,2.91,42.86,3.01,14,105,48,7.5,3.44,57.1,0
Khalil Herbert,CHI,2.86,5.56,2.46,18,103,28,5.7,1.66,58.8,0
Alexander Mattison,MIN,2.95,23.53,2.7,17,95,14,5.6,0.83,47.1,0
Dameon Pierce,HOU,4.67,54.17,2.77,24,81,-14,3.4,-0.62,39.1,0
Kenneth Walker,SEA,4.04,47.06,2.94,17,79,22,4.6,1.29,41.2,1
Najee Harris,PIT,2.83,7.14,2.32,14,71,-17,5.1,-1.25,14.3,0
Zack Moss,IND,3.52,5.56,2.41,18,70,1,3.9,0.07,33.3,0
Joe Mixon,CIN,2.71,--,2.39,14,67,-5,4.8,-0.39,35.7,0
Kyren Williams,LAR,2.99,--,2.56,18,59,-15,3.3,-1.28,25,1
Josh Jacobs,LV,4.26,--,2.61,17,58,-14,3.4,-0.82,41.2,1
Joshua Kelley,LAC,4.17,--,3.01,16,57,-3,3.6,-0.17,40,0
D'Andre Swift,PHI,3.13,--,2.3,14,56,-18,4,-1.3,35.7,1
Rachaad White,TB,3.78,33.33,2.53,15,56,-2,3.7,-0.15,35.7,0
Travis Etienne,JAX,4.11,45,2.61,20,55,-19,2.8,-0.93,25,0
James Conner,ARI,4.64,--,3.47,11,52,-12,4.7,-1.08,45.5,0
Alvin Kamara,NO,3.23,27.27,2.53,11,51,2,4.6,0.15,40,0
Gus Edwards,BAL,4.72,20,2.92,15,48,-2,3.2,-0.12,46.7,0
Tony Pollard,DAL,3.86,--,2.67,11,47,7,4.3,0.65,40,0
Brian Robinson,WAS,4.76,7.14,2.94,14,45,1,3.2,0.09,57.1,1
Chuba Hubbard,CAR,4.03,57.14,2.37,14,41,3,2.9,0.2,50,0
Rhamondre Stevenson,NE,6.15,35.71,2.55,14,30,-20,2.1,-1.51,23.1,0
Matt Breida,NYG,4.78,7.14,2.23,14,30,-15,2.1,-1.13,30.8,0
James Cook,BUF,4.73,16.67,2.21,12,29,-9,2.4,-0.78,50,1
Miles Sanders,CAR,7.53,30.77,2.96,13,19,-17,1.5,-1.3,15.4,0
