PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Tyreek Hill,MIA,WR,5.2,3.3,11.5,46.78,61,87,70.11,1014,8,6.4,5.1,1.3
A.J. Brown,PHI,WR,6.8,2.5,13.4,47.94,60,83,72.29,939,5,5,2.7,2.3
Puka Nacua,LAR,WR,5.9,3,9,34.98,61,89,68.54,795,2,5.5,4.2,1.3
Stefon Diggs,BUF,WR,5.7,2.7,11.1,42.85,64,90,71.11,748,6,3.4,3.5,-0.1
D.J. Moore,CHI,WR,6.3,2.5,11.4,39.27,44,57,77.19,691,5,7.2,4.8,2.5
Amon-Ra St. Brown,DET,WR,5.9,3,7.1,29.89,57,78,73.08,665,3,4.5,4.5,0
Ja'Marr Chase,CIN,WR,5.8,3.5,7.8,41.18,60,85,70.59,656,4,5.3,4.7,0.6
Keenan Allen,LAC,WR,6.7,3.5,9.8,35.86,54,74,72.97,643,4,4.5,4.1,0.3
CeeDee Lamb,DAL,WR,5.8,3.1,9.2,31.97,46,56,82.14,633,3,5.5,5,0.5
Brandon Aiyuk,SF,WR,6.3,3.1,14.4,42.37,35,52,67.31,620,2,4.4,3.4,1
Travis Kelce,KC,TE,7,3.7,7.1,23.42,54,68,79.41,583,4,5.1,4.9,0.1
Adam Thielen,CAR,WR,6.5,2.9,7.2,30.27,57,70,81.43,581,4,3.9,5.1,-1.3
Nico Collins,HOU,WR,5.4,2.7,12.2,31.12,33,48,68.75,577,3,8,4.9,3
Justin Jefferson,MIN,WR,6.3,2.7,10.3,24.69,36,53,67.92,571,3,5.6,4.4,1.1
Davante Adams,LV,WR,5,2.7,10.6,41.36,47,78,60.26,539,3,3.3,3.4,-0.1
Michael Pittman,IND,WR,6.8,2.9,8.3,31.81,50,78,64.1,529,3,5.5,4.2,1.3
George Pickens,PIT,WR,4.8,2.2,13.8,40.78,28,53,52.83,522,3,7.2,4.7,2.5
Christian Kirk,JAX,WR,6.4,3.4,8.1,25.7,43,60,71.67,520,3,4.2,4.3,-0.1
Chris Olave,NO,WR,6.2,3.1,13.7,39.19,44,77,57.14,517,1,4.3,4.7,-0.4
Mike Evans,TB,WR,6.8,2.5,13.7,39.1,33,55,60,507,5,4.5,3.1,1.4
DeAndre Hopkins,TEN,WR,5.2,2.2,14.3,41.9,31,52,59.62,504,3,3.5,4.5,-1
Terry McLaurin,WAS,WR,6.1,2.8,11,30.83,42,63,66.67,495,2,3,3.3,-0.3
DeVonta Smith,PHI,WR,6.6,2.7,12.7,31.29,39,57,68.42,482,3,3.1,3.6,-0.5
Jordan Addison,MIN,WR,6.1,2.6,11.7,27.62,36,52,69.23,482,7,4.4,2.7,1.7
Jaylen Waddle,MIA,WR,7.1,3.2,9.3,23.17,37,53,69.81,480,3,5.9,4.9,1
Rashid Shaheed,NO,WR,7,2.6,18,25.33,23,38,60.53,479,3,4.8,4.3,0.4
T.J. Hockenson,MIN,TE,5.6,3,6.4,19.65,53,68,77.94,478,3,3.8,4,-0.2
Amari Cooper,CLE,WR,5.1,2.4,14.8,41.92,30,58,51.72,478,1,3.3,2.3,1
Josh Downs,IND,WR,6.5,3.5,7.3,20.06,40,56,71.43,473,2,5.4,5,0.4
Garrett Wilson,NYJ,WR,5.3,2.3,11.1,48.4,39,68,57.35,469,2,3.8,3.4,0.4
Zay Flowers,BAL,WR,7.8,3.6,7.9,27.17,44,61,72.13,461,1,4.6,4.2,0.4
Chris Godwin,TB,WR,6.5,2.9,9.1,26.37,38,56,67.86,452,1,4.9,4.2,0.7
Calvin Ridley,JAX,WR,5.2,2.3,13.3,40.8,33,58,56.9,451,2,2.5,3,-0.4
George Kittle,SF,TE,5.2,3.2,9.3,22.68,32,43,74.42,443,3,5.9,4.3,1.5
Michael Thomas,NO,WR,5.2,2,10.4,23.46,38,61,62.3,439,1,2.8,2.5,0.4
Drake London,ATL,WR,6.5,2.2,9.9,27.5,37,57,64.91,438,2,3.1,3.1,-0.1
Gabe Davis,BUF,WR,6.6,3.2,13.4,27.06,31,47,65.96,434,5,3.8,3.4,0.4
Evan Engram,JAX,TE,6,3.7,3.7,11.93,51,61,83.61,434,0,5.9,5.4,0.4
Sam LaPorta,DET,TE,5.5,3.4,6.8,21.65,43,59,72.88,434,4,4.5,3.6,0.9
Marquise Brown,ARI,WR,6.1,2.7,11.7,39.94,38,69,55.07,416,4,3.3,3.3,0
Kendrick Bourne,NE,WR,7.1,2.7,10.1,26.9,37,55,67.27,406,4,5.4,3.8,1.6
Jakobi Meyers,LV,WR,7.3,2.3,10.5,29.93,38,57,66.67,404,5,2.1,2.3,-0.3
DK Metcalf,SEA,WR,5.3,2.6,13.6,36.22,27,46,58.7,404,2,3.6,2.7,0.9
Michael Wilson,ARI,WR,7.2,3.2,13.1,20.89,24,32,75,397,2,4,3,1.1
Mark Andrews,BAL,TE,5.6,3,8.1,20.61,32,45,71.11,397,6,5.1,4.9,0.2
Josh Reynolds,DET,WR,4.5,2.5,12.5,20.97,22,31,70.97,397,3,5.7,4.7,1
Darren Waller,NYG,TE,6,2.6,8,27.01,36,51,70.59,384,1,4.2,4.6,-0.5
Courtland Sutton,DEN,WR,6.3,2.8,10.9,31.79,33,46,71.74,380,6,2.5,3.2,-0.6
Josh Palmer,LAC,WR,6.2,2.3,12.7,24.49,23,39,58.97,377,1,5.1,4.6,0.5
Tyler Lockett,SEA,WR,6.9,2.7,11.7,32.99,35,49,71.43,370,3,2.4,2.9,-0.5
Tutu Atwell,LAR,WR,6.7,2.5,11.5,23.64,28,47,59.57,361,3,2.5,2.7,-0.2
Rashee Rice,KC,WR,6.1,4,5.9,11.02,30,39,76.92,361,3,8.3,6.9,1.5
Dallas Goedert,PHI,TE,6.8,3.1,5.1,10.49,35,48,72.92,360,2,5.7,5,0.7
K.J. Osborn,MIN,WR,5.3,3.3,8.9,18.94,30,47,63.83,360,2,4.4,4.3,0.1
Nathaniel Dell,HOU,WR,7,3.5,11.5,19.64,22,32,68.75,340,2,5,4.8,0.3
Jerry Jeudy,DEN,WR,7.2,3.3,12.5,31.55,27,40,67.5,336,1,3.6,4,-0.4
