PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
Mike Evans,TB,WR,7.4,3,13.3,44.48,6,8,75,171,1,13.9,3.8,10.1
Justin Jefferson,MIN,WR,6.7,2,9.4,39.12,11,13,84.62,159,0,4.1,4.2,-0.2
Puka Nacua,LAR,WR,6,3.3,6.2,36.78,15,20,75,147,0,4.8,4.5,0.3
Nico Collins,HOU,WR,5.1,2.9,13.3,27.32,7,9,77.78,146,1,7.8,5.5,2.4
CeeDee Lamb,DAL,WR,6.3,3.5,7,50.99,11,13,84.62,143,0,6,6.6,-0.6
DeVonta Smith,PHI,WR,7.6,2.5,23.9,61,4,5,80,131,1,8.1,7,1.1
George Pickens,PIT,WR,4.8,3.1,10.6,62.56,4,10,40,127,1,18.3,8,10.2
Keenan Allen,LAC,WR,5.1,3.3,11,26.54,8,10,80,111,2,2.9,3.9,-1
Christian Kirk,JAX,WR,6.3,3.7,4.9,22.37,11,14,78.57,110,0,5,4.5,0.4
D.J. Moore,CHI,WR,7.3,3.1,10.4,36.53,6,7,85.71,104,0,7.8,7.5,0.3
Amon-Ra St. Brown,DET,WR,6.1,1.7,12,30.87,6,7,85.71,102,0,4.4,3.7,0.8
Gabe Davis,BUF,WR,7,3.3,11.1,43.76,6,7,85.71,92,1,5.3,3.5,1.8
Amari Cooper,CLE,WR,5.2,2.6,12.8,32.7,7,10,70,90,0,2.6,2.3,0.3
Tee Higgins,CIN,WR,6.3,1.9,12,56.99,8,12,66.67,89,2,3.6,2.8,0.8
Chris Olave,NO,WR,7.4,2.9,12.8,49.61,6,11,54.55,86,0,4.1,2.7,1.4
Jaylen Waddle,MIA,WR,6.9,2.9,11.2,26.86,4,6,66.67,86,0,12.6,7.2,5.5
Davante Adams,LV,WR,4.1,2.2,10.6,42.52,6,8,75,84,1,4,2.8,1.2
Mike Williams,LAC,WR,6,2,12.4,39.03,8,13,61.54,83,0,6,3.4,2.5
Garrett Wilson,NYJ,WR,5.1,1.9,16.4,50.4,2,8,25,83,1,29.1,13.9,15.3
Tutu Atwell,LAR,WR,8.4,2.1,11.5,30.49,7,9,77.78,77,0,0.2,1.1,-0.9
Darren Waller,NYG,TE,6.8,3.2,8.9,20.82,6,8,75,76,0,4.2,4.3,-0.1
DK Metcalf,SEA,WR,4.3,1.8,11.5,28.1,6,6,100,75,0,1,0.9,0.2
Robert Woods,HOU,WR,5.9,2.7,12,24.49,6,9,66.67,74,0,2.8,3.3,-0.5
Nathaniel Dell,HOU,WR,6.9,3,9.3,21.16,7,10,70,72,1,2.8,2.6,0.2
Jordan Addison,MIN,WR,4.1,2.5,17.9,28.66,3,5,60,72,1,7.4,2.2,5.2
Drake London,ATL,WR,7.4,2.4,9.1,28.41,6,8,75,67,1,3.8,2.5,1.3
Courtland Sutton,DEN,WR,6.9,3.2,12,28.97,5,7,71.43,66,0,2.7,2.8,0
T.J. Hockenson,MIN,TE,4.5,3.5,6.4,16.44,7,8,87.5,66,2,5.1,5,0.1
Stefon Diggs,BUF,WR,4.2,3.6,5.2,20.49,7,7,100,66,0,4.2,5,-0.8
