PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Jahmyr Gibbs,DET,3,7.69,2.6,26,152,45,5.8,1.73,38.5,1
Saquon Barkley,NYG,3.89,11.11,2.83,36,128,-20,3.6,-0.59,29.4,0
Derrick Henry,TEN,3.55,36.36,2.6,22,101,-5,4.6,-0.22,52.4,0
Jonathan Taylor,IND,2.58,8.33,2.99,12,95,36,7.9,3,41.7,0
Joe Mixon,CIN,3.53,6.25,2.87,16,87,28,5.4,1.76,62.5,1
Javonte Williams,DEN,4.89,25.93,2.93,27,85,-9,3.1,-0.31,40.7,0
Gus Edwards,BAL,3.39,26.32,2.51,19,80,4,4.2,0.19,57.9,3
Travis Etienne,JAX,4.45,50,2.78,24,79,-4,3.3,-0.17,41.7,0
Emari Demercado,ARI,3.86,35,2.68,20,78,-2,3.9,-0.08,40,0
Craig Reynolds,DET,3.04,35.71,2.62,14,74,20,5.3,1.46,64.3,0
James Cook,BUF,2.93,21.43,2.41,14,67,12,4.8,0.84,35.7,0
Zack Moss,IND,2.47,9.09,2.67,11,66,25,6,2.26,27.3,1
Bijan Robinson,ATL,3.71,--,2.69,11,62,7,5.6,0.67,36.4,1
Josh Jacobs,LV,3.46,46.67,2.52,15,61,1,4.1,0.04,50,1
Brian Robinson,WAS,2.8,--,2.7,10,59,15,5.9,1.46,40,0
Alvin Kamara,NO,3.62,11.76,2.46,17,59,-12,3.5,-0.77,31.3,1
D'Andre Swift,PHI,4.34,31.25,2.88,16,57,-17,3.6,-1.08,31.3,1
Kareem Hunt,CLE,3.06,14.29,2.42,14,55,8,3.9,0.55,64.3,1
Christian McCaffrey,SF,4.19,25,2.97,12,54,0,4.5,-0.01,58.3,1
Tony Pollard,DAL,3.56,8.33,2.7,12,53,-9,4.4,-0.74,16.7,0
Raheem Mostert,MIA,4.5,7.69,2.61,13,46,-7,3.5,-0.61,33.3,1
Dameon Pierce,HOU,3.59,8.33,2.85,12,46,-3,3.8,-0.26,25,0
Pierre Strong,CLE,4.09,30,3,10,41,-4,4.1,-0.37,60,0
Rhamondre Stevenson,NE,3.05,10,2.41,10,39,0,3.9,0.01,30,0
Alexander Mattison,MIN,7.21,31.25,3.08,16,31,-29,1.9,-1.82,31.3,0
Darrell Henderson,LAR,5.9,8.33,2.62,12,31,-27,2.6,-2.21,16.7,0
Devin Singletary,HOU,5.12,--,3.13,10,30,3,3,0.3,40,0
Austin Ekeler,LAC,6.39,13.33,2.61,15,29,-23,1.9,-1.54,33.3,0
Chuba Hubbard,CAR,5.98,26.67,2.3,15,28,-4,1.9,-0.29,60,0
Breece Hall,NYJ,9.09,58.33,2.97,12,17,-29,1.4,-2.42,25,0
