PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Zamir White,LV,2.89,22.73,2.93,22,145,68,6.6,3.1,59.1,0
Aaron Jones,GB,3.06,14.29,2.74,21,127,46,6,2.21,47.6,0
Khalil Herbert,CHI,3.49,35,2.76,20,112,16,5.6,0.79,50,1
Kyren Williams,LAR,3.16,9.09,2.58,22,104,3,4.7,0.14,50,1
Christian McCaffrey,SF,3.26,21.43,2.69,14,103,33,7.4,2.76,33.3,1
Breece Hall,NYJ,3.77,30,3.17,20,95,13,4.8,0.64,40,2
D'Andre Swift,PHI,4.17,30,2.96,20,92,-5,4.6,-0.24,40,1
Derrick Henry,TEN,3.99,36.84,2.86,19,88,2,4.6,0.13,33.3,1
Saquon Barkley,NYG,3.61,8.7,2.44,23,80,-34,3.5,-1.49,17.4,1
Jahmyr Gibbs,DET,4.11,20,2.82,15,80,1,5.3,0.09,33.3,2
Najee Harris,PIT,3.73,26.32,2.72,19,78,19,4.1,1.01,57.9,1
Bijan Robinson,ATL,4.01,8.33,3.15,12,72,33,6,2.79,50,0
James Cook,BUF,4.56,5,2.6,20,70,-14,3.5,-0.69,30,0
Austin Ekeler,LAC,3.61,6.67,2.66,15,65,2,4.3,0.11,50,0
Chris Rodriguez,WAS,2.77,--,3.08,10,58,21,5.8,2.13,50,2
David Montgomery,DET,4.28,29.41,2.55,17,55,-14,3.2,-0.85,35.3,1
Kenneth Walker,SEA,5.59,6.25,3.14,16,54,-16,3.4,-1.05,26.7,0
Raheem Mostert,MIA,4.26,18.18,2.83,11,46,-14,4.2,-1.24,36.4,0
James Conner,ARI,5.08,8.33,2.9,12,45,-10,3.8,-0.84,50,0
Joe Mixon,CIN,4.15,9.09,2.86,11,43,-15,3.9,-1.33,9.1,0
Jonathan Taylor,IND,4.53,16.67,2.63,18,43,-11,2.4,-0.59,22.2,1
Chuba Hubbard,CAR,5.48,25,2.73,16,43,-5,2.7,-0.29,43.8,1
Rachaad White,TB,6.48,30,2.57,20,39,-35,2,-1.83,21.1,1
Tony Pollard,DAL,4.66,8.33,2.8,12,38,-7,3.2,-0.6,33.3,0
Ezekiel Elliott,NE,5.55,16.67,2.89,12,27,-13,2.3,-1.1,25,0
Isiah Pacheco,KC,6.48,9.09,2.7,11,26,-11,2.4,-1.1,20,1
Justice Hill,BAL,6.19,--,3.05,10,26,-24,2.6,-2.45,10,0
Chase Edmonds,TB,6.11,30,3.28,10,25,-16,2.5,-1.65,20,0
Jerome Ford,CLE,9.02,--,3.4,15,25,-43,1.7,-2.83,13.3,1
Javonte Williams,DEN,7.16,9.09,2.91,11,24,-11,2.2,-1,36.4,1
