PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Devin Singletary,HOU,3.35,20,2.94,30,150,16,5,0.53,40,1
David Montgomery,DET,2.18,16.67,2.54,12,116,68,9.7,5.7,66.7,1
Josh Jacobs,LV,3.79,14.81,2.79,27,116,-4,4.3,-0.15,40.7,0
James Cook,BUF,2.25,--,2.62,12,109,43,9.1,3.58,50,0
Jerome Ford,CLE,2.67,5.88,2.6,17,107,40,6.3,2.38,52.9,0
Jaylen Warren,PIT,2.91,6.67,2.83,15,101,37,6.7,2.49,53.3,1
Christian McCaffrey,SF,3.5,56.25,3.07,16,95,21,5.9,1.29,43.8,0
Bijan Robinson,ATL,3.99,18.18,2.83,22,95,-10,4.3,-0.49,30,1
Rhamondre Stevenson,NE,3.17,10,2.66,20,88,8,4.4,0.42,45,0
Najee Harris,PIT,3.2,6.25,2.75,16,82,15,5.1,0.91,56.3,1
D'Onta Foreman,CHI,3.53,9.52,2.63,21,80,-12,3.8,-0.56,33.3,1
Rico Dowdle,DAL,3.07,25,2.48,12,79,14,6.6,1.2,50,1
Javonte Williams,DEN,3.8,--,2.86,21,79,-5,3.8,-0.23,57.1,0
Jahmyr Gibbs,DET,3.96,35.71,2.98,14,77,25,5.5,1.75,28.6,2
James Conner,ARI,3.69,18.75,2.62,16,73,2,4.6,0.14,50,0
Jonathan Taylor,IND,4.44,21.74,2.65,23,69,-19,3,-0.81,21.7,1
Austin Ekeler,LAC,3.6,26.32,2.65,19,67,1,3.5,0.05,42.1,1
Saquon Barkley,NYG,3.41,38.46,2.93,13,66,18,5.1,1.5,41.7,0
Kenneth Walker,SEA,5.46,21.05,2.99,19,63,-34,3.3,-1.89,27.8,0
Tony Pollard,DAL,4.37,20,2.75,15,55,2,3.7,0.13,42.9,0
Ezekiel Elliott,NE,3.05,15.38,2.66,13,54,-1,4.2,-0.08,53.8,0
Rachaad White,TB,5.25,5,2.91,20,51,-8,2.6,-0.38,30,0
Joe Mixon,CIN,3.31,9.09,2.31,11,46,-6,4.2,-0.53,27.3,1
Ty Chandler,MIN,5.31,26.67,3.04,15,45,0,3,0.03,40,1
Aaron Jones,GB,5.92,38.46,2.81,13,35,-32,2.7,-2.5,7.7,0
Kareem Hunt,CLE,4.46,50,2.66,10,32,0,3.2,0.02,50,1
Breece Hall,NYJ,7.23,7.69,3.17,13,28,-14,2.2,-1.17,16.7,0
Gus Edwards,BAL,5.61,63.64,2.47,11,24,-10,2.2,-0.95,18.2,1
Derrick Henry,TEN,6.67,45.45,2.63,11,24,-11,2.2,-1.01,45.5,0
