PLAYER NAME,TEAM,TT,CAY,IAY,AYD,AGG%,LCAD,AYTS,ATT,YDS,TD,INT,RATE,COMP%,xCOMP%,+/-
Jared Goff,DET,2.59,5.8,6.7,-0.9,15.9,57,-1.5,44,353,2,0,107.5,68.2,67.1,1
Derek Carr,NO,2.76,7.2,10.5,-3.3,20,57.7,0.7,50,353,1,1,83.2,64,53.2,10.8
Gardner Minshew,IND,2.52,4.1,7.4,-3.2,14.5,45.8,-0.7,55,329,1,3,60.3,60,65.9,-5.9
Geno Smith,SEA,3.06,6.7,9.6,-2.9,12.2,46.9,-0.3,41,323,0,2,69.5,65.9,58.1,7.7
Desmond Ridder,ATL,2.54,6.6,8.9,-2.3,17,40.9,0.3,47,307,2,3,66.5,59.6,62.6,-3
Patrick Mahomes,KC,2.85,2.8,4.3,-1.5,2.5,28.9,-4.6,40,306,1,1,94.4,75,73.5,1.5
Jalen Hurts,PHI,3.4,5.2,8.6,-3.4,28.9,50.7,-0.2,45,280,1,3,59.5,62.2,62,0.3
Dak Prescott,DAL,3.18,7.4,8.9,-1.6,16.7,36.6,-0.6,30,272,1,0,109.3,70,66.1,3.9
Tua Tagovailoa,MIA,2.4,6.6,9.3,-2.7,3.2,45.6,1.4,31,262,3,0,126,67.7,68.2,-0.5
Joshua Dobbs,ARI,3.05,6.4,10.1,-3.7,17.1,31.5,1.2,41,235,0,1,58.5,51.2,56.3,-5.1
Justin Herbert,LAC,3,4.5,7.4,-2.9,8.1,31.2,-1.6,37,227,2,1,84,59.5,64.2,-4.7
Matthew Stafford,LAR,2.54,9.6,9.5,0.1,16.7,51,0.5,24,226,1,0,107.3,62.5,52.9,9.6
Lamar Jackson,BAL,2.94,4.5,7.5,-3,10,36,-1,30,223,1,1,88.6,70,68.3,1.7
Bryce Young,CAR,2.82,5.8,8.6,-2.8,13.2,31.6,0.1,38,217,1,0,85.1,60.5,56.7,3.8
Baker Mayfield,TB,2.77,7.4,12,-4.6,18.9,34.1,3.6,37,206,0,1,56.8,51.4,61.5,-10.1
Mac Jones,NE,2.23,2.3,5.1,-2.8,12.1,28.4,-3.5,33,200,0,1,75.3,72.7,67.4,5.4
Tyrod Taylor,NYG,2.6,4.7,7,-2.3,11.1,43.1,-1,36,200,0,0,80.8,66.7,60.7,6
C.J. Stroud,HOU,3.54,9,8.9,0.2,11.1,39.6,0.1,27,199,2,1,82.2,48.1,55.4,-7.3
Phillip Walker,CLE,2.81,3.5,7.9,-4.4,8.8,40.4,-2,34,192,0,2,45.2,52.9,62.6,-9.6
Zach Wilson,NYJ,2.61,4.3,7.5,-3.2,27.3,41.3,-3.5,33,186,0,0,73.5,57.6,63,-5.4
Joe Burrow,CIN,2.48,3.2,5.2,-2.1,5.7,33.7,-2.1,35,185,2,1,88.4,68.6,71.4,-2.8
Kirk Cousins,MIN,2.74,4.8,6.2,-1.4,12.9,31.3,-3.3,31,181,1,0,93.6,67.7,66.8,1
Trevor Lawrence,JAX,2.45,3.8,7.8,-4,10,35.8,-1.3,30,181,2,1,91.1,66.7,67,-0.3
Josh Allen,BUF,3.17,5.3,8,-2.7,6.7,36.3,0.2,30,169,2,1,86.7,63.3,69.8,-6.5
Jimmy Garoppolo,LV,3.12,7.8,6.9,1,4.5,32.8,-3.1,22,162,1,1,82,63.6,68.8,-5.2
Sam Howell,WAS,2.85,5,8.4,-3.4,13,32,-0.5,23,151,3,0,119.7,60.9,56.1,4.8
Brock Purdy,SF,2.83,4.7,9.7,-5.1,18.5,27.6,-1.5,27,125,1,1,55.3,44.4,56.1,-11.6
Russell Wilson,DEN,2.47,2.5,5.3,-2.8,22.7,34.5,-3.8,22,95,1,2,46.6,59.1,73,-13.9
Ryan Tannehill,TEN,2.51,3,9.2,-6.3,31.3,24.4,1.4,16,76,0,1,37.5,50,55.3,-5.3
