PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
A.J. Brown,PHI,WR,7.2,2,16.3,56.74,9,13,69.23,175,2,6,3,3
Nico Collins,HOU,WR,3.8,1.7,11.1,42.1,7,9,77.78,168,2,13.1,5.5,7.6
Puka Nacua,LAR,WR,6.2,3.5,12.2,42.21,9,10,90,163,1,6,2.5,3.5
Brandon Aiyuk,SF,WR,7.5,2.3,20.6,70.48,6,6,100,148,0,4.1,3,1.1
D.J. Moore,CHI,WR,9.3,1.9,12.9,41.82,8,9,88.89,131,1,3.4,2.6,0.7
Stefon Diggs,BUF,WR,4.9,2,11.8,40.22,6,7,85.71,120,3,7.7,1.8,6
Chris Godwin,TB,WR,4.3,2.3,7.9,47.49,8,11,72.73,114,0,8.4,6.3,2.1
Marquise Brown,ARI,WR,5.8,2.5,14,42.18,7,10,70,96,0,4.3,5.2,-0.9
Jonnu Smith,ATL,TE,7.4,3.5,7.9,17.82,6,6,100,95,0,8,4.2,3.7
Romeo Doubs,GB,WR,5.6,3.4,10.1,41.84,9,13,69.23,95,0,1.5,1.9,-0.3
Terry McLaurin,WAS,WR,6.5,2.9,11.2,30.61,8,10,80,86,0,4.6,3.7,0.9
Justin Jefferson,MIN,WR,7.5,2,12.2,70.32,6,9,66.67,85,2,0.7,0.6,0.1
Cole Kmet,CHI,TE,5.4,5.9,8.3,26.98,7,9,77.78,85,2,5.1,4.9,0.2
Christian Kirk,JAX,WR,7,2.9,6.7,43.27,8,12,66.67,84,0,3.7,5,-1.3
Mark Andrews,BAL,TE,4.7,3,9,35.96,5,5,100,80,2,8.4,7.2,1.2
DeVonta Smith,PHI,WR,7.8,2.2,13.7,33.03,7,9,77.78,78,0,3.6,4.2,-0.6
Josh Palmer,LAC,WR,4.4,1.4,17.7,49.27,3,8,37.5,77,0,8,4.1,3.9
Jake Ferguson,DAL,TE,4.3,3.2,7.1,21.05,7,7,100,77,0,3.9,1.8,2.1
Adam Thielen,CAR,WR,8.1,3.9,5.7,43.57,7,8,87.5,76,0,5.8,6.3,-0.5
Michael Wilson,ARI,WR,7.6,3.5,9.2,19.33,7,7,100,76,2,2.3,2,0.4
Davante Adams,LV,WR,5.5,2.1,10.9,60.06,8,13,61.54,75,0,1.8,1.8,0
Ja'Marr Chase,CIN,WR,6.5,5,2.8,21.93,7,9,77.78,73,0,6.8,4.5,2.4
Josh Reynolds,DET,WR,6.1,1.8,13.2,46.75,3,6,50,69,0,7.5,8.1,-0.6
Tyler Higbee,LAR,TE,6.4,3.2,6.5,24.66,5,11,45.45,64,0,4.6,7.2,-2.5
DeAndre Hopkins,TEN,WR,6.7,2.4,18.1,36,4,6,66.67,63,0,3.9,5.2,-1.3
Michael Gallup,DAL,WR,7.7,4.4,3.8,9.72,5,6,83.33,60,0,8.6,8.4,0.3
Travis Kelce,KC,TE,6.2,3.7,5.8,25.76,6,9,66.67,60,0,6.4,5.6,0.8
Garrett Wilson,NYJ,WR,5.2,2.6,10.4,45.64,9,14,64.29,60,0,1,1.7,-0.7
Evan Engram,JAX,TE,6.3,3.1,4.4,18.84,7,8,87.5,59,0,4.1,6.1,-2
Tyreek Hill,MIA,WR,4.5,3.2,13.6,32.86,3,5,60,58,0,4,4,0
Tyler Conklin,NYJ,TE,4.2,2.5,9.4,17.72,4,6,66.67,58,0,5.2,3.6,1.7
Terrace Marshall,CAR,WR,8.3,4.1,2.2,21.3,9,10,90,56,0,3.2,4.1,-0.8
Amon-Ra St. Brown,DET,WR,6.7,4.4,9.1,37.5,5,7,71.43,56,1,2.9,2.9,0
Sam LaPorta,DET,TE,5,2.4,6.8,20.23,4,5,80,56,0,8,2.9,5.1
Jayden Reed,GB,WR,4.9,2,16.8,26.79,3,5,60,55,0,2.6,3.3,-0.8
Tyler Lockett,SEA,WR,8.5,2.6,8.2,33.22,4,6,66.67,54,0,2.9,2.8,0.1
Michael Thomas,NO,WR,7.8,4,11.6,23.79,4,6,66.67,53,0,4.1,4.9,-0.8
Zach Ertz,ARI,TE,6.8,3.4,9.3,27.87,6,10,60,53,0,1.3,2.4,-1.1
Jerry Jeudy,DEN,WR,6.7,2.2,16.5,47.7,3,5,60,52,0,6.3,5.1,1.1
Curtis Samuel,WAS,WR,9.4,4.4,2.8,6.14,7,8,87.5,51,0,5.1,3.9,1.2
Nick Westbrook-Ikhine,TEN,WR,8.4,4.3,9.2,18.35,5,6,83.33,51,1,4.5,5.7,-1.2
Hunter Henry,NE,TE,5,3.1,7.5,16.5,4,5,80,51,0,4,3.2,0.8
David Njoku,CLE,TE,7.8,2.6,5.9,13.21,6,7,85.71,46,0,3.8,3.9,-0.2
Jaylen Waddle,MIA,WR,7.5,3.8,6.2,14.9,4,5,80,46,0,5.4,4.7,0.7
Braxton Berrios,MIA,WR,4.9,3.8,6.1,17.76,6,6,100,43,1,2.1,2.3,-0.3
Wan'Dale Robinson,NYG,WR,7,4.4,2.7,16.59,5,6,83.33,40,0,5.7,6.2,-0.5
CeeDee Lamb,DAL,WR,4.8,2.5,9.4,24.09,4,6,66.67,36,1,1.5,2.1,-0.7
Rashid Shaheed,NO,WR,6.4,3.4,11.1,26.59,3,7,42.86,33,0,8.9,8.8,0.1
Rashee Rice,KC,WR,7.3,3.6,4.6,11.46,3,5,60,32,0,6.3,4.1,2.2
Keenan Allen,LAC,WR,5.6,3.9,13.4,23.23,3,5,60,32,1,4.9,5,-0.2
Drake London,ATL,WR,6.5,1.3,14,36.98,3,7,42.86,28,1,0.5,1.3,-0.7
Dalton Kincaid,BUF,TE,7.3,3,4.1,9.88,4,5,80,27,0,2.9,2.9,0
Jahan Dotson,WAS,WR,6.3,1.6,10,24.48,4,9,44.44,27,1,1.4,1.5,-0.1
Courtland Sutton,DEN,WR,5.1,2.2,10.5,30.46,3,5,60,27,1,1.6,2.4,-0.8
