PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Isiah Pacheco,KC,2.71,11.11,2.67,18,110,29,6.1,1.63,55.6,1
James Conner,ARI,4.07,60,2.75,25,105,9,4.2,0.38,40,2
Chuba Hubbard,CAR,3.55,32,2.89,25,104,5,4.2,0.22,45.8,2
Derrick Henry,TEN,3.41,9.52,2.67,21,102,-9,4.9,-0.44,33.3,2
Christian McCaffrey,SF,3.34,47.06,2.93,17,93,28,5.5,1.62,52.9,1
Kyren Williams,LAR,4.52,9.52,2.9,21,88,-9,4.2,-0.46,30,1
Rachaad White,TB,3.55,10,2.64,20,84,2,4.2,0.09,26.3,1
Tyjae Spears,TEN,3.31,12.5,2.62,16,75,-12,4.7,-0.75,25,0
A.J. Dillon,GB,4.05,33.33,2.75,18,73,10,4.1,0.55,50,0
Devon Achane,MIA,4.59,35.29,2.92,17,73,20,4.3,1.17,58.8,2
Tony Pollard,DAL,4.33,15,2.8,20,68,-8,3.4,-0.42,40,1
Joe Mixon,CIN,3.5,11.76,2.42,17,67,-15,3.9,-0.86,41.2,2
Najee Harris,PIT,3.85,6.25,2.65,16,63,-1,3.9,-0.06,50,0
Zach Charbonnet,SEA,4.38,31.58,2.89,19,60,-2,3.2,-0.09,33.3,1
David Montgomery,DET,4.88,22.22,2.77,18,56,-14,3.1,-0.79,22.2,1
Bijan Robinson,ATL,6.41,16.67,3.13,18,53,-17,2.9,-0.97,38.9,0
Ezekiel Elliott,NE,3.97,--,2.51,17,52,-12,3.1,-0.68,29.4,0
Zack Moss,IND,4.56,10.53,2.88,19,51,-13,2.7,-0.71,31.6,0
Alvin Kamara,NO,5.08,35.71,3.07,14,51,6,3.6,0.41,35.7,2
Kareem Hunt,CLE,3.34,41.67,2.52,12,48,-7,4,-0.59,41.7,0
Javonte Williams,DEN,3.85,15.38,2.51,13,46,-21,3.5,-1.62,23.1,0
Travis Etienne,JAX,4.15,36.36,2.9,11,45,1,4.1,0.09,36.4,1
Raheem Mostert,MIA,4.96,18.18,3.03,11,43,-9,3.9,-0.85,45.5,1
Dameon Pierce,HOU,5.87,13.33,3.16,15,41,-6,2.7,-0.4,26.7,1
Antonio Gibson,WAS,4.34,--,3.1,10,35,3,3.5,0.26,40,0
Austin Ekeler,LAC,10.93,14.29,2.79,14,18,-35,1.3,-2.48,14.3,0
Breece Hall,NYJ,14.04,15.38,2.85,13,16,-20,1.2,-1.67,25,0
