PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Kyren Williams,LAR,2.66,--,2.64,20,158,60,7.9,3.01,60,1
Raheem Mostert,MIA,3.24,23.53,2.9,17,115,55,6.8,3.21,52.9,2
Derrick Henry,TEN,2.62,50,3.05,12,97,50,8.1,4.13,25,1
Saquon Barkley,NYG,3.94,8.33,2.9,24,93,27,3.9,1.17,39.1,0
Chuba Hubbard,CAR,3.27,5.26,2.45,19,88,16,4.6,0.82,52.6,1
Jerome Ford,CLE,4.09,11.76,3.02,17,84,-10,4.9,-0.57,29.4,0
Josh Jacobs,LV,4.82,24,2.67,25,77,-4,3.1,-0.16,36,0
James Cook,BUF,3.23,7.14,2.45,14,71,14,5.1,1.05,69.2,0
Alvin Kamara,NO,4.49,36.84,2.46,19,68,-9,3.6,-0.45,31.6,0
D'Onta Foreman,CHI,3.55,20,2.62,15,65,7,4.3,0.49,60,0
Isiah Pacheco,KC,4.47,--,2.86,16,62,3,3.9,0.22,62.5,0
Kenneth Walker,SEA,4.69,5.26,2.79,19,62,-22,3.3,-1.22,33.3,1
Devin Singletary,HOU,3.44,41.67,2.77,12,58,5,4.8,0.4,41.7,0
Travis Etienne,JAX,5.4,22.22,2.81,18,55,2,3.1,0.11,41.2,2
Javonte Williams,DEN,3.35,20,2.72,10,52,5,5.2,0.49,50,0
Tyler Allgeier,ATL,4.22,38.46,3.04,13,51,-7,3.9,-0.53,30.8,0
Kareem Hunt,CLE,3.87,--,2.81,12,47,2,3.9,0.2,25,1
Rhamondre Stevenson,NE,3.06,10,2.32,10,46,-11,4.6,-1.06,30,1
Latavius Murray,BUF,3.14,50,2.66,12,45,5,3.8,0.41,41.7,0
Alexander Mattison,MIN,7.03,33.33,3.06,18,44,-21,2.4,-1.16,27.8,0
Christian McCaffrey,SF,4.83,54.55,3.19,11,43,18,3.9,1.63,45.5,0
Gus Edwards,BAL,4.85,25,2.81,16,41,-9,2.6,-0.56,43.8,0
Keaontay Ingram,ARI,4.26,--,2.88,10,40,-14,4,-1.41,20,0
Breece Hall,NYJ,4.16,--,2.75,12,39,-9,3.3,-0.76,16.7,1
Joe Mixon,CIN,3.58,8.33,2.35,12,38,1,3.2,0.06,58.3,0
Bijan Robinson,ATL,6.34,30.77,2.95,13,37,-12,2.8,-0.95,23.1,0
Dameon Pierce,HOU,5.18,30.77,2.95,13,34,-3,2.6,-0.25,46.2,0
Brian Robinson,WAS,5.46,10,3.16,10,31,2,3.1,0.17,30,0
Tony Pollard,DAL,6.45,6.67,2.73,15,30,-16,2,-1.16,14.3,0
Austin Ekeler,LAC,6.22,14.29,2.94,14,27,-16,1.9,-1.14,7.1,0
D'Andre Swift,PHI,7.82,20,2.71,10,18,-35,1.8,-3.46,20,0
Craig Reynolds,DET,10.24,40,3.17,10,15,-11,1.5,-1.12,20,0
