PLAYER NAME,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,+/-
D.J. Moore,CHI,WR,4.8,2.1,13.4,50.23,8,10,80,230,3,17.8,7.5,10.3
Ja'Marr Chase,CIN,WR,7,3.2,9.1,55.08,15,19,78.95,192,3,5.8,5.9,-0.1
Tyreek Hill,MIA,WR,3.5,4,6.6,44.73,8,9,88.89,181,1,18.5,10.5,8
DeAndre Hopkins,TEN,WR,4.8,2.9,15.7,57.59,8,10,80,140,0,3.8,5.6,-1.8
George Pickens,PIT,WR,3.4,1.1,20.6,66.98,6,10,60,130,1,3.4,2.4,1
A.J. Brown,PHI,WR,6.2,2,17.3,53.08,6,8,75,127,0,6.4,1.5,4.9
Calvin Ridley,JAX,WR,5.1,2.5,16,42.35,7,8,87.5,122,0,1.7,2.9,-1.2
Stefon Diggs,BUF,WR,6,2.9,16.1,42.03,8,11,72.73,121,1,1.7,5.1,-3.4
Cooper Kupp,LAR,WR,6.7,2.2,10.3,38.25,8,12,66.67,118,0,7.2,4.6,2.6
Dallas Goedert,PHI,TE,5.9,3.7,7.3,25.21,8,9,88.89,117,1,7.4,5.4,1.9
Adam Thielen,CAR,WR,5.9,3,6.7,34.66,11,13,84.62,107,1,4.4,4.8,-0.4
Gabe Davis,BUF,WR,7.2,2.7,14.2,26.95,6,8,75,100,1,0.9,1.8,-0.9
Josh Downs,IND,WR,5.4,5.2,8.4,31.62,6,6,100,97,0,7.8,7.3,0.5
Christian Watson,GB,WR,8.8,3.2,26.2,71.48,3,7,42.86,91,0,17.5,2.2,15.3
Kyle Pitts,ATL,TE,5.5,2.3,11,42.16,7,11,63.64,87,0,1,1.4,-0.4
Darren Waller,NYG,TE,7.7,1.8,9.8,50.74,8,11,72.73,86,0,4.6,7.2,-2.6
Christian Kirk,JAX,WR,6.6,4.5,6.8,17.89,6,8,75,78,0,4.6,6.8,-2.1
Drake London,ATL,WR,6.5,2.9,10.2,32.14,6,9,66.67,78,0,2.9,2.4,0.5
Logan Thomas,WAS,TE,7.2,4.7,7.1,20.2,9,11,81.82,77,1,4.5,3.9,0.6
Josh Reynolds,DET,WR,4.6,1.9,13.2,44.96,4,5,80,76,1,7.9,5.8,2.1
Jakobi Meyers,LV,WR,6.9,2.2,9.4,63.03,7,10,70,75,1,2.7,3.8,-1.1
Zay Flowers,BAL,WR,8.5,4,14.9,38.88,5,11,45.45,73,0,2.5,2.3,0.2
Puka Nacua,LAR,WR,5.4,1.9,12.1,41.09,7,11,63.64,71,1,2,2.6,-0.6
