PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Christian McCaffrey,SF,3.01,25,3.03,16,145,97,9.1,6.08,50,0
Kyren Williams,LAR,3.85,24,2.49,25,114,7,4.6,0.28,45.8,0
Rachaad White,TB,3.26,4,2.62,25,102,-25,4.1,-1.2,38.1,0
Raheem Mostert,MIA,5.1,14.29,3.08,21,96,4,4.6,0.2,30,2
Chuba Hubbard,CAR,3.97,4.35,2.97,23,87,-11,3.8,-0.48,43.5,0
Saquon Barkley,NYG,3.99,25,2.8,20,86,37,4.3,1.83,50,2
Joe Mixon,CIN,3.95,23.81,2.45,21,79,-4,3.8,-0.18,47.6,1
Miles Sanders,CAR,2.96,10,3.19,10,74,31,7.4,3.48,33.3,0
Ezekiel Elliott,NE,3.82,59.09,2.71,22,68,-2,3.1,-0.08,50,0
Jahmyr Gibbs,DET,3.69,27.27,3.16,11,66,11,6,0.98,45.5,1
Javonte Williams,DEN,4.82,5.88,3.19,17,66,-3,3.9,-0.18,29.4,1
Alexander Mattison,MIN,2.46,--,2.52,10,66,23,6.6,2.34,70,0
David Montgomery,DET,2.68,20,2.44,10,66,5,6.6,0.53,60,0
Devin Singletary,HOU,3,23.08,2.79,13,65,16,5,1.25,46.2,1
Tony Pollard,DAL,4.08,12.5,2.76,16,59,-2,3.7,-0.15,50,0
James Cook,BUF,2.92,10,2.64,10,58,-4,5.8,-0.43,30,0
Alvin Kamara,NO,3.56,8.33,2.53,12,56,-3,4.7,-0.28,41.7,1
A.J. Dillon,GB,3.93,6.67,2.78,15,53,-18,3.5,-1.17,33.3,0
Austin Ekeler,LAC,3.06,--,2.43,10,51,-2,5.1,-0.2,50,1
Jerome Ford,CLE,5.06,25,3.5,12,51,17,4.3,1.39,58.3,0
D'Onta Foreman,CHI,3.43,9.09,2.4,11,50,6,4.5,0.55,60,0
Rico Dowdle,DAL,3.49,8.33,2.33,12,46,-2,3.8,-0.18,41.7,1
Jamaal Williams,NO,3.7,18.18,2.68,11,43,1,3.9,0.11,36.4,0
Breece Hall,NYJ,4.85,20,3.11,10,40,7,4,0.81,33.3,0
D'Andre Swift,PHI,3.86,9.09,2.56,11,39,-35,3.5,-3.16,18.2,0
Clyde Edwards-Helaire,KC,4.31,--,2.74,11,39,-12,3.5,-1.11,36.4,0
Ty Chandler,MIN,4.14,33.33,2.71,12,35,-8,2.9,-0.66,41.7,0
Travis Etienne,JAX,6.54,35.71,3.21,14,35,-21,2.5,-1.52,28.6,1
Josh Jacobs,LV,5.57,23.08,2.87,13,34,-14,2.6,-1.15,25,0
Derrick Henry,TEN,6.72,23.53,2.94,17,34,-22,2,-1.3,17.6,2
Bijan Robinson,ATL,4.38,20,2.75,10,34,-11,3.4,-1.22,22.2,1
Najee Harris,PIT,5.54,8.33,2.76,12,29,-13,2.4,-1.1,16.7,0
Zack Moss,IND,6.06,7.69,2.72,13,28,-19,2.2,-1.48,23.1,0
Kareem Hunt,CLE,6.04,40,2.81,10,27,-15,2.7,-1.49,40,1
