PLAYER NAME,TEAM,EFF,8+D%,TLOS,ATT,YDS,RYOE,AVG,RYOE/ATT,ROE%,TD
Breece Hall,NYJ,2.44,18.18,2.65,22,177,75,8,3.42,45.5,1
Zack Moss,IND,2.36,21.74,2.62,23,165,77,7.2,3.36,65.2,2
Devon Achane,MIA,2.43,9.09,3.28,11,151,82,13.7,7.48,54.5,1
Travis Etienne,JAX,3.33,11.54,2.92,26,136,37,5.2,1.42,38.5,2
David Montgomery,DET,3.35,10.53,2.66,19,109,30,5.7,1.68,38.9,1
Joe Mixon,CIN,4.38,28,2.58,25,81,-3,3.2,-0.13,44,0
Alvin Kamara,NO,3.72,9.09,2.36,22,80,-16,3.6,-0.71,27.3,1
A.J. Dillon,GB,3.53,30,2.46,20,76,4,3.8,0.23,42.1,1
Khalil Herbert,CHI,2.63,20,2.74,10,76,22,7.6,2.15,30,0
D'Andre Swift,PHI,4.17,11.76,2.84,17,70,-17,4.1,-1.05,25,0
Josh Jacobs,LV,4.07,40,2.84,20,69,2,3.5,0.08,36.8,1
Jordan Mason,SF,2.63,70,2.56,10,69,35,6.9,3.49,80,1
Dameon Pierce,HOU,4.43,10,2.79,20,66,-24,3.3,-1.29,21.1,0
Raheem Mostert,MIA,3.9,10,3.01,10,65,25,6.5,2.75,66.7,1
Isiah Pacheco,KC,3.42,18.75,2.71,16,55,0,3.4,0.02,43.8,1
Kyren Williams,LAR,3.96,--,2.61,13,53,-24,4.1,-2.02,25,0
Christian McCaffrey,SF,5.59,52.63,2.66,19,51,-7,2.7,-0.41,44.4,1
Gus Edwards,BAL,3.56,25,2.69,12,48,3,4,0.24,41.7,0
Bijan Robinson,ATL,6.66,42.86,3.22,14,46,-14,3.3,-0.97,35.7,0
Emari Demercado,ARI,3.62,10,2.81,10,45,8,4.5,0.78,60,1
Derrick Henry,TEN,4.8,30.77,2.69,13,43,-12,3.3,-1.1,36.4,0
Tyler Allgeier,ATL,6.36,47.06,2.98,17,40,-13,2.4,-0.81,31.3,0
Kendre Miller,NO,5.98,33.33,3.02,12,37,-12,3.1,-1.09,18.2,0
Najee Harris,PIT,5.25,35.71,2.56,14,37,-6,2.6,-0.47,23.1,0
Eric Gray,NYG,6.74,--,2.42,12,25,-15,2.1,-1.38,27.3,0
