"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Maxx Williams","76","252","46","15","59","31","4","17","0.36","88","2.04","77.7","27","Rayshawn Jenkins","73","220","70","14","0.19","70","0.87","61.2"
"Kyle Pitts","78","240","71","4","30","43","27","17","0.27","75","1.46","64.6","31","Tae Crowder","75","235","39","18","0.38","86","2.23","45.8"
"Mark Andrews","77","256","62","","35","48","15","15","0.25","89","1.24","67.5","-4","Jamie Collins Sr.","75","250","44","9","0.37","100","1.43","64.7"
"Dawson Knox","76","254","53","4","35","31","20","13","0.34","86","1.09","68.2","24","Jon Bostic","73","245","55","16","0.35","100","1.85","45"
"Ian Thomas","75","260","25","38","88","5","7","16","0.18","50","0.96","50.5","-29","Christian Kirksey","74","235","77","10","0.14","75","0.65","72.2"
"Cole Kmet","78","258","52","13","43","42","15","13","0.2","86","0.81","58.7","-20","Jeremiah Owusu-Koramoah","74","215","27","15","0.2","75","0.93","67.8"
"C.J. Uzomah","78","265","50","6","55","17","26","8","0.16","100","0.78","59.2","-13","Robert Spillane","73","229","28","11","0.11","67","0.39","63.4"
"Austin Hooper","76","254","33","13","58","37","5","24","0.45","100","2.03","75.8","-2","Roquan Smith","73","225","52","17","0.26","78","1.29","78.7"
"Dalton Schultz","77","244","54","10","60","33","7","15","0.26","100","1.17","69.5","27","Eric Wilson","73","230","62","13","0.21","88","1","49.9"
"Noah Fant","76","249","55","5","69","24","5","24","0.46","77","1.73","71.7","18","Quincy Williams","71","226","26","19","0.38","100","1.85","47.2"
"T.J. Hockenson","77","247","89","4","26","68","6","22","0.5","80","1.83","81.8","36","Patrick Queen","73","227","76","17","0.31","85","1.63","41.8"
"Robert Tonyan","77","237","41","","37","44","20","17","0.41","71","1.46","59.9","34","Azeez Al-Shaair","74","228","67","27","0.44","72","1.61","42.9"
"Pharaoh Brown","78","258","29","22","73","19","5","21","0.37","67","2.31","73.5","-3","Shaq Thompson","72","230","63","17","0.16","45","0.78","78.4"
"Jack Doyle","78","262","56","8","38","46","15","21","0.29","67","1.52","71.2","12","Rashaan Evans","74","232","40","17","0.28","86","1.32","41.1"
"Luke Farrell","78","258","23","15","37","52","7","9","0.07","50","0.26","48.6","-27","Isaiah Simmons","76","230","58","12","0.16","71","0.72","72.9"
"Travis Kelce","77","260","63","3","12","52","35","24","0.79","87","2.94","92.2","63","Kyzir White","74","218","36","19","0.39","100","1.94","60.7"
"Tyler Higbee","78","255","50","15","49","25","22","14","0.27","86","1.52","67.1","25","Devin White","72","237","95","14","0.3","92","1.08","51.4"
"Jared Cook","77","254","60","8","42","43","15","22","0.27","62","1.4","57.4","39","Daniel Sorensen","74","208","54","9","0.2","80","1.24","33.3"
"Darren Waller","78","255","92","4","50","31","19","27","0.41","60","1.85","64.1","0","Eric Rowe","73","205","43","21","0.29","78","1.26","77.6"
"Mike Gesicki","78","245","54","2","2","76","22","17","0.13","33","0.76","65.2","37","Cory Littleton","75","228","54","13","0.26","100","1.28","33.5"
"Tyler Conklin","75","254","55","17","82","11","6","15","0.21","75","1.02","54.2","2","Jordyn Brooks","73","245","70","14","0.2","80","0.87","52.1"
"Hunter Henry","77","250","48","13","31","51","15","15","0.26","71","1.52","66","-24","Demario Davis","74","248","58","9","0.14","80","0.69","80.6"
"Adam Trautman","78","253","29","9","56","22","22","17","0.17","60","0.62","40.4","-38","Kyle Dugger","74","220","52","6","0.06","67","0.23","68.9"
"Kyle Rudolph","78","265","50","15","36","58","7","14","0.15","57","0.66","53.9","0","Deion Jones","73","227","65","14","0.41","100","1.83","55"
"Tyler Kroft","78","252","49","18","62","22","12","14","0.15","57","0.69","46.3","-41","Justin Strnad","75","235","13","15","0.3","100","1.46","68.2"
"Dallas Goedert","76","260","41","11","50","46","4","17","0.45","86","1.61","79.3","11","Jaylon Smith","74","245","39","18","0.32","86","1.69","58.5"
"Eric Ebron","76","253","37","5","82","15","3","8","0.08","33","0.51","47.1","-31","Logan Wilson","74","250","68","12","0.17","88","0.65","77.7"
"Gerald Everett","75","240","45","8","47","39","14","7","0.25","100","0.51","60.4","-9","Eric Kendricks","72","232","65","11","0.23","100","1.18","72"
"George Kittle","76","250","45","24","64","25","7","20","0.39","89","2.11","69.9","19","Krys Barnes","73","235","29","17","0.28","100","1.1","53.1"
"Rob Gronkowski","78","268","62","13","70","15","11","23","0.79","86","2.08","90.2","58","Kenny Young","73","234","64","12","0.15","75","0.53","66.9"
"Geoff Swaim","76","260","29","29","76","17","5","10","0.1","67","0.34","35.9","-42","Bobby Okereke","73","239","56","5","0.11","100","0.57","57.3"
"Logan Thomas","78","250","70","8","20","70","7","14","0.31","80","1.07","60.5","-15","Tremaine Edmunds","77","250","60","5","0.08","100","0.33","57.6"
