"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","77","250","189","3","38","48","13","20","0.38","68","1.57","66.4","0","Demetrius Flannigan-Fowles","74","209","34","15","0.21","80","0.94","61.2"
"Kyle Pitts","78","240","237","2","20","47","34","21","0.37","67","2.04","80.8","21","Demario Davis","74","248","228","14","0.21","69","0.83","76.1"
"Mark Andrews","77","256","225","2","31","52","17","22","0.47","76","2.29","91.2","0","Eric Kendricks","72","232","247","11","0.21","78","0.98","77.9"
"Tommy Sweeney","76","251","56","16","57","25","10","14","0.29","88","0.61","58.5","21","Myles Jack","73","244","157","11","0.26","82","0.92","46.2"
"Tommy Tremble","76","242","109","9","52","41","7","12","0.19","62","0.66","58.6","-9","Kyle Dugger","74","220","239","10","0.18","72","0.78","58.8"
"Cole Kmet","78","258","198","13","40","47","10","17","0.21","65","0.99","56","-43","Joe Schobert","73","245","190","12","0.21","70","0.9","67.1"
"C.J. Uzomah","78","265","210","9","55","25","15","11","0.38","91","1.38","66.6","13","Malcolm Smith","72","225","121","14","0.39","88","1.19","60.9"
"Austin Hooper","76","254","146","18","66","28","6","18","0.28","69","1.16","72.8","4","Logan Wilson","74","250","294","15","0.3","84","1.49","57.7"
"Dalton Schultz","77","244","191","9","51","39","8","22","0.46","79","1.94","84.8","36","Justin Simmons","74","202","289","9","0.16","69","0.78","62.7"
"Albert Okwuegbunam","77","255","65","14","75","14","8","20","0.42","92","1.4","70.4","-10","Jayron Kearse","76","215","242","11","0.22","78","0.81","73.6"
"Marcedes Lewis","78","267","76","22","93","1","6","14","0.26","82","1.42","74.7","20","Tyrann Mathieu","69","185","248","6","0.07","64","0.34","67.5"
"Jordan Akins","76","243","156","9","63","25","10","15","0.24","79","1.13","58.1","-22","Brandon Jones","72","205","149","7","0.16","100","0.92","60.6"
"Jack Doyle","78","262","152","11","48","39","12","13","0.21","65","0.89","67.9","14","C.J. Mosley","74","250","207","18","0.33","92","1.4","41.3"
"Dan Arnold","78","220","169","6","22","66","11","20","0.31","76","1.61","59.8","-5","Tremaine Edmunds","77","250","226","13","0.29","90","1.23","54.6"
"Travis Kelce","77","260","328","4","28","42","30","21","0.39","70","1.71","81.7","54","Krys Barnes","73","235","78","17","0.35","92","1.19","45.8"
"Tyler Higbee","78","255","235","10","55","22","22","15","0.29","83","1.15","65.6","29","Monty Rice","73","235","36","17","0.23","83","0.92","51.1"
"Jared Cook","77","254","210","5","32","50","17","18","0.29","62","1.24","60.6","26","Alex Singleton","74","232","214","19","0.46","93","1.71","44.5"
"Darren Waller","78","255","230","5","54","26","19","23","0.36","63","1.64","62.9","12","Reggie Ragland","74","252","124","13","0.18","81","0.77","61.8"
"Mike Gesicki","78","245","270","2","5","68","27","20","0.37","75","1.76","72.5","27","Christian Kirksey","74","235","257","11","0.22","71","0.97","48.5"
"Tyler Conklin","75","254","202","17","83","10","5","17","0.31","77","1.47","63.5","-14","Chuck Clark","72","205","269","6","0.15","76","0.59","69.4"
"Hunter Henry","77","250","210","14","27","61","11","17","0.37","71","1.41","69.9","17","Jermaine Carter","72","225","210","10","0.17","81","0.64","55.6"
"Adam Trautman","78","253","133","20","59","27","13","13","0.16","65","0.78","59.2","-10","Deion Jones","73","227","230","16","0.34","92","1.47","57.5"
"Evan Engram","75","240","183","5","27","68","6","16","0.26","77","1.02","53.8","-8","Cory Littleton","75","228","201","18","0.27","86","1.17","50.5"
"Tyler Kroft","78","252","114","18","59","25","11","11","0.18","67","0.58","55","-35","Darius Leonard","74","234","261","13","0.22","68","0.87","75.4"
"Dallas Goedert","76","260","175","7","46","44","10","17","0.41","83","2.05","86.1","39","Amen Ogbongbemiga","73","235","20","15","0.29","100","1.4","32.2"
"Pat Freiermuth","77","258","134","6","59","30","10","19","0.4","85","1.51","76.8","24","Roquan Smith","73","225","247","15","0.19","72","0.84","53.4"
"Charlie Woerner","77","245","40","22","80","16","4","12","0.2","80","1.02","75.4","7","Isaiah Simmons","76","230","234","14","0.2","76","0.89","55.9"
"Geoff Swaim","76","260","95","27","76","16","4","16","0.26","73","0.8","52.4","-23","Ernest Jones","74","230","65","11","0.15","86","0.6","60.5"
