"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Dawson Knox","76","254","90","4","37","31","16","13","0.36","83","1.19","64.5","8","Christian Kirksey","74","235","111","10","0.15","73","0.79","60.5"
"Ian Thomas","75","260","34","37","89","6","6","12","0.13","50","0.71","45.4","-13","Leighton Vander Esch","76","256","58","17","0.3","80","1.6","48.8"
"Cole Kmet","78","258","79","11","43","45","12","13","0.16","70","0.67","53.4","22","Derrick Barnes","73","245","15","33","0.66","80","3.93","27.2"
"C.J. Uzomah","78","265","64","4","54","19","25","8","0.12","80","0.61","55.1","4","Myles Jack","73","244","95","12","0.23","82","0.77","52.9"
"Austin Hooper","76","254","53","16","57","37","6","21","0.46","91","1.62","77.1","10","Eric Kendricks","72","232","99","9","0.21","100","1.14","70.5"
"Dalton Schultz","77","244","74","10","61","33","6","20","0.54","93","1.93","83.3","4","Shaq Thompson","72","230","86","16","0.17","57","0.76","86.3"
"Noah Fant","76","249","74","9","67","26","5","22","0.39","75","1.49","69.7","-16","Chuck Clark","72","205","116","8","0.17","78","0.55","78.3"
"T.J. Hockenson","77","247","114","6","26","64","9","19","0.41","82","1.52","75.5","15","Roquan Smith","73","225","89","19","0.28","71","1.49","50.6"
"Robert Tonyan","77","237","65","2","38","42","20","12","0.29","75","1.02","55.4","14","Devin Bush","71","234","57","18","0.35","80","1.05","53"
"Pharaoh Brown","78","258","37","24","76","16","4","16","0.29","67","1.81","73.5","-22","Matt Milano","72","223","95","11","0.11","60","0.44","89.9"
"Jack Doyle","78","262","75","6","38","45","16","19","0.25","64","1.27","68.1","-26","Eric Rowe","73","205","68","18","0.23","75","0.99","78.2"
"Dan Arnold","78","220","59","","10","81","8","19","0.26","64","1.42","62.3","-17","Logan Wilson","74","250","117","14","0.19","81","0.81","73.3"
"Travis Kelce","77","260","106","4","23","41","36","25","0.63","77","2.73","92.6","93","Eric Wilson","73","230","80","14","0.22","82","1.02","32.6"
"Tyler Higbee","78","255","78","12","48","24","26","15","0.36","92","1.46","64.4","4","Isaiah Simmons","76","230","88","14","0.19","75","0.91","70.5"
"Jared Cook","77","254","92","6","37","45","18","17","0.23","62","1.21","52.6","25","Cory Littleton","75","228","93","20","0.29","79","1.26","46.1"
"Darren Waller","78","255","132","4","51","28","21","24","0.37","62","1.7","65.8","30","Kenneth Murray","74","243","69","12","0.28","88","0.9","49"
"Mike Gesicki","78","245","95","3","4","73","22","22","0.27","62","1.34","71.1","-9","Darius Leonard","74","234","84","12","0.26","60","0.46","69.4"
"Tyler Conklin","75","254","79","16","77","14","7","20","0.4","81","1.59","64.5","-25","Jeremiah Owusu-Koramoah","74","215","39","18","0.19","57","0.9","88.7"
"Hunter Henry","77","250","86","13","22","66","10","15","0.24","77","1.27","65.2","23","Devin White","72","237","127","17","0.3","81","1.14","37.3"
"Adam Trautman","78","253","43","17","63","17","19","14","0.11","50","0.42","53.3","-11","Tae Crowder","75","235","74","16","0.31","83","1.72","57"
"Evan Engram","75","240","30","3","26","71","3","13","0.14","50","0.7","44.6","-39","Demario Davis","74","248","94","15","0.18","71","0.76","83.8"
"Tyler Kroft","78","252","65","16","60","25","10","14","0.16","67","0.71","49.3","2","Rashaan Evans","74","232","57","16","0.26","89","1.23","33.3"
"Dallas Goedert","76","260","66","8","50","40","10","17","0.41","73","2","75.5","24","Daniel Sorensen","74","208","88","14","0.31","75","1.36","42.1"
"Eric Ebron","76","253","75","4","79","19","1","8","0.04","17","0.25","38.3","-17","Krys Barnes","73","235","34","15","0.24","100","0.94","58.1"
"Gerald Everett","75","240","71","10","47","43","10","11","0.31","100","1.08","62.5","5","Azeez Al-Shaair","74","228","93","28","0.43","77","1.54","51.9"
"George Kittle","76","250","81","21","60","29","7","22","0.42","83","2.31","80.4","37","Jordyn Brooks","73","245","93","17","0.34","81","1.37","50.3"
"Rob Gronkowski","78","268","89","14","69","19","10","24","0.66","76","2.07","78.2","53","Kyle Dugger","74","220","73","5","0.04","50","0.16","65.3"
"Geoff Swaim","76","260","41","27","73","16","4","17","0.21","71","0.9","39.1","-21","Quincy Williams","71","226","51","14","0.28","100","1.47","46.7"
"Logan Thomas","78","250","100","7","18","72","7","14","0.36","86","1.17","61.7","-1","Deion Jones","73","227","103","15","0.37","93","1.74","56.2"
"Maxx Williams","76","252","67","17","58","32","2","16","0.32","91","1.69","71.7","8","Kenny Young","73","234","114","18","0.27","90","1.13","66.2"
"Kyle Pitts","78","240","104","4","28","44","28","14","0.24","73","1.34","65.6","49","Jon Bostic","73","245","78","21","0.44","94","2.53","30.6"
"Mark Andrews","77","256","92","2","38","50","11","17","0.34","81","2.02","73.8","-3","Justin Strnad","75","235","38","26","0.25","60","0.92","54.8"
