"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Darrell Daniels","75","256","27","10","53","30","7","","","","","56.5","5","Christian Kirksey","74","235","192","10","0.17","80","0.9","55.7"
"Kyle Pitts","78","240","174","3","22","48","30","20","0.35","71","1.77","76.3","36","Brandon Jones","72","205","96","7","0.18","100","1.11","57.8"
"Mark Andrews","77","256","192","2","33","52","15","22","0.51","81","2.44","91.8","2","Logan Wilson","74","250","207","13","0.2","85","0.98","73.9"
"Tommy Tremble","76","242","74","11","53","39","8","9","0.18","43","0.57","57.2","-8","Reggie Ragland","74","252","93","12","0.14","73","0.58","62.7"
"Cole Kmet","78","258","135","14","42","45","11","16","0.2","64","0.96","58","-15","Devin White","72","237","227","18","0.31","80","1.13","46"
"C.J. Uzomah","78","265","151","5","54","26","19","11","0.32","88","1.09","62.1","-9","Chuck Clark","72","205","231","7","0.13","75","0.55","72.5"
"Austin Hooper","76","254","111","18","62","30","6","16","0.25","67","0.91","70.9","15","Justin Strnad","75","235","96","19","0.22","61","1.01","47"
"Noah Fant","76","249","196","7","69","23","6","21","0.38","73","1.39","60.9","-28","Sione Takitaki","73","238","32","16","0.1","60","0.03","69.8"
"T.J. Hockenson","77","247","224","5","33","55","11","19","0.34","74","1.39","72.9","1","Kenny Young","73","234","195","15","0.27","93","1.26","59.5"
"Robert Tonyan","77","237","142","1","41","41","18","13","0.18","61","0.65","48.4","14","Jamin Davis","76","234","98","9","0.16","100","0.66","50.6"
"Pharaoh Brown","78","258","79","23","83","10","5","18","0.24","64","1.3","63.2","-4","Isaiah Simmons","76","230","188","12","0.17","74","0.84","59.2"
"Jack Doyle","78","262","105","11","39","47","13","16","0.22","65","1.17","72.8","0","Azeez Al-Shaair","74","228","142","22","0.43","74","1.38","55.9"
"Travis Kelce","77","260","236","4","25","44","31","22","0.46","73","1.98","87.3","87","Rashaan Evans","74","232","125","11","0.17","79","0.82","29.9"
"Tyler Higbee","78","255","170","11","53","23","23","15","0.32","88","1.18","66.7","48","Alex Anzalone","75","241","173","10","0.21","82","0.91","38.7"
"Darren Waller","78","255","230","5","54","26","19","23","0.36","63","1.64","62.9","35","Eric Wilson","73","230","144","15","0.25","76","0.97","34.5"
"Mike Gesicki","78","245","190","3","6","70","24","22","0.37","73","1.8","71.1","16","Deion Jones","73","227","170","13","0.34","95","1.48","54.9"
"Hunter Henry","77","250","154","15","25","62","12","18","0.42","79","1.56","71.5","25","Quincy Williams","71","226","141","17","0.26","79","1.22","44.1"
"Adam Trautman","78","253","74","18","57","24","17","12","0.17","67","0.86","61.9","2","Jordyn Brooks","73","245","170","16","0.32","86","1.47","49.6"
"Evan Engram","75","240","131","4","25","72","4","15","0.2","74","0.97","53.4","-24","Julian Stanford","73","230","28","4","0.01","100","-0.25","67.1"
"Ryan Griffin","78","264","79","25","68","22","4","18","0.16","57","0.62","44.1","-36","Kyle Dugger","74","220","171","11","0.18","68","0.7","59.9"
"Dallas Goedert","76","260","124","8","46","44","10","15","0.39","79","1.74","75.2","9","Cory Littleton","75","228","183","20","0.3","86","1.28","55.6"
"Gerald Everett","75","240","90","9","47","40","12","11","0.31","100","1.3","62.9","-20","Pete Werner","75","242","87","14","0.14","75","0.4","76.1"
"Ross Dwelley","77","240","42","18","67","24","8","7","0.32","100","1.1","57.2","-27","Darius Leonard","74","234","197","13","0.25","69","0.93","76.6"
"O.J. Howard","78","251","64","24","77","15","6","19","0.41","83","1.56","53.5","27","Roquan Smith","73","225","190","15","0.21","75","1.03","57.6"
"Geoff Swaim","76","260","65","30","78","13","4","14","0.16","67","0.69","46.5","-30","Tyrann Mathieu","69","185","184","6","0.08","64","0.38","68.1"
"Ricky Seals-Jones","77","243","117","13","25","54","14","15","0.32","67","1.17","68","-1","Oren Burks","75","233","58","9","0.1","80","0.34","57.7"
