Player,Position,Injuries,Practice Status,Game Status
John Franklin-Myers,DE,,Full Participation in Practice,
D.J. Jones,DT,,Full Participation in Practice,
Jaleel McLaughlin,RB,Quadricep,Did Not Participate In Practice,Out
Riley Moss,CB,Knee,Limited Participation in Practice,Out
Pat Surtain II,CB,,Full Participation in Practice,
Chargers,,,,
Player,Position,Injuries,Practice Status,Game Status
Will Dissly,TE,Shoulder,Did Not Participate In Practice,Out
Kristian Fulton,CB,,Full Participation in Practice,
Cam Hart,CB,Concussion,Did Not Participate In Practice,Out
Justin Herbert,QB,,Full Participation in Practice,
Hayden Hurst,TE,Hip,Full Participation in Practice,Questionable
Zion Johnson,G,Ankle,Full Participation in Practice,Questionable
Marcus Maye,S,Ankle,,Questionable
Elijah Molden,CB,Knee,Did Not Participate In Practice,Doubtful
Otito Ogbonnia,DT,Pelvis,Limited Participation in Practice,Questionable
Denzel Perryman,LB,Groin,Full Participation in Practice,Questionable
"SATURDAY, DECEMBER 21ST",,,,
1:00 PM,,,,
EST,,,,
,,,,
"NBC, TELEMUNDO, UNIVERSO",,,,
,,,,
,,,,
Texans,,,,
,,,,
(9-5),,,,
,,,,
Chiefs,,,,
,,,,
(13-1),,,,
Texans,,,,
Player,Position,Injuries,Practice Status,Game Status
Nick Broeker,G,,Full Participation in Practice,
Foley Fatukasi,DT,Ankle,Did Not Participate In Practice,Out
Kenyon Green,G,,Full Participation in Practice,
Christian Harris,LB,Ankle,Did Not Participate In Practice,Questionable
John Metchie III,WR,Shoulder,Did Not Participate In Practice,Out
Davis Mills,QB,,Full Participation in Practice,
Joe Mixon,RB,,Limited Participation in Practice,
Del'Shawn Phillips,LB,,Full Participation in Practice,
Juice Scruggs,C,Foot,Did Not Participate In Practice,Out
Cade Stover,TE,Illness,Did Not Participate In Practice,Out
Chiefs,,,,
Player,Position,Injuries,Practice Status,Game Status
Marquise Brown,WR,,Full Participation in Practice,
Harrison Butker,K,,Full Participation in Practice,
Leo Chenal,LB,Illness,,Questionable
Chamarri Conner,CB,Concussion,Did Not Participate In Practice,Out
Creed Humphrey,C,,Full Participation in Practice,
D.J. Humphries,T,Hamstring,Did Not Participate In Practice,Out
Patrick Mahomes,QB,,Full Participation in Practice,
Jawaan Taylor,T,,Full Participation in Practice,
4:30 PM,,,,
EST,,,,
,,,,
"FOX, FOX DEPORTES",,,,
,,,,
,,,,
Steelers,,,,
,,,,
(10-4),,,,
,,,,
Ravens,,,,
,,,,
(9-5),,,,
Steelers,,,,
Player,Position,Injuries,Practice Status,Game Status
DeShon Elliott,S,Hamstring,Limited Participation in Practice,Doubtful
Justin Fields,QB,Abdomen,Did Not Participate In Practice,Out
Cameron Heyward,DT,,Full Participation in Practice,
Donte Jackson,CB,Back,Limited Participation in Practice,Questionable
Larry Ogunjobi,DT,Groin,Limited Participation in Practice,Questionable
George Pickens,WR,Hamstring,Did Not Participate In Practice,Out
Patrick Queen,LB,,Full Participation in Practice,
Elandon Roberts,LB,,Full Participation in Practice,
T.J. Watt,LB,,Full Participation in Practice,
Ravens,,,,
Player,Position,Injuries,Practice Status,Game Status
Nelson Agholor,WR,Concussion,Did Not Participate In Practice,Questionable
Jalyn Armour-Davis,CB,Hamstring,Did Not Participate In Practice,Out
Rashod Bateman,WR,Foot,Did Not Participate In Practice,Questionable
Daniel Faalele,G,Knee,Limited Participation in Practice,Questionable
Justice Hill,RB,,Full Participation in Practice,
Adisa Isaac,LB,,Full Participation in Practice,
Diontae Johnson,WR,Not injury related - personal matter,Did Not Participate In Practice,Out
Sanoussi Kane,S,,Full Participation in Practice,
Odafe Oweh,LB,Ankle,Limited Participation in Practice,Questionable
T.J. Tampa,CB,,Full Participation in Practice,
Ar'Darius Washington,S,,Full Participation in Practice,
"SUNDAY, DECEMBER 22ND",,,,
1:00 PM,,,,
EST,,,,
,,,,
FOX,,,,
,,,,
,,,,
Eagles,,,,
,,,,
(12-2),,,,
,,,,
Commanders,,,,
,,,,
(9-5),,,,
Eagles,,,,
Player,Position,Injuries,Practice Status,Game Status
Saquon Barkley,RB,,Full Participation in Practice,
Mekhi Becton,T,,Full Participation in Practice,
A.J. Brown,WR,,Limited Participation in Practice,
Sydney Brown,S,Concussion,Full Participation in Practice,Questionable
Britain Covey,WR,Neck,Full Participation in Practice,Out
Landon Dickerson,G,,Limited Participation in Practice,
Bryce Huff,DE,Wrist,Limited Participation in Practice,Out
Jalen Hurts,QB,,Full Participation in Practice,
Lane Johnson,T,,Full Participation in Practice,
Cam Jurgens,G,,Full Participation in Practice,
Jordan Mailata,T,,Full Participation in Practice,
DeVonta Smith,WR,,Full Participation in Practice,
Commanders,,,,
Player,Position,Injuries,Practice Status,Game Status
Jonathan Allen,DT,Pectoral,Limited Participation in Practice,Out
John Bates,TE,,Full Participation in Practice,
Jeremy Chinn,S,Concussion,Full Participation in Practice,Questionable
Sam Cosmi,G,,Full Participation in Practice,
Michael Deiter,C,,Full Participation in Practice,
Zach Ertz,TE,"Concussion, Shoulder",Limited Participation in Practice,Questionable
Clelin Ferrell,DE,,Limited Participation in Practice,
Dante Fowler Jr.,LB,,Full Participation in Practice,
Zane Gonzalez,K,,Full Participation in Practice,
Frankie Luvu,LB,,Limited Participation in Practice,
Luke McCaffrey,WR,,Full Participation in Practice,
Terry McLaurin,WR,,Limited Participation in Practice,
Daron Payne,DT,,Full Participation in Practice,
1:00 PM,,,,
